model,filename,sacrebleu,ter,semsim
helsinki-nlp,clinspen-tr.csv,39.6,55.6,92.2
helsinki-nlp,khresmoi-tr.csv,48.0,66.1,95.5
helsinki-nlp,medline.csv,54.5,70.4,93.7
helsinki-nlp,orphanet-definitions-tr.csv,45.6,61.6,93.6
helsinki-nlp,orphanet-terms.csv,46.0,61.4,94.5
helsinki-nlp,dptm.csv,27.1,37.6,87.0
helsinki-nlp,pubmed-tr.csv,42.9,55.8,92.3
helsinki-nlp,snomed.csv,28.2,41.1,81.4
nllb-600M,clinspen-tr.csv,36.0,49.5,91.0
nllb-600M,khresmoi-tr.csv,45.2,63.9,95.1
nllb-600M,medline.csv,51.9,67.2,93.2
nllb-600M,orphanet-definitions-tr.csv,35.7,51.3,92.5
nllb-600M,orphanet-terms.csv,38.4,53.1,93.2
nllb-600M,dptm.csv,12.7,0.5,81.3
nllb-600M,pubmed-tr.csv,43.5,55.1,92.2
nllb-600M,snomed.csv,18.7,12.6,79.7
nllb-3B,clinspen-tr.csv,36.6,48.0,89.5
nllb-3B,khresmoi-tr.csv,46.7,65.0,95.4
nllb-3B,medline.csv,51.9,67.2,93.2
nllb-3B,orphanet-definitions-tr.csv,45.3,59.7,93.8
nllb-3B,orphanet-terms.csv,38.4,53.1,93.2
nllb-3B,dptm.csv,12.7,0.5,81.3
nllb-3B,pubmed-tr.csv,43.5,55.1,92.2
nllb-3B,snomed.csv,18.7,12.6,79.7
madlad,orphanet-definitions-tr.csv,50.7,64.3,93.9
madlad,clinspen-tr.csv,39.3,50.1,90.7
madlad,orphanet-terms.csv,53.4,66.7,95.5
madlad,medline.csv,56.4,71.1,94.0
madlad,pubmed-tr.csv,45.7,57.9,92.6
madlad,khresmoi-tr.csv,48.3,66.5,95.5
madlad,snomed.csv,31.5,42.5,82.1
madlad,dptm.csv,16.9,15.2,84.7
