reference,candidate
"En el laboratorio de los investigadores, los investigadores examinaron la utilidad incremental de añadir múltiples biomarcadores a los sistemas de puntuación clínica para predecir la mortalidad en UCI de los pacientes con sepsis severa.","En el laboratorio de los investigadores, los investigadores examinaron la utilidad incremental de agregar múltiples biomarcadores a los sistemas de puntuación clínica para predecir la mortalidad en la UCI en pacientes con sepsis grave."
Puede llevar a una dificultad en la respiración y dolor torácico asociado.,Puede provocar dificultad para respirar y dolor en el pecho asociado.
"Aunque la cirugía plástica es usualmente una opción voluntaria, deberías tratarla tan serio como cualquier otro procedimiento médico.","Aunque la cirugía plástica suele ser una elección voluntaria, debe tratarla tan seriamente como cualquier otro procedimiento médico."
Esta revisión del tema se centrará en el tratamiento de mujeres con adenocarcinoma o carcinoma pobremente diferenciado en nódulos axilares que no tienen un cáncer de pecho evidente.,Esta revisión del tema se centrará en el tratamiento de mujeres con adenocarcinoma o carcinoma poco diferenciado en ganglios axilares que no tienen un cáncer de mama primario evidente.
Los pacientes de 18 años o mayores con síntomas agudos del sistema respiratorio y radiografías torácicas positivas desde el día 1 de Octubre del 2004 hasta el 31 de Mayo del 2005 fueron incluidos como casos positivos.,Los pacientes de 18 años de edad o más con síntomas agudos del tracto respiratorio y radiografías de tórax positivas del 1 de octubre de 2004 al 31 de mayo de 2005 fueron incluidos como casos positivos.
"En 9 de cada 10 casos, el embolismo pulmonar (EP) comienza como un coágulo en las venas profundas de la pierna (condición conocida como trombosis venosa profunda).","En 9 de cada 10 casos, la embolia pulmonar (EP) comienza como un coágulo de sangre en las venas profundas de la pierna (una afección conocida como trombosis venosa profunda)."
Estos tratamientos pueden realizarse para una mastectomía profiláctica pero también han demostrado que son seguras oncológicamente en pacientes con criterios específicos de cáncer de pecho en estadio temprano.,"Estos tratamientos pueden realizarse para la mastectomía profiláctica, pero también se ha demostrado que son oncológicamente seguros en pacientes con criterios específicos para el cáncer de mama en estadio temprano."
"Este método puede diagnosticar neumonía, pero no provee de información sobre la causa de la inflamación - información que puede ser útil para guiar el tratamiento.","Este método puede diagnosticar la neumonía, pero no proporciona información sobre la causa de la inflamación, información que podría ser útil para guiar el tratamiento."
Casi el 91% de aquellos que son entubados para una ventilación durante largo tiempo sufren colonización traqueal.,Casi el 90% de los que son intubados para ventilación a largo plazo sufren de colonización traqueal.
Los estudios epidemiológicos publicados sobre LPA y SDRA durante los últimos 20 años son difíciles de comparar.,Los estudios epidemiológicos publicados sobre ALI y SDRA en los últimos 20 años son difíciles de comparar.
