reference,candidate
oído externo,El oído externo
enfermedad constitucional,Enfermedad innata
cuerpo de Mallory,Cuerpo de Mallory
rinoplástico,Rinoplastia
perineural,perineural
frecuencia esperada,Frecuencia prevista
rubidio,rubidio
yatroquímica,iatroquímica
macronúcleo,macronucleus
agua libre,El agua libre
natural,naturaleza
trombosis hemorroidal,Trombosis de hemorroides
vía intravítrea,Vía intravítrea (de administración)
canina,canino
globular,globo
antitifoidea,antitifoidea
luxación del cristalino,ectopia lentis
papulosis bowenoide,Papulosis bowenoides
peptona,peptona
bulbouretral,bulbourethral
terminal,terminal
descargar,para descargar
reticulada,reticulado
deshidratasa,deshidratasa
reconstituir,para reconstituir
promotor,Promotor
leve,Levemente incapacitante
antitoxinógeno,antitoxinogenic
carácter dominante,Rasgo dominante
vínculo,relación
normovolémica,normovolémico
inteligencia,Inteligencia
frialdad,aloofness
linfoma cerebral primario,Linfoma cerebral primario
neurogenética,neurogenética
leñosa,ligneous
tenia,Tenía
teratólogo,teratologist
caseína,caseína
posmenopáusica,postmenopausal
fluoropirimidínica,fluoropirimidina
foramen oval,Foramen de Botallo
falange proximal,Falange proximal
perirradicular,periradicular
dicloroetano,Dicloroetano
isopropílico,isopropilo
enrojecerse,Para volverse rojo
síndrome de Nezelof,Síndrome de Nezelof
roña,suciedad
catarata traumática,Catarata traumática
gestosis,gestosis
ontogénico,ontogenetic
surco cingular,Surco cingulado
salpingografía,Salpingografía
intestino,Intestino
traumatológico,ortopédicos
hipouricemiante,inducción de hipouricemia
diarrea crónica,La diarrea crónica
anisocariosis,anisocariosis
valva,cusp
pederastia,pederasty
glándula parótida,Glándula parótida
vacuna contra la varicela,Vacuna contra la varicela
gaseoso,carbonatadas
alcoholizar,Para someterse a alcoholísis
diplocócico,Diplococcal
prostaglandina F%l2α%l,prostaglandina F%l2α%l
uretrorragia,uretrorragia
covalencia,Número covalente
comunidad,Comunidad
queratina,Queratina
amenorreico,amenorrea
dura,duro
apnea obstructiva,Apnea obstructiva del sueño
antineurálgica,antineuralgic
ecografía Doppler transcraneal,Ultrasonografía Doppler transcraneal
pediculosis,pediculosis
bradiarritmia,bradiarritmia
anquilostoma,Ancilostoma
prolapso anal,El prolapso anal
precentral,precentral
práctica,práctica
balonización,Balloning
travestido,travestis
aislarse,Para aislar
cintura escapular,Cinturón de hombro
hemocromatósico,hemocromatosis
incidir,Cómo cortar
estasis venosa,Estasis venosa
enclavar,Para clavar
seróloga,serólogo
movilidad,motilidad
sajar,Para cortar abierto
talamotomía,talamotomía
consultar,Para consultar
pinza de disección,Pinzas de tejido
vespertina,por la tarde
leucoma,Leucemia
