reference,candidate
"En el laboratorio de los investigadores, los investigadores examinaron la utilidad incremental de añadir múltiples biomarcadores a los sistemas de puntuación clínica para predecir la mortalidad en UCI de los pacientes con sepsis severa.","En el laboratorio de los investigadores, los investigadores examinaron la utilidad incremental de agregar múltiples biomarcadores a los sistemas de puntuación clínica para predecir la mortalidad en UCI en pacientes con sepsis grave."
Puede llevar a una dificultad en la respiración y dolor torácico asociado.,Puede provocar dificultad para respirar y dolor en el pecho asociado.
"Aunque la cirugía plástica es usualmente una opción voluntaria, deberías tratarla tan serio como cualquier otro procedimiento médico.","Aunque la cirugía plástica suele ser una opción voluntaria, debe tomarla tan en serio como cualquier otro procedimiento médico."
Esta revisión del tema se centrará en el tratamiento de mujeres con adenocarcinoma o carcinoma pobremente diferenciado en nódulos axilares que no tienen un cáncer de pecho evidente.,Esta revisión temática se centrará en el tratamiento de mujeres con adenocarcinoma o carcinoma poco diferenciado en los ganglios axilares que no tienen un cáncer de mama primario evidente.
Los pacientes de 18 años o mayores con síntomas agudos del sistema respiratorio y radiografías torácicas positivas desde el día 1 de Octubre del 2004 hasta el 31 de Mayo del 2005 fueron incluidos como casos positivos.,Se incluyeron como casos positivos pacientes de 18 años o más con síntomas respiratorios agudos y radiografías de tórax positivas desde el 1 de octubre de 2004 hasta el 31 de mayo de 2005.
"En 9 de cada 10 casos, el embolismo pulmonar (EP) comienza como un coágulo en las venas profundas de la pierna (condición conocida como trombosis venosa profunda).","En 9 de cada 10 casos, el embolismo pulmonar (EP) comienza como un coágulo de sangre en las venas profundas de la pierna (una condición conocida como trombosis venosa profunda)."
Estos tratamientos pueden realizarse para una mastectomía profiláctica pero también han demostrado que son seguras oncológicamente en pacientes con criterios específicos de cáncer de pecho en estadio temprano.,"Estos tratamientos pueden realizarse para la mastectomía profiláctica, pero también se ha demostrado que son oncológicamente seguros en pacientes con criterios específicos para el cáncer de mama en etapa temprana."
"Este método puede diagnosticar neumonía, pero no provee de información sobre la causa de la inflamación - información que puede ser útil para guiar el tratamiento.","Este método puede diagnosticar la neumonía, pero no proporciona información sobre la causa de la inflamación, información que podría ser útil para orientar el tratamiento."
Casi el 91% de aquellos que son entubados para una ventilación durante largo tiempo sufren colonización traqueal.,Casi el 90% de los que son intubados para ventilación a largo plazo sufren de colonización traqueal.
Los estudios epidemiológicos publicados sobre LPA y SDRA durante los últimos 20 años son difíciles de comparar.,Es difícil comparar los estudios epidemiológicos publicados sobre la IAL y la ERAD en los últimos 20 años.
Es importante discutir con su cirujano lo que él o ella sugiere para minimizar la posibilidad de una trombosis venosa profunda y embolismo pulmonar tras una cirugía de cadera.,Es importante que hable con su cirujano sobre lo que él o ella sugiere para minimizar el riesgo de trombosis venosa profunda y embolia pulmonar después de su cirugía de cadera.
La especificidad es la proporción de casos negativos verdaderos comparada al cultivo celular.,La especificidad es la proporción de casos verdaderamente negativos en comparación con el cultivo celular.
"Además, se calculará la precisión del Panel S.O.B. Profiler de Triaje.","Además, se calculará la precisión del diagnóstico del panel S.O.B del perfil de triaje."
"La displasia epifisaria múltiple puede ser heredada en un patrón recesivo autosomal, lo que significa que ambas copias del gen en cada célula tiene mutaciones.","La displasia epifisaria múltiple también puede heredarse en un patrón autosómico recesivo, lo que significa que ambas copias del gen en cada célula tienen mutaciones."
"Se observaron a los pacientes desde 4 hasta 72 meses (media, 33 meses).","Los pacientes fueron observados desde los 4 hasta los 72 meses (mediana, 33 meses)."
"Porque sólo se usa una parte del virus en la vacuna, la vacuna no puede causar una infección por VIH.","Dado que sólo se utiliza esta parte del virus en la vacuna, la vacuna no puede causar infección por VIH."
El pacientes sufre una fractura de cadera que necesitará una artroplastia de cadera.,El paciente sufre una fractura de cadera que requerirá artroplastia de cadera.
"Cuando se encuentra, H. pylori debería tratarse, lo que implica 2 semanas de medicación.","Cuando se encuentra, H. pylori debe ser tratado, lo que implica aproximadamente 2 semanas de medicación."
"Se compilarán los cambios en la clasificación del diagnóstico diferencial, las órdenes del médico y las intervenciones.","Se compilarán los cambios en la clasificación del diagnóstico diferencial, las órdenes del médico y las intervenciones."
Se evaluará a los sujetos a las 12 semanas del tratamiento para el éxito del tratamiento.,Los sujetos serán evaluados para el éxito del tratamiento a las 12 semanas de tratamiento.
¿Juega el Helicobacter pylori algún papel en el cáncer gástrico?,¿El Helicobacter pylori juega un papel en el cáncer gástrico?
"El diagnóstico de hepatitis alcohólica debe confirmarse con una biopsia del hígado, mostrando características típicas de una necrosis hialina esclerosante aguda.",El diagnóstico de hepatitis alcohólica debe confirmarse mediante una biopsia hepática que muestre las características típicas de la necrosis hialina esclerosante aguda 70.
"El campo de radiación debería ajustarse de a cuerdo con la extensión de la enfermedad, especialmente con la presencia de nódulos linfáticos metastásicos.","El campo de radiación debe ajustarse de acuerdo con la extensión de la enfermedad, especialmente la presencia de ganglios linfáticos metastásicos."
El objetivo primario: es comparar el efecto sobre la calidad de vida de la derivación intestinal con cirugía mínimamente invasiva y colocación endoscópica del stent en el tratamiento de la obstrucción maligna del intestino grueso.,Objetivo principal: comparar el efecto sobre la calidad de vida de la desviación quirúrgica mínimamente invasiva del intestino y la colocación de stents endoscópicos en el tratamiento de la obstrucción maligna del intestino grueso.
"Enfermedades relativamente poco comunes, tales como la enfermedad de Fabry y la hiperlipidemia, pueden afectar a las válvulas del corazón.","Enfermedades relativamente poco comunes, como la enfermedad de Fabry y la hiperlipidemia, pueden afectar las válvulas cardíacas."
El cáncer no es una enfermedad pero sí diferentes tipos de enfermedades.,"El cáncer no es una enfermedad, sino muchos tipos diferentes de enfermedades."
Nuestra hipótesis de trabajo se basa en los compuestos WG bioactivos fisiológicamente principalmente los compuestos polifenólicos tales como el ácido felurónico (AF).,"Nuestra hipótesis de trabajo se basa en compuestos fisiológicamente bioactivos de WG, principalmente compuestos polifenólicos como el ácido ferúlico (FA)."
Los investigadores buscan realizar repetidas pruebas para medir la fiabilidad del test-retest de estos métodos.,Los investigadores buscan realizar pruebas repetidas para medir la fiabilidad de prueba y re-prueba de estos métodos.
"Las mutaciones responsables para sialuria rompe este mecanismo de respuesta, que resulta en una superproducción de ácido siálico.","Las mutaciones responsables de la sialuria interrumpen este mecanismo de retroalimentación, lo que resulta en una sobreproducción de ácido siálico."
No se ha estudiado tampoco la terapia de ozono para el tratamiento de la degeneración macular en un ensayo clínico científicamente riguroso.,La terapia con ozono para el tratamiento de la degeneración macular tampoco se ha estudiado en un ensayo clínico científicamente riguroso.
El tratamiento de heparina es indicado en las formas mínimas y medianas del embolismo pulmonar.,El tratamiento con heparina está indicado en las formas mínimas o medias de embolia pulmonar.
"Allí deberías estudiar lo último en cambio de imagen, por ejemplo la cirugía plástica cosmética.","Allí deberías buscar en lo último en cambio de imagen, es decir, cirugía plástica estética."
Determinar si las repuestas del ARN del tumor- o de la célula T del antígeno específico tumoral se provocan en los pacientes tratados con esta vacuna.,Determinar si se inducen respuestas de células T específicas del ARN tumoral o del antígeno tumoral en pacientes tratados con esta vacuna.
La neuropatía periférica puede ocurrir como resultado de tener una vasculitis.,Puede ocurrir neuropatía periférica como resultado de tener vasculitis.
"Dos de los estudios (Levine, Britton) también mostraron que la fisioterapia torácica estaba asociada con un aumento significativo en la duración de la fiebre.","Dos de los estudios (Levine, Britton) también mostraron que la fisioterapia torácica se asoció con un aumento significativo en la duración de la fiebre."
"Tres semanas después del alta hospitalaria, se realizará también un seguimiento por teléfono para completar más cuestionarios.","Tres semanas después de la alta, también habrá una llamada telefónica de seguimiento para completar más cuestionarios."
"Estudio comparativo en 4 grupos con varios grados de insuficiencia renal, 24 horas de duración por cada paciente.","Estudio comparativo en 4 grupos con diversos grados de insuficiencia renal, duración para cada paciente 24 horas."
A la mayoría de las visitas se les realizará un ecocardiograma y un electrocardiograma.,En la mayoría de las visitas se realizará un ecocardiograma y un electrocardiograma.
Todos los pacientes recibieron una tomografía computerizada de emisión monofotónica (PET/TC) de talio-201 de esfuerzo y análisis de los niveles séricos del propéptido aminoterminal de procolágeno tipos I y III (PINP and PIIINP).,Todos los pacientes recibieron tomografía computarizada por emisión de fotones únicos de talio-201 de estrés (SPECT) y análisis de los niveles séricos del propéptido aminoterminal de procollageno tipo I y III (PINP y PIIINP).
"La hemorragia masiva espontánea coroidea puede estar relacionada con hipertensión, anticoagulación sistémica, edad avanzada y con la degeneración macular asociada a la edad.","La hemorragia coroidal espontánea masiva puede estar asociada con hipertensión, anticoagulación sistémica, edad avanzada y degeneración macular relacionada con la edad."
Este ensayo evaluará los efectos de MC-1 comparado a placebo en eventos cardiovasculares y neurológicos siguiendo cirugía IDAC.,Este ensayo evaluará los efectos de MC-1 en comparación con el placebo en los eventos cardiovasculares y neurológicos después de la cirugía de CABG.
Las muestras se obtuvieron desde el reclutamiento y se usarán en futuras pruebas del panel para el triaje de la sepsis y otros biomarcadores.,Las muestras obtenidas al momento de la inscripción se utilizarán para futuras pruebas del Panel de Sepsis de Triaje y otros biomarcadores.
Los fármacos llamados antieméticos se pueden prescribir para ayudar a controlar la náusea y el vómito.,Se pueden recetar medicamentos llamados antieméticos para ayudar a controlar las náuseas y los vómitos.
Un cribado toxicológico positivo de orina para una substancia que no ha sido prescrita para el sujeto.,Examen toxicológico positivo en orina para una sustancia que no se ha prescrito al sujeto.
Los pacientes mujeres y hombres con PAF con una mutación documentada de V30M TTR recibirán Fx-1006A o placebo una vez al día por un período de dieciocho (18) meses.,Los pacientes hombres y mujeres con PAF con mutación documentada de V30M TTR recibirán Fx-1006A o placebo una vez al día durante un período de dieciocho (18) meses.
Un panel de dermatólogos independientes evaluará antes y después de las fotografías digitales de cada área tratada.,Un panel de dermatólogos independientes evaluará las fotografías digitales antes y después de cada área tratada.
"Excepto algunos subgrupos con pronóstico favorable, para la mayoría de los pacientes, las opciones de tratamiento son limitadas y no se ha identificado un régimen de primera línea normalizado.","Excepto en algunos subgrupos con pronóstico favorable, para la mayoría de estos pacientes, las opciones de tratamiento son limitadas y no se ha identificado un régimen estándar de primera línea."
"El porcentaje de participantes con al menos un evento adverso de hipoglicemia sintomática, excluyendo los datos tras el inicio de la terapia de rescate glicémico.","Porcentaje de participantes con al menos un evento adverso hipoglucémico sintomático, excluyendo los datos después del inicio de la terapia de rescate glucémico."
"Existen dos tipos de diferentes respuestas del tejido a la inflamación del acné que produce cicatrices de acné, éstas son una formación incrementada de tejido o una pérdida de tejido.",Hay dos tipos diferentes de respuestas de los tejidos a la inflamación del acné que produce cicatrices de acné; estos son aumento de la formación de tejido y pérdida de tejido.
Este estudio es un estudio de pacientes externos en el cual se reclutarán aproximadamente 180 sujetos con dependencia alcohólica.,Este estudio es un estudio ambulatorio en el que se inscribirán aproximadamente 180 sujetos dependientes del alcohol.
La curación de la artrodesis o la solidificación del tejido del hueso y la obliteración del espacio de la articulación previa lleva sobre 12 semanas.,La curación de la artrosis o la solidificación del tejido óseo y la eliminación del espacio articular anterior toma aproximadamente 12 semanas.
"En este ensayo clínico, se estudiará la eficacia y la seguridad de IVIG-L en pacientes con hipogammaglobulinemia, que son tratados regularmente con terapia de sustitución de inmunoglobulina intravenosa.","En este ensayo clínico se estudiará la eficacia y seguridad de IVIG- L en pacientes con hipogammaglobulinemia, que reciben regularmente tratamiento con inmunoglobulina de sustitución intravenosa."
El principal punto final es la respuesta microbiológica médida en la prueba de la visita de cura.,El criterio primario de valoración es la respuesta microbiológica medida en la prueba de visita de curación.
