reference,candidate
"Es una forma poco frecuente de acidosis tubular renal proximal autosómica recesiva caracterizada por un defecto aislado en el túbulo proximal que conduce a una disminución de la reabsorción de bicarbonato y, en consecuencia, a la pérdida de bicarbonato en la orina. La presentación es típicamente con acidosis hiperclorémica, que suele ocurrir en la infancia. Las manifestaciones extrarrenales incluyen anomalías oculares (queratopatía en banda, glaucoma y cataratas), discapacidad intelectual y retraso grave del crecimiento. En algunos casos hay otras características presentes, como defectos del esmalte dental, calcificación de los ganglios basales y pancreatitis.","Es una forma rara y autosómica recesiva de acidosis tubular renal proximal caracterizada por un defecto aislado en el túbulo proximal que conduce a la disminución de la reabsorción de bicarbonato y, en consecuencia, al desperdicio de bicarbonato urinario. La presentación suele ser con acidosis hiperclorémica, que generalmente ocurre en la infancia. Las manifestaciones extrarenas incluyen anormalidades oculares (queratopatía de banda, glaucoma y cataratas), discapacidad intelectual y retraso severo en el crecimiento. Otras características como defectos en el esmalte dental, calcificación de los ganglios basales y pancreatitis a veces están presentes."
"Es una miopatía congénita autosómica dominante poco frecuente caracterizada por numerosos núcleos centrales en la biopsia muscular y características clínicas de miopatía congénita (hipotonía, debilidad muscular distal/proximal, deformidades de la caja torácica (a veces asociadas con insuficiencia respiratoria), ptosis, oftalmoparesia y debilidad de los músculos involucrados en la expresión facial con rasgos faciales dismórficos.","Una miopatía congénita autósomal dominante rara caracterizada por numerosos núcleos colocados en el centro de la biopsia muscular y características clínicas de una miopatía congénita (hipotonia, debilidad muscular distal/proximal, deformidades de la caja torácica (a veces asociadas con insuficiencia respiratoria), ptosis, oftalmoparesia y debilidad de los músculos de la expresión facial con rasgos faciales dismórficos."
"Es una duplicación parcial poco frecuente del brazo largo del cromosoma 17 caracterizada por una combinación de rasgos del síndrome de microduplicación 17p11.2 y de la enfermedad de Charcot-Marie-Tooth tipo 1A. Los pacientes presentan un retraso global del desarrollo de inicio en la lactancia, hipotonía, dificultades de alimentación y fallo de medro, así como neuropatía periférica de inicio en la infancia con debilidad o atrofia de las extremidades distales, alteraciones de la marcha, pérdida sensorial, reducción o ausencia de reflejos tendinosos profundos en los tobillos y deformidades de los pies. También puede observarse dismorfia facial, anomalías cardíacas y renales, y siringomielia.","Una duplicación parcial rara del brazo largo del cromosoma 17 caracterizada por una combinación de características del síndrome de microduplicación 17p11.2 y la enfermedad de Charcot-Marie-Tooth tipo 1A. Los pacientes presentes con inicio infantil de retraso global del desarrollo, hipotonía, dificultades para alimentarse y incapacidad para prosperar, así como inicio infantil de neuropatía periférica con debilidad o atrofia de la extremidad distal, deterioro de la marcha, pérdida sensorial, reflejos tendinosos profundos reducidos o ausentes de los tobillos y deformidades del pie. También se pueden observar dismorfismo facial, anomalías cardíacas y renales y siringomielia."
Es una hernia extracraneal de contenidos intracraneales (que mantiene una conexión con el espacio subaracnoideo) en el fontículus frontalis. Se presenta con un ensanchamiento nasal y/o presencia de una masa pulsátil azulada y compresible cerca del puente nasal (que se agranda con llanto o por compresión de la vena yugular) o como una masa intranasal que se origina en la placa cribiforme y que puede causar obstrucción nasal o dificultad respiratoria. En algunos casos también se ha descrito hidrocefalia y aumento de la presión intracraneal.,"La encefalocélea nasal es una hernia extracraneal de contenidos intracraneales (que mantienen una conexión con el espacio subaracnoideo) en el fonticulo frontal, que se presenta con ampliación nasal y / o como una masa compresible, azul, pulsátil cerca del puente nasal (que se agranda al llorar o con compresión de la vena yugular) o como una masa intranasal que se origina en la placa cribiforme y que puede causar obstrucción nasal o dificultad respiratoria."
"El síndrome de retraso del crecimiento - retraso del desarrollo leve - hepatitis crónica es una enfermedad hepática parenquimatosa, genética y poco frecuente, caracterizada por retraso del crecimiento pre- y postnatal, leve retraso global del desarrollo, hepatitis crónica con hepatoesplenomegalia, tiroiditis de Hashimoto, trombocitopenia, anemia y leucemia linfoblástica aguda de precursores B.","El síndrome de retraso del crecimiento- retraso del desarrollo leve- hepatitis crónica es una enfermedad hepática parenquimatosa genética rara caracterizada por retraso del crecimiento pre y postnatal, retraso del desarrollo global leve, hepatitis crónica con hepatosplenomegalia, tiroiditis de Hashimoto, trombocitopenia, anemia y leucemia linfoblástica aguda precursora B."
"La fístula broncobiliar (FBB) congénita es un defecto del desarrollo poco frecuente caracterizado por una conexión anómala de la tráquea o bronquio con el conducto hepático izquierdo que se manifiesta como dificultad respiratoria, infecciones respiratorias recurrentes y expectoración o vómito biliar.","La fístula respiratorio-biliar congénita (FBR) es un raro defecto de desarrollo caracterizado por una conexión anómala de la tráquea o el bronquio con el conducto hepático izquierdo que se presenta con dificultad respiratoria, infecciones respiratorias recurrentes y expectoración o vómito biliar."
"Es un trastorno congénito de la N-glicosilación caracterizado por dismorfia facial (frente prominente, orejas de gran tamaño, labio superior delgado), hipotonía generalizada, problemas en la alimentación, retraso en el desarrollo de moderado a grave, microcefalia progresiva, infecciones frecuentes del tracto respiratorio superior debidas a alteraciones del sistema inmunitario con disminución de los niveles de inmunoglobulina y de los factores de coagulación. Otros hallazgos adicionales incluyen hipogonadismo con o sin hipospadias en varones, anomalías esqueléticas, convulsiones y, en algunos casos, anomalías cardíacas. La enfermedad está causada por mutaciones de pérdida de función del gen <i>ALG12</i> (22q13.33).","Es una forma de trastornos congénitos de la glicosilación ligada a N caracterizada por dismorfismo facial (frente prominente, orejas grandes, labio superior delgado), hipotonía generalizada, dificultades para alimentarse, retraso del desarrollo de moderado a severo, microcefalia progresiva, infecciones frecuentes del tracto respiratorio superior debido a una inmunidad deteriorada con niveles disminuidos de inmunoglobulina y factores de coagulación disminuidos."
"La miocardiopatía dilatada con ataxia (DCMA) se caracteriza por una miocardiopatía dilatada (DCM) grave de aparición temprana (antes de los tres años de edad), con trastornos de la conducción (síndrome de QT largo), ataxia cerebelosa no progresiva, disgenesia testicular y aciduria 3-metilglutacónica.","La cardiomiopatía dilatada con ataxia (DCMA) se caracteriza por una cardiomiopatía dilatada (DCM) de inicio temprano grave (antes de los tres años de edad) con defectos de conducción (síndrome de QT largo), ataxia cerebelosa no progresiva, disgenesis testicular y aciduria 3-metilglutacónica."
"Es una enfermedad poco frecuente de almacenamiento de glucógeno caracterizada por la aparición fetal o neonatal de una cardiomiopatía grave con acúmulo de glucógeno no lisosomal y un desenlace fatal en el periodo de lactancia. Los pacientes presentan cardiomegalia masiva, complicaciones cardíacas y respiratorias graves y fallo de medro. En algunos casos se ha descrito de dismorfia facial inespecífica, cataratas bilaterales, macroglosia, hidrocefalia, riñones agrandados y afectación del músculo esquelético.",Una enfermedad rara de almacenamiento de glucógeno caracterizada por la aparición fetal o neonatal de cardiomiopatía grave con acumulación de glucógeno no lisosomal y resultado fatal en la infancia.
La enfermedad central core o de cuerpos centrales (CCD; por sus siglas en inglés) es un trastorno neuromuscular hereditario caracterizado por la presencia de cuerpos centrales en biopsias musculares y los signos clínicos propios de una miopatía congénita.,La enfermedad del núcleo central (CCD) es un trastorno neuromuscular hereditario caracterizado por núcleos centrales en la biopsia muscular y características clínicas de una miopatía congénita.
