reference,candidate
Odontodisplasia regional,Desplasia regional de odontodisplasia
Retinopatía asociada a cancer,Retinopatía asociada con el cáncer
Tumor epitelial maligno de las glándulas salivales,Tumores epiteliales malignos de las glándulas salivales
Síndrome de microduplicación proximal 16p11.2,Síndrome de microduplicación de 16p11.2 aproximado
Demencia pugilística,Demencia pugilística
Hiper-beta-alaninemia,Hiper- beta- alaninemia
Mesotelioma peritoneal quístico,Mesotelioma quístico peritoneal
Disostosis con afectación predominantemente craneofacial,Distotesis con participación craniofacial predominante
NO ES ENFERMEDAD RARA EN EUROPA: Síndrome de Buschke-Ollendorff,NO RARAS EN EUROPEA: Síndrome de Buschke-Ollendorff
Trastorno raro del movimiento paroxístico,Trastorno del movimiento paroxismal raro
Agenesia de la válvula mitral,Agénesis de la válvula mitral
OBSOLETO: Parkinsonismo juvenil sin respuesta a levodopa,OBSOLETE: Parkinsonismo juvenil no reaccionante a la levodopa
Tumor neuroendocrino del oído medio,Tumor neuroendocrino del oído medio
Displasia acromesomélica tipo Maroteaux,"Displasia acromesómica, tipo Maroteaux"
Hipertensión por una causa rara,Causa rara de hipertensión
Ataxia cerebelosa degenerativa y progresiva autosómica recesiva,Ataxia cerebelosa autosomal recesivamente degenerativa y progresiva
Tumor benigno ovárico raro,Tumor benigno de ovario raro
Pancreatitis crónica hereditaria,Pancreatitis crónica hereditaria
Poliposis adenomatosa familiar atenuada asociada al gen NTHL1,Poliposis adenomática familiar atenuada relacionada con NTHL1
OBSOLETO: Síndrome de osteopenia-miopía-hipoacusia-discapacidad intelectual-dismorfia facial,OBSOLETE: Osteopenia-miopía-perdida auditiva- discapacidad intelectual- síndrome de dismorfismo facial
Síndrome de Joubert con defecto óculo-renal,Síndrome de Joubert con defecto oculorenal
Síndrome de sobrecrecimiento-defecto de modelado metafisario-displasia espondilar,Síndrome de displasia espondilosa de submodelado metafísico de crecimiento excesivo
Síndrome de aniridia-ausencia de rótula,Síndrome de patella sin aniridia
Disfasia congénita familiar,Disfasia del desarrollo familiar
Deficiencia congénita de quininógeno de alto peso molecular,Deficiencia congénita de quinogénico de alto peso molecular
Polimicrogiria unilateral hemisférica,Polymicrogyria hemisférica unilateral
Hemiplejía alternante nocturna benigna de la infancia,Hemiplejia nocturna benigna alternada de la infancia
OBSOLETO: Malformación anorrectal intermedia aislada,OBSOLETE: Malformación anorrectal aislada intermedia
Enfermedad CLN10,Enfermedad CLN10
Atresia uretral,Atresia de la uretra
Enfermedad genética del tejido subcutáneo,Enfermedad genética del tejido subcutáneo
Neuropatía óptica hereditaria sindrómica,Neuropatía óptica hereditaria síndroma
Mucolipidosis,Mucolipidosis
OBSOLETO: Hidronefrosis congénita,OBSOLETE: Hidronefrosis congénita
Síndrome de cáncer de ovario hereditario de localización específica,Síndrome hereditario de cáncer de ovario específico del sitio
Mesotelioma peritoneal maligno,Mesotelioma peritoneal maligno
Enfermedad de la beta oxidación peroxisomal,Desorden de beta- oxidación peroxisomal
Malabsorción hereditaria de folato,Malabsorción hereditaria de ácido fólico
Síndrome de microdeleción 1p21.3,1p21.3 Síndrome de microdelección
Tifus murino,Tifuso de la mucosa
Síndrome de Treft-Sanborn-Carey,Síndrome de Treft-Sanborn-Carey
Síndrome cardiocraneal tipo Pfeiffer,"Síndrome de Corazón, tipo Pfeiffer"
Síndrome hipertelorismo-hipospadias-polisindactilia,Síndrome de hipertelorismo-hipospadias-polysindactilia
Distrofia muscular de cinturas autosómica recesiva tipo 2Y,Distrofia muscular de cinturón de extremidades TOR1AIP1 relacionada
Túnel ventrículo izquierdo-aorta,Túneles aortoventriculares
Síndrome de trastorno del neurodesarrollo regresivo-distonia-crisis asociado al gen IRF2BPL,Síndrome de trastorno neurodesenvoluptual regresivo relacionado con IRF2BPL-convulsiones por distonia
Paraparesia espástica autosómica recesiva tipo 69,Paraplégia espástica autosómica recesiva tipo 69
Hiperparatiroidismo genético,Hiperparatiroidismo genético
Inmunodeficiencia combinada por deficiencia de FCHO1,Inmunodeficiencia combinada debido a deficiencia de FCHO1
Continuación ácigos de la vena cava inferior,Azygos continuación de la vena cava inferior
Neurocitoma extraventricular,Neurocitoma extraventricular
Desmosis coli primaria,Desmois primaria de coli
Polimiositis,Polimiositis
Síndrome de Tietz,Síndrome de Tietz
Onfalocele,Omfalócele
Síndrome de hipoplasia tibial-polidactilia postaxial,Síndrome de polidactilia tibiae-postaxial hipoplastico
Tumor de Klatskin,Tumor de Klatskin
Síndrome de discapacidad intelectual-crisis-trastornos de la marcha-dismorfia facial,Discapacidad intelectual-convulsiones-síndrome anormal de dismorfismo facial-caminar
Síndrome de blefaroptosis-miopía-ectopia lentis,Síndrome de blefaroptosis-miopía-ectopia lentis
Síndrome de lesiones en anillo del cuero cabelludo-fragilidad ósea,Lesiones de donut calvariano-síndrome de fragilidad ósea
