model,filename,sacrebleu,ter,semsim
helsinki-nlp,clinspen-tr.csv,38.8,52.3,92.2
helsinki-nlp,khresmoi-tr.csv,47.9,63.4,95.5
helsinki-nlp,medline.csv,54.4,66.3,93.7
helsinki-nlp,orphanet-definitions-tr.csv,45.5,56.9,93.6
helsinki-nlp,orphanet-terms.csv,43.6,62.0,94.5
helsinki-nlp,preferred-en2es.csv,26.2,41.0,87.0
helsinki-nlp,pubmed-tr.csv,43.1,51.7,92.3
helsinki-nlp,snomed.csv,28.1,30.8,81.4
madlad,preferred-en2es.csv,16.1,31.8,84.7
madlad,orphanet-definitions-tr.csv,50.6,60.0,93.9
madlad,snomed.csv,31.5,32.9,82.1
madlad,orphanet-terms.csv,50.3,67.5,95.5
madlad,pubmed-tr.csv,45.7,54.2,92.6
madlad,khresmoi-tr.csv,48.3,64.2,95.5
madlad,medline.csv,56.3,67.4,94.0
madlad,clinspen-tr.csv,38.6,51.7,90.7
nllb-3B,preferred-en2es.csv,12.4,6.5,81.3
nllb-3B,orphanet-definitions-tr.csv,45.0,56.0,93.8
nllb-3B,snomed.csv,18.8,-4.3,79.7
nllb-3B,orphanet-terms.csv,33.6,53.2,93.2
nllb-3B,pubmed-tr.csv,43.5,50.9,92.2
nllb-3B,khresmoi-tr.csv,46.6,62.2,95.4
nllb-3B,medline.csv,51.8,62.8,93.2
nllb-3B,clinspen-tr.csv,35.9,43.8,89.5
nllb-600M,preferred-en2es.csv,12.4,6.5,81.3
nllb-600M,orphanet-definitions-tr.csv,35.5,48.1,92.5
nllb-600M,snomed.csv,18.8,-4.3,79.7
nllb-600M,orphanet-terms.csv,33.6,53.2,93.2
nllb-600M,pubmed-tr.csv,43.5,50.9,92.2
nllb-600M,khresmoi-tr.csv,45.1,61.1,95.1
nllb-600M,medline.csv,51.8,62.8,93.2
nllb-600M,clinspen-tr.csv,35.1,45.0,91.0
