reference,actual
Odontodisplasia regional,Odontodisplasia regional
Retinopatía asociada a cancer,Retinopatía asociada al cáncer
Tumor epitelial maligno de las glándulas salivales,Tumor epitelial maligno de las glándulas salivales
Síndrome de microduplicación proximal 16p11.2,Síndrome de microduplicación proximal 16p11.2
Demencia pugilística,Demencia de boxeo
Hiper-beta-alaninemia,Hiper-beta-alaninemia
Mesotelioma peritoneal quístico,Mesotelioma quístico peritoneal
Disostosis con afectación predominantemente craneofacial,Disostosis con afectación craneofacial predominante
NO ES ENFERMEDAD RARA EN EUROPA: Síndrome de Buschke-Ollendorff,No raro en Europa: síndrome de Buschke-Ollendorff
Trastorno raro del movimiento paroxístico,Trastorno de movimiento paroxístico raro
Agenesia de la válvula mitral,Agenesis de la válvula mitral
OBSOLETO: Parkinsonismo juvenil sin respuesta a levodopa,OBSOLETO: Parkinsonismo juvenil sin respuesta a la levodopa
Tumor neuroendocrino del oído medio,Tumores neuroendocrinos del oído medio
Displasia acromesomélica tipo Maroteaux,"Displasia acromesomélica, tipo Maroteaux"
Hipertensión por una causa rara,Causa rara de hipertensión
Ataxia cerebelosa degenerativa y progresiva autosómica recesiva,Ataxia cerebelosa degenerativa y progresiva autosómica recesiva
Tumor benigno ovárico raro,Tumor ovárico benigno raro
Pancreatitis crónica hereditaria,Pancreatitis crónica hereditaria
Poliposis adenomatosa familiar atenuada asociada al gen NTHL1,Poliposis adenomatosa familiar atenuada relacionada con NTHL1
OBSOLETO: Síndrome de osteopenia-miopía-hipoacusia-discapacidad intelectual-dismorfia facial,OBSOLETO: Osteopenia-miopía-pérdida de audición-discapacidad intelectual-síndrome de dismorfismo facial
Síndrome de Joubert con defecto óculo-renal,Síndrome de Joubert con defecto oculorenal
Síndrome de sobrecrecimiento-defecto de modelado metafisario-displasia espondilar,Síndrome de sobrecrecimiento-submodelado metafisial-displasia espondilar
Síndrome de aniridia-ausencia de rótula,Síndrome de rótula ausente de aniridia
Disfasia congénita familiar,Disfasia del desarrollo familiar
Deficiencia congénita de quininógeno de alto peso molecular,Deficiencia congénita de quininógeno de alto peso molecular
Polimicrogiria unilateral hemisférica,Polimicrogiria hemisférica unilateral
Hemiplejía alternante nocturna benigna de la infancia,Hemiplejía alterna nocturna benigna de la infancia
OBSOLETO: Malformación anorrectal intermedia aislada,OBSOLETO: Malformación anorectal aislada intermedia
Enfermedad CLN10,Enfermedad de CLN10
Atresia uretral,Atresia de la uretra
Enfermedad genética del tejido subcutáneo,Trastorno genético del tejido subcutáneo
Neuropatía óptica hereditaria sindrómica,Neuropatía óptica hereditaria sindrómica
Mucolipidosis,Mucolipidosis
OBSOLETO: Hidronefrosis congénita,OBSOLETO: Hidronefrosis congénita
Síndrome de cáncer de ovario hereditario de localización específica,Síndrome de cáncer de ovario hereditario de sitio específico
Mesotelioma peritoneal maligno,Mesotelioma peritoneal maligno
Enfermedad de la beta oxidación peroxisomal,Trastorno de la beta-oxidación peroxisomal
Malabsorción hereditaria de folato,Malabsorción hereditaria de folato
Síndrome de microdeleción 1p21.3,Síndrome de microdeleción 1p21.3
Tifus murino,Tifus de la rata
Síndrome de Treft-Sanborn-Carey,Síndrome de Treft-Sanborn-Carey
Síndrome cardiocraneal tipo Pfeiffer,"Síndrome cardiocraneal, tipo Pfeiffer"
Síndrome hipertelorismo-hipospadias-polisindactilia,Síndrome de hipertelorismo-hipospadias-polisindactilia
Distrofia muscular de cinturas autosómica recesiva tipo 2Y,Distrofia muscular de la faja de la extremidad relacionada con TOR1AIP1
Túnel ventrículo izquierdo-aorta,Túnel aortoventricular
Síndrome de trastorno del neurodesarrollo regresivo-distonia-crisis asociado al gen IRF2BPL,Trastorno regresivo del neurodesarrollo-síndrome de distonía-convulsiones relacionado con IRF2BPL
Paraparesia espástica autosómica recesiva tipo 69,Paraplejia espástica autosómica recesiva tipo 69
Hiperparatiroidismo genético,Hiperparatiroidismo genético
Inmunodeficiencia combinada por deficiencia de FCHO1,Inmunodeficiencia combinada por deficiencia de FCHO1
Continuación ácigos de la vena cava inferior,Continuación de la vena cava inferior
Neurocitoma extraventricular,Neurocitoma extraventricular
Desmosis coli primaria,Desmosis coli primaria
Polimiositis,Polimiositis
Síndrome de Tietz,Síndrome de Tietz
Onfalocele,Omphalocele
Síndrome de hipoplasia tibial-polidactilia postaxial,Síndrome de polidactilia postaxial de la tibia hipoplásica
Tumor de Klatskin,Tumor de Klatskin
Síndrome de discapacidad intelectual-crisis-trastornos de la marcha-dismorfia facial,Discapacidad intelectual-convulsiones-marcha anormal-síndrome de dismorfismo facial
Síndrome de blefaroptosis-miopía-ectopia lentis,Síndrome de blefaroptosis-miopía-ectopia lentis
Síndrome de lesiones en anillo del cuero cabelludo-fragilidad ósea,Lesiones en forma de rosquilla calvarial-síndrome de fragilidad ósea
Síndrome de oftalmoplejía-discapacidad intelectual-lengua escrotal,Oftalmoplegia-discapacidad intelectual-síndrome de la lengua escrotal
