reference,actual
sin tocar la cara,No tocar la cara
análisis basado en gráficos,operación de análisis basado en gráficos
variaciones,Las variaciones
insuficiencia respiratoria,insuficiencia respiratoria
ceguera nocturna,Cegueza nocturna
Sin anomalías,No hay anormalidades
modulación viral de la respuesta inmune del huésped,modulación por virus de la respuesta inmune del huésped
hipoestesia cutánea,Hipoestesia de la piel
buen estado general,buena condición general
"El día 12 de enfermedad, tras la consulta inicial, la TAC torácica mostró infiltrados y sombras difusas en ambos pulmones.","El día 12 de la enfermedad, después de la presentación inicial, las radiografías del pecho mostraron una infiltración progresiva y una sombra de rejilla difusa en ambos pulmones."
traducción citoplasmática,traducción citoplasmática
deficiencia de selenio,deficiencia de selenio
lugar de la lesión,lugar de lesión
forma de huso,forma del espínel
ausencia de necrosis,No hay necrosis
perturbaciones,perturbaciones
"Una TAC torácica mostró opacidades de vidrio esmerilado parcheadas, multifocales y bilaterales, predominantemente con distribución periférica, lo que hizo sospechar de neumonía atípica y posible infección vírica.",Una tomografía computarizada del pecho reveló opacidades de vidrio de tierra de parches bilaterales multifocales con distribución predominantemente periférica en caso de neumonía atípica y posiblemente infección viral.
"Se repitió la RT-PCR de frotis nasofaríngeo, con resultado aún positivo para SARS-CoV-2.",El RT‐PCR de NPS se repitió y sigue siendo positivo para el SARS‐CoV‐2.
hemorragia en la protuberancia,Pones; hemorragia
nutrición,nutrición
cánceres de tiroides,cánceres de tiroides
alteraciones renales,alteraciones renales
proliferación conductillos biliares,Dutoles biliares de proliferación
agresión sexual al personal de enfermería,Asesoramiento sexual
silmitasertib,El silmitasertibo
CoV SARS civeta 007/2004,Civilización de la enfermedad de SARS CoV 007/2004
Lóbulos de las orejas grandes,Los lobos auditivos grandes
"Mientras estaba en decúbito prono, el paciente no mostró taquipnea y requirió menos oxígeno, lo que nos permitió retrasar el inicio de la ventilación mecánica.","Mientras estaba en posición inclina, el paciente ya no tenía tachipnoeía, y necesitaba niveles más bajos de apoyo de oxígeno, lo que nos permitió retrasar el inicio de la ventilación mecánica."
exceso de sudoración,exceso de sudor
carácter central,carácter central
naturaleza dinámica,naturaleza dinámica
Dispraxia bucofacial,Dispraxia orofacial
dejar a solas durante periodo prolongado,dejar en solitario durante un largo período
artritis reumatoide,Artritis reumatoide
inmunodeficiencia combinada de linfocitos T y B,inmunodeficiencia combinada de células T y células B
"Una TAC torácica reveló opacidades de vidrio esmerilado bilaterales con consolidaciones peribroncovasculares, coherentes con hemorragia alveolar difusa (HAD).",Una tomografía computarizada del pecho reveló opacidades bilaterales de vidrio de la base con consolidaciones peribroncovasculares consistentes con la DAH.
alteración de la fisiología del sistema cardiovascular,Fisiología anormal del sistema cardiovascular
"El paciente empezó a mejorar clínicamente; 4 días después estaba bastante estable, sin disnea, la saturación de oxígeno en aire ambiental llegó a 95% y la radiografía torácica mostró resolución parcial de las lesiones.","El paciente comenzó a mejorar clínicamente, 4 días después, era bastante estable, no había disnea, la saturación de oxígeno en el aire de la habitación alcanzó el 95%, y la radiografía del pecho se resolvió parcialmente."
discapacitado permanente,permanentemente incapacitado
transmisión de la infección,transmisión de la infección
β-galactosidasa de tipo natural (no mutada),beta-galactosidasa de tipo salvaje
cuerpo calloso engrosado,corpus callosum espeso
una fib,una fibra
parche en la oreja,el oído de parche
fusión bcr-abl,Fusión bcr-abl
manifestaciones neurológicas,manifestaciones neurológicas
cicatriz hombro derecho,cicatriz en el hombro derecho
exploración de mama encontrada,se encontró un examen mamario
"El paciente había viajado a Italia el día -9 para asistir a un partido de rugby en Roma; luego, había viajado con su pareja y dos amigos por la Lombardía, el Véneto y la Toscana, desplazándose en un coche de alquiler y haciendo estancia en casas privadas de alquiler, antes de regresar a Escocia desde Milán el día -2.","El paciente viajó a Italia el día -9 para ver un partido de rugby en Roma. Viajó con su pareja y dos amigos en un vehículo de alquiler privado a través de Lombardía, Veneto y Toscana, alojándose en alojamiento privado, antes de volar de vuelta a Escocia desde Milán el día -2."
síntomas neurológicos,síntomas neurológicos
indinavir,indinavir
patrón dominante,patrón dominante
El paciente fue reingresado en la UCI pediátrica y se aplicó de nuevo oxigenoterapia con cánula nasal de alto flujo.,"El paciente fue readmitido a la UPI, se inició de nuevo el HFNC."
patología tumoral,enfermedad tumoral
"La paciente fue dada de alta al cuarto día de ingreso, teniendo en cuenta su situación clínicamente estable, que se mantuvo sin necesidad de corticoesteroides por vía oral.","El paciente fue dado de alta el 4o día de admisión debido a la estabilidad clínica, que se mantuvo sin 26 corticosteroides orales."
Asimetría del tórax,Asimetría del tórax
enfermedad gástrica,patología gástrica
lumen de vesícula,lumen de la vesícula
como enfermedad,como enfermedad
