reference,actual
"Es una variante atípica de la parálisis supranuclear progresiva (PSP), una enfermedad neurodegenerativa poco frecuente de inicio tardío, caracterizada por una combinación variable de rigidez asimétrica progresiva de las extremidades, apraxia, pérdida de la sensibilidad cortical, miembro ajeno, distonía y bradicinesia que no responde a levodopa. La inestabilidad postural y la rigidez axial se desarrollan a medida que la enfermedad progresa. Las características neuropatológicas incluyen la patología Tau y la pérdida neuronal en áreas cerebrales específicas, especialmente en la corteza parietal media y parietal inferior.","Una variante atípica de la parálisis supranuclear progresiva (PSP), una enfermedad neurodegenerativa rara de inicio tardío, caracterizada por una mezcla variable de rigidez asimétrica progresiva de las extremidades, apraccia, pérdida sensorial cortical, extremidad alienígena, distonia y bradikinesia que no responde a la levodopa. La inestabilidad postural y la rigidez axial se desarrollan a medida que la enfermedad avanza. Las características neuropatológicas incluyen la patología tau y la pérdida neuronal en áreas cerebrales específicas, especialmente en las corteza parietal midfrontal e inferior."
"Es un grupo de enfermedades priónicas humanas caracterizadas por una neurodegeneración progresiva e invariablemente letal a consecuencia de la transmisión accidental de priones. El grupo comprende la enfermedad de Creutzfeldt-Jakob (ECJ) iatrogénica, resultante de la transmisión de priones de ECJ en el curso de procedimientos o tratamientos médicos, y la variante de la ECJ (transmisión a través del consumo de productos de derivados afectadas por la enfermedad priónica o mediante la transfusión de sangre de un individuo afectado).","Un grupo de enfermedades priónicas humanas caracterizadas por una neurodegeneración progresiva e invariablemente fatal resultante de la transmisión accidental de priones.El grupo comprende la enfermedad iatrogénica de Creutzfeldt-Jakob (CJD), que resulta de la transmisión de priones de CJD en el curso de procedimientos médicos o tratamientos, y la variante de CJD (transmisión a través del consumo de productos de vacas enfermas de priones o a través de transfusiones de sangre de un individuo afectado)."
"Es una leucodistrofia poco frecuente caracterizada por un espectro de manifestaciones neurológicas progresivas, que comprenden un inicio temprano rápidamente progresivo de nistagmo, tetraplejía espástica y afectación visual y auditiva, causando el fallecimiento en la infancia temprana. También es posible un inicio más tardío con una ataxia espástica compleja lentamente progresiva con síntomas piramidales y cerebelosos y pérdida de los hitos del desarrollo. La neuroimagen muestra una hipomielinización difusa de la sustancia blanca subcortical y profunda, atrofia cerebelosa y disminución global del volumen de la médula espinal.","Una leucodistrofia rara caracterizada por un espectro de manifestaciones neurológicas progresivas que incluyen nistagmo de inicio temprano progresivo, tetraplegia espastica y discapacidad visual y auditiva, lo que resulta en la muerte en la primera infancia, así como en un inicio posterior de ataxia espastica compleja progresiva lenta con síntomas piramidal y cerebelar y pérdida de hitos del desarrollo."
Está enfermedad se describe en  Síndrome de Alport,Esta enfermedad se describe bajo el síndrome de Alport
"Es un tumor de los tejidos hematopoyético y linfoide que se caracteriza por proliferación y diferenciación anómalas de una población clonal de células madre mieloides que presentan anomalías inespecíficas en 11q23. Las manifestaciones clínicas son el resultado de la acumulación de células mieloides malignas en la médula ósea, sangre periférica y en otros órganos, e incluyen leucocitosis, anemia, trombocitopenia, fatiga, anorexia y pérdida de peso.",Un tumor raro que surge de tejidos hematopoiéticos y linfoides caracterizado por una proliferación anormal y diferenciación de una población clonal de células madre mielóides con anomalías 11q23 inespecíficas.
"Es una enfermedad genética y poco frecuente de ataxia espástica autosómica recesiva caracterizada por ataxia cerebelosa, espasticidad, atrofia cerebelosa (y en algunos casos cerebral), distonía y leucoencefalopatía.","Una enfermedad rara, genética, autosomal recesivista de ataxia espastica caracterizada por ataxia cerebellar, espasticidad, atrofia cerebellar (y en algunos casos cerebral), distonia y leukoencefalopatía."
Es una vasculitis necrotizante sistémica crónica de adultos y niños que afecta a los vasos pequeños y medianos. Se caracteriza por la formación de microaneurismas que conducen a enfermedad generalizada grave con afectación multiorgánica.,La poliarteritis nodosa sistémica (PAN; véase este término) es una necrotizingvasculitis sistémica crónica de adultos y niños que afecta a los vasos de tamaño pequeño y medio y se caracteriza por la formación de microaneurismas que conducen a una enfermedad generalizada grave y a la participación de múltiples órganos.
"Es un proceso no familiar poco frecuente del tallo piloso caracterizado por un cabello fino, rizado, ensortijado e hipopigmentado, de un diámetro medio de 0,5 mm, localizado en una área circunscrita del cuero cabelludo presente en el nacimiento o de aparición durante los dos primeros años de vida. Ocasionalmente, puede presentarse en áreas inicialmente alopécicas en el período neonatal. Puede asociarse a alteraciones oculares (membrana pupilar persistente, defectos retinianos), pubertad precoz y nevos epidérmicos.","El nevus de pelo ludo (WHN) es una anomalía del pelo no familiar rara caracterizada por el cabello fino de pelo torcido, estrechamente enrollado e hipopigmentado con un diámetro promedio de 0,5 cm, observado desde el nacimiento o durante los primeros dos años de vida, en una distribución circunscrita localizada en el cuero cabelludo. Ocasionalmente, el WHN crece en áreas observadas como alopecias en el período neonatal."
"Es un trastorno genético neurometabólico poco frecuente multisistético y progresivo debido a una disfunción mitocondrial y que está caracterizado por encefalomiopatía, acidosis láctica y episodios que simulan ictus.","Un trastorno genético neurometabólico raro que es progresivo y multisistémico debido a la disfunción mitocondrial y que se caracteriza por encefalomiopatía, acidosis láctica y episodios similares a accidentes cerebrovasculares."
"Es una aciduria orgánica clásica poco frecuente caracterizada por el acúmulo tisular y el aumento de la excreción urinaria de ácido 3-hidroxiisobutírico. El fenotipo clínico varía desde leves episodios recurrentes de vómitos con un desarrollo cognitivo normal hasta acidosis masiva, crisis epilépticas y fallo de medro con grave discapacidad intelectual y muerte prematura. También se ha descrito rasgos craneofaciales dismórficos (como microcefalia, cara triangular, frente inclinada y estrecha, filtrum largo y prominente y micrognatia), así como anomalías cerebrales variables.","La acidez orgánica clásica rara se caracteriza por la acumulación de tejidos y la elevación de la excreción urinaria del ácido 3-hidroxisobutírico. El fenotipo clínico va desde episodios leves recurrentes de vómitos con desarrollo cognitivo normal, hasta acidosis masiva, convulsiones y incapacidad para prosperar con una discapacidad intelectual profunda y muerte temprana. También se han descrito características craniofaciales dismorficas (como microcefalia, cara triangular, frente corta, inclinada, filtrum largo y prominente y micrognatio) y anomalías cerebrales variables."
