reference,actual
Al examen: agudeza visual en ojo izquierdo con agujero estenopeico = 6/36.,O/E - agujero de pin acuedad visual del ojo izquierdo = 6/36.
Preparación con Echinacea.,Preparación de equinácea.
Polo superior del riñón.,Todo el polo superior del riñón.
Hidróxido de aluminio.,Algeladrato.
"Salmonella 11:z:e, n,x.","Salmonella 11; z;e, n, x."
Salmonella dabou.,"Salmonella 8,20;z4,z23;l, w."
Estructura del meato nasal.,"Meato nasal, NOS."
Tampón ótico.,Tampón para el oído de liberación convencional.
Set de criocirugía.,El conjunto de criocirugía.
Sutura palatina transversa del cráneo.,Una sutura transversal palatina del cráneo.
"Defecto del cojín endocárdico, completo.",Cánal atrioventricular persistente.
"Especialista en seguros/impuestos, SAI.",Especialista en seguros y impuestos NOS.
Producto que contiene solamente levotiroxina sódica 300 microgramos por cada comprimido para administración oral.,Producto que contiene con precisión 300 microgramos de levotiroxina sodio/ 1 por cada comprimido oral de liberación convencional.
Disco intervertebral de la quinta vértebra cervical.,Disco C5/6
Fracturas cerradas múltiples de cráneo y cara con otras hemorragias intracraneales no especificadas - RETIRADO -.,Muchas fracturas cerradas del cráneo y la cara con otra hemorragia intracraneal no especificada.
Intoxicación por especies de Gossypium.,Envenenamiento por especies de gosipio.
Otras infecciones gonocócicas.,Otras infecciones gonocócicas.
Hormona liberadora de ACTH.,Factor de liberación de corticotropina.
Vía intrauterina.,- ¿Qué es eso?
Isquemia crítica de miembros inferiores.,Isquemia crítica de las extremidades inferiores.
Especie de Bacillus.,Especies de bacilos.
Tlacuache dorado.,Oposso de lana centroamericana.
Inyección de un agente anestésico en un nervio periférico para analgesia.,Bloqueo nervioso periférico.
Producto que contiene inhibidor de fosfodiesterasa 5.,Producto que contiene un inhibidor de la fosfodiesterasa 5.
Ántrax peniano.,Carbocónculo del pene.
Aracnodactilia congénita con contracturas.,CCA - Contracción congénita arachnodactílica.
Producto con hidrocortisona y urea.,Producto que contiene hidrocortisona y urea.
"Salmonella III arizonae 42:l,v:z53.","Salmonella arizonae 42:l, v:z53."
Picoloro.,- El perro.
Producto que contiene ciclopirox en forma farmacéutica para administración tópica.,Ciclopirox en forma de dosis tópica.
"Producto que contiene clorhidrato de anagrelida 0,5 miligramos por cada cápsula para administración oral.",Anagrelide 500 microgramos cápsula.
Carboxilesterasa.,Ali-esterasa.
Cm/día.,Centimetro por día.
Rubisco.,Carboxilasa de ribulosa-bisfosfato.
Sistema de electroestimulación para terapia conductual.,Sistema de estimulación eléctrica de terapia conductual.
Palmitato (11-C) carbono.,Palmitato de carbono (11-C).
Aplastamiento de un nervio.,"Es un aplastamiento de nervios, NOS."
Producto que contiene alfentanilo como único ingrediente.,Alfentanil sólo producto.
"Golpe por barco o parte de él después de caída o salto desde barco averiado, ocupante de pequeña embarcación sin motor lesionado.","Golpeado por un barco o por una parte de él después de caer o saltar de un barco dañado, ocupante de un pequeño barco sin motor lesionado."
Prueba de estabilidad de la burbuja en líquido amniótico.,Prueba de estabilidad de burbujas en líquido amniótico.
Resección transuretral del cuello vesical.,DES - División del esfínter externo.
"Clorhidrato de doxepina, 150 mg, cápsula.",Producto que contiene sólo clorhidrato de doxepina 150 mg/ 1 por cápsula oral.
Neoplasia metastásica maligna de los ganglios linfáticos de la cara.,Cáncer metastásico a los ganglios linfáticos de la cara.
Anastomosis cavopulmonares superiores bidireccionales bilaterales.,Anastomosis superior cavopulmonar bilateral bidireccional.
Clásico.,Es clásico.
Comunicación oroantral.,Fistula oroantral.
Insulina lispro.,Insulina lispro (análogo recombinante de insulina humana) cartucho de 3 ml 100 unidades/ ml de inyección.
"Triamtereno+furosemida, 50 mg/40 mg, comprimido.",Producto que contiene triamtereno 50 mg y furosemida 40 mg/1 por comprimido oral.
Vena safena mayor.,Gran estructura de las venas safenas.
Bacilos grampositivos en cadenas.,Bacilos gram-positivos en cadenas.
Producto con benzocaína y salicilamida como únicos ingredientes.,Producto que contiene únicamente benzocaína y salicylamida.
Ingesta de ácido eicosapentaenoico.,Ingesta de EPA (ácido eicosapentaenoico).
Factor liberador de gonadotrofinas.,Hormona luteinizante que libera hormona.
Arteria cubital colateral superior.,Arteria ulnar superior colateral.
Monoacetilmorfina.,- La morfina de 6 acetil.
