reference,candidate
sin tocar la cara,no tocar la cara
análisis basado en gráficos,operación de análisis basada en gráficos
variaciones,variaciones
insuficiencia respiratoria,insuficiencia respiratoria
ceguera nocturna,ceguera nocturna
Sin anomalías,No hay anormalidades
modulación viral de la respuesta inmune del huésped,modulación por virus de la respuesta inmune del huésped
hipoestesia cutánea,hipoestesia cutánea
buen estado general,buen estado general
"El día 12 de enfermedad, tras la consulta inicial, la TAC torácica mostró infiltrados y sombras difusas en ambos pulmones.","En el día 12 de la enfermedad, después de la presentación inicial, la radiografía de tórax mostró infiltrado progresivo y sombra de rejilla difusa en ambos pulmones."
traducción citoplasmática,traducción citoplasmática
deficiencia de selenio,Deficiencia de selenio
lugar de la lesión,lugar de la lesión
forma de huso,Forma del husillo
ausencia de necrosis,Falta de necrosis
perturbaciones,perturbaciones
"Una TAC torácica mostró opacidades de vidrio esmerilado parcheadas, multifocales y bilaterales, predominantemente con distribución periférica, lo que hizo sospechar de neumonía atípica y posible infección vírica.",Una tomografía computarizada torácica reveló opacidades multifocales bilaterales de vidrio molido parcheado predominantemente con distribución periférica en relación con neumonía atípica y posiblemente infección viral.
"Se repitió la RT-PCR de frotis nasofaríngeo, con resultado aún positivo para SARS-CoV-2.",El RT-PCR sobre el SNP se repitió y sigue siendo positivo para el SRAS-CoV-2.
hemorragia en la protuberancia,pons;hemorragia
nutrición,nutrición
cánceres de tiroides,cánceres de tiroides
alteraciones renales,alteraciones renales
proliferación conductillos biliares,dúcula biliar de proliferación
agresión sexual al personal de enfermería,Agresión sexual
silmitasertib,Silmitasertib
CoV SARS civeta 007/2004,Civet SARS CoV 007/2004
Lóbulos de las orejas grandes,Lóbulos grandes de los oídos
"Mientras estaba en decúbito prono, el paciente no mostró taquipnea y requirió menos oxígeno, lo que nos permitió retrasar el inicio de la ventilación mecánica.","Mientras estaba en posición propensa, el paciente ya no era taquipnoeico, y requería niveles más bajos de soporte de oxígeno, lo que nos permitía retrasar el inicio de la ventilación mecánica."
exceso de sudoración,exceso de sudor
carácter central,carácter central
naturaleza dinámica,naturaleza dinámica
Dispraxia bucofacial,Dispraxia orofacial
dejar a solas durante periodo prolongado,dejar en paz un largo período de tiempo
artritis reumatoide,arhtritis reumatoide
inmunodeficiencia combinada de linfocitos T y B,inmunodeficiencia combinada de células T e células B
"Una TAC torácica reveló opacidades de vidrio esmerilado bilaterales con consolidaciones peribroncovasculares, coherentes con hemorragia alveolar difusa (HAD).",Una tomografía computarizada del tórax reveló opacidades bilaterales de vidrio molido con consolidaciones peribroncovasculares consistentes con HAD.
alteración de la fisiología del sistema cardiovascular,Fisiología anormal del sistema cardiovascular
"El paciente empezó a mejorar clínicamente; 4 días después estaba bastante estable, sin disnea, la saturación de oxígeno en aire ambiental llegó a 95% y la radiografía torácica mostró resolución parcial de las lesiones.","El paciente comenzó a mejorar clínicamente, 4 días después, estaba bastante estable, no había disnea, la saturación de oxígeno en el aire de la habitación alcanzó el 95%, y la radiografía de tórax se resolvió parcialmente."
discapacitado permanente,inhabilitado permanentemente
transmisión de la infección,transmisión de la infección
β-galactosidasa de tipo natural (no mutada),tipo salvaje beta-galactosidasa
cuerpo calloso engrosado,espesar cuerpo calloso
una fib,a fic
parche en la oreja,oído del parche
fusión bcr-abl,fusión bcr-abl
manifestaciones neurológicas,manifestaciones neurológicas
cicatriz hombro derecho,cicatriz hombro derecho
exploración de mama encontrada,Exámenes de mama encontrados
"El paciente había viajado a Italia el día -9 para asistir a un partido de rugby en Roma; luego, había viajado con su pareja y dos amigos por la Lombardía, el Véneto y la Toscana, desplazándose en un coche de alquiler y haciendo estancia en casas privadas de alquiler, antes de regresar a Escocia desde Milán el día -2.","El paciente había viajado a Italia el día -9 para ver un partido de rugby en Roma. Viajó con su pareja y dos amigos en un vehículo de alquiler privado a través de Lombardía, Véneto y Toscana, permaneciendo en alojamiento de alquiler privado, antes de volar de vuelta a Escocia desde Milán en el día -2."
síntomas neurológicos,síntomas neurológicos
indinavir,indinavir
patrón dominante,patrón dominante
El paciente fue reingresado en la UCI pediátrica y se aplicó de nuevo oxigenoterapia con cánula nasal de alto flujo.,"La paciente fue readmitida a la UCIP, la HFNC se inició de nuevo."
patología tumoral,enfermedad tumoral
"La paciente fue dada de alta al cuarto día de ingreso, teniendo en cuenta su situación clínicamente estable, que se mantuvo sin necesidad de corticoesteroides por vía oral.","El paciente fue dado de alta el 4o día de ingreso debido a la estabilidad clínica, que se mantuvo sin 26 corticosteroides orales."
Asimetría del tórax,Asimetría del tórax
enfermedad gástrica,Patología gástrica
lumen de vesícula,lumen de vesícula
como enfermedad,como enfermedad
citrato bismuto de ranitidina,Citrato de bismuto de ranitidina
rendimiento escolar insatisfactorio,Escuela de enseñanza secundaria
adenoma renal,adenoma riñón
alteraciones de comportamiento,alteraciones del comportamiento
transmitido por garrapatas,A bordo de las garrapatas
úlcera alrededor de la boca,úlcera alrededor de la boca
modelo de COVID,Modelo COVID
cáncer testicular,cáncer testicular
"La FIO2 inicial era del 60%, mientras que el caudal de aire era de 50 L/min.","El FiO2 inicial fue del 60%, mientras que el caudal de gas fue de 50 L/min."
"Doce días después de la retirada de la IMEC, el paciente presentó súbitamente una neumonía gramnegativa (Pseudomonas aeruginosa y Klebsiella pneumoniae) y murió de choque séptico en pocas horas, sin ninguna alteración de la actividad del VI.","Doce días después del destete del ECMO, el paciente de repente desarrolló neumonía gramnegativa (Pseudomonas aeruginosa y Klebsiella pneumoniae) y murió de shock séptico en unas pocas horas, sin más deterioro de la función del VI."
estenosis valvular pulmonar,Estenosis valvular pulmonar
gliomas lobulares,gliomas lóbulos
