reference,candidate
"En el laboratorio de los investigadores, los investigadores examinaron la utilidad incremental de añadir múltiples biomarcadores a los sistemas de puntuación clínica para predecir la mortalidad en UCI de los pacientes con sepsis severa.","En el laboratorio de investigadores, los investigadores examinaron la utilidad incremental de añadir múltiples biomarcadores a los sistemas de puntuación clínica para predecir la mortalidad de la UTI en pacientes con sepsis grave."
Puede llevar a una dificultad en la respiración y dolor torácico asociado.,Puede provocar dificultad para respirar y dolor torácico asociado.
"Aunque la cirugía plástica es usualmente una opción voluntaria, deberías tratarla tan serio como cualquier otro procedimiento médico.","Aunque la cirugía plástica es generalmente una opción voluntaria, usted debe tratarla tan seriamente como cualquier otro procedimiento médico."
Esta revisión del tema se centrará en el tratamiento de mujeres con adenocarcinoma o carcinoma pobremente diferenciado en nódulos axilares que no tienen un cáncer de pecho evidente.,Esta revisión temática se centrará en el tratamiento de mujeres con adenocarcinoma o carcinoma mal diferenciado en los ganglios axilares que no tienen un cáncer primario de mama evidente.
Los pacientes de 18 años o mayores con síntomas agudos del sistema respiratorio y radiografías torácicas positivas desde el día 1 de Octubre del 2004 hasta el 31 de Mayo del 2005 fueron incluidos como casos positivos.,Los pacientes mayores de 18 años con síntomas agudos del tracto respiratorio y radiografías de tórax positivas desde el 1 de octubre de 2004 hasta el 31 de mayo de 2005 fueron incluidos como casos positivos.
"En 9 de cada 10 casos, el embolismo pulmonar (EP) comienza como un coágulo en las venas profundas de la pierna (condición conocida como trombosis venosa profunda).","En 9 de cada 10 casos, la embolia pulmonar (EP) comienza como un coágulo de sangre en las venas profundas de la pierna (una afección conocida como trombosis venosa profunda)."
Estos tratamientos pueden realizarse para una mastectomía profiláctica pero también han demostrado que son seguras oncológicamente en pacientes con criterios específicos de cáncer de pecho en estadio temprano.,"Estos tratamientos se pueden realizar para la mastectomía profiláctica, pero también se ha demostrado que son oncológicamente seguros en pacientes con criterios específicos para el cáncer de mama en estadio temprano."
"Este método puede diagnosticar neumonía, pero no provee de información sobre la causa de la inflamación - información que puede ser útil para guiar el tratamiento.","Este método puede diagnosticar la neumonía, pero no proporciona información sobre la causa de la inflamación - información que podría ser útil para guiar el tratamiento."
Casi el 91% de aquellos que son entubados para una ventilación durante largo tiempo sufren colonización traqueal.,Casi el 90% de las personas intubadas para la ventilación a largo plazo sufren de colonización traqueal.
Los estudios epidemiológicos publicados sobre LPA y SDRA durante los últimos 20 años son difíciles de comparar.,Los estudios epidemiológicos publicados sobre ALI y ARDS en los últimos 20 años son difíciles de comparar.
Es importante discutir con su cirujano lo que él o ella sugiere para minimizar la posibilidad de una trombosis venosa profunda y embolismo pulmonar tras una cirugía de cadera.,Es importante discutir con su cirujano lo que él o ella sugiere para minimizar la posibilidad de trombosis venosa profunda y embolia pulmonar después de la cirugía de cadera.
La especificidad es la proporción de casos negativos verdaderos comparada al cultivo celular.,La especificidad es la proporción de casos negativos reales en comparación con el cultivo celular.
"Además, se calculará la precisión del Panel S.O.B. Profiler de Triaje.","Además, se calculará la exactitud diagnóstica del Triage Profiler S.O.B Panel."
"La displasia epifisaria múltiple puede ser heredada en un patrón recesivo autosomal, lo que significa que ambas copias del gen en cada célula tiene mutaciones.","La displasia epífisa múltiple también se puede heredar en un patrón autosómico recesivo, lo que significa que ambas copias del gen en cada célula tienen mutaciones."
"Se observaron a los pacientes desde 4 hasta 72 meses (media, 33 meses).","Los pacientes fueron observados de 4 a 72 meses (mediana, 33 meses)."
"Porque sólo se usa una parte del virus en la vacuna, la vacuna no puede causar una infección por VIH.","Debido a que sólo esta parte del virus se utiliza en la vacuna, la vacuna no puede causar la infección por el VIH."
El pacientes sufre una fractura de cadera que necesitará una artroplastia de cadera.,El paciente sufre de fractura de cadera que necesitará artroplastia de cadera.
"Cuando se encuentra, H. pylori debería tratarse, lo que implica 2 semanas de medicación.","Cuando se encuentra, H. pylori debe ser tratado, lo que implica unas 2 semanas de medicación."
"Se compilarán los cambios en la clasificación del diagnóstico diferencial, las órdenes del médico y las intervenciones.","Se compilarán los cambios en la clasificación del diagnóstico diferencial, las órdenes del médico y las intervenciones."
Se evaluará a los sujetos a las 12 semanas del tratamiento para el éxito del tratamiento.,Se evaluará el éxito del tratamiento a las 12 semanas de tratamiento.
¿Juega el Helicobacter pylori algún papel en el cáncer gástrico?,¿Helicobacter pylori juega un papel en el cáncer gástrico?
