reference,candidate
oído externo,oído externo
enfermedad constitucional,enfermedad innata
cuerpo de Mallory,Órgano mallorquín
rinoplástico,rinoplástico
perineural,perineural
frecuencia esperada,frecuencia esperada
rubidio,rubidium
yatroquímica,iatroquímica
macronúcleo,macronucleo
agua libre,agua libre
natural,naturaleza
trombosis hemorroidal,trombosis hemorroides
vía intravítrea,vía intravítrea (de administración)
canina,canino
globular,globo
antitifoidea,antitifoides
luxación del cristalino,ectopia lentis
papulosis bowenoide,papulosis propenoidea
peptona,peptona
bulbouretral,bulbouretral
terminal,terminal
descargar,para descargar
reticulada,reticulado
deshidratasa,dehidratasa
reconstituir,reconstituir
promotor,promotor
leve,levemente incapacitantes
antitoxinógeno,antitoxinogénico
carácter dominante,rasgo dominante
vínculo,relación
normovolémica,normopolémico
inteligencia,inteligencia
frialdad,aleofness
linfoma cerebral primario,linfoma cerebral primario
neurogenética,neurogenética
leñosa,Ligneous
tenia,tenia
teratólogo,teratologist
caseína,caseína
posmenopáusica,posmenopáusica
fluoropirimidínica,fluoropirimidina
foramen oval,Foramen de Botallo
falange proximal,falange proximal
perirradicular,periradicular
dicloroetano,dicloroetano
isopropílico,isopropil
enrojecerse,para volverte rojo
síndrome de Nezelof,Síndrome de Nezelof
roña,suciedad
catarata traumática,cataratas traumáticas
gestosis,gestosis
ontogénico,ontogenético
surco cingular,Cingulado sulcus
salpingografía,salpingografía
intestino,intestino
traumatológico,ortopédico
hipouricemiante,hipouricemia inductora
diarrea crónica,diarrea crónica
anisocariosis,anisocariosis
valva,cusp
pederastia,pederastia
glándula parótida,glándula parótida
vacuna contra la varicela,vacuna contra la varicela
gaseoso,carbonatos
alcoholizar,para someterse a la alcoholis
diplocócico,diplococal
prostaglandina F%l2α%l,prostaglandina F%l2α%l
uretrorragia,uretrorragia
covalencia,número covalente
comunidad,comunidad
queratina,queratina
amenorreico,amenorreico
dura,duro
apnea obstructiva,apnea obstructiva
antineurálgica,antineurálgico
ecografía Doppler transcraneal,Ultrasonograma Doppler transcraneal
pediculosis,pediculosis
bradiarritmia,bradiarritmia
anquilostoma,ancylostome
prolapso anal,prolapso anal
precentral,precentral
práctica,práctica
balonización,globos
travestido,transvestite
aislarse,a aislar
cintura escapular,faja de hombro
