reference,candidate
Al examen: agudeza visual en ojo izquierdo con agujero estenopeico = 6/36.,O/E - Agujero agudeza visual ojo izquierdo=6/36.
Preparación con Echinacea.,Preparación de equinácea.
Polo superior del riñón.,Todo el polo superior del riñón.
Hidróxido de aluminio.,Algeldrate.
"Salmonella 11:z:e, n,x.","Salmonella 11;z;e,n,x."
Salmonella dabou.,"Salmonella 8,20;z4,z23;l,w."
Estructura del meato nasal.,"Nasal meatus, NOS."
Tampón ótico.,Tampón de oreja de liberación convencional.
Set de criocirugía.,Set crioquirúrgico.
Sutura palatina transversa del cráneo.,Sutura transversal palatina del cráneo.
"Defecto del cojín endocárdico, completo.",Canal atrioventricular persistente.
"Especialista en seguros/impuestos, SAI.","NOS, especialista en seguros y impuestos."
Producto que contiene solamente levotiroxina sódica 300 microgramos por cada comprimido para administración oral.,Producto que contiene precisamente levotiroxina sódica 300 microgramos/1 cada comprimido oral de liberación convencional.
Disco intervertebral de la quinta vértebra cervical.,Disco C5/6.
Fracturas cerradas múltiples de cráneo y cara con otras hemorragias intracraneales no especificadas - RETIRADO -.,Múltiples fracturas cerradas de cráneo y cara con otra hemorragia intracraneal no especificada.
Intoxicación por especies de Gossypium.,Envenenamiento de especies de Gossypium.
Otras infecciones gonocócicas.,Otras infecciones gonocócicas.
Hormona liberadora de ACTH.,Factor liberador de corticotropina.
Vía intrauterina.,Intrauterina.
Isquemia crítica de miembros inferiores.,Isquemia crítica de miembros inferiores.
Especie de Bacillus.,Especie Bacillus.
Tlacuache dorado.,Opossum de lana centroamericana.
Inyección de un agente anestésico en un nervio periférico para analgesia.,Bloqueo del nervio periférico.
Producto que contiene inhibidor de fosfodiesterasa 5.,Producto que contiene inhibidor de la fosfodiesterasa 5.
Ántrax peniano.,Carbunco del pene.
Aracnodactilia congénita con contracturas.,CCA - Arachnodactilia contractural congénita.
Producto con hidrocortisona y urea.,Producto que contiene hidrocortisona y urea.
"Salmonella III arizonae 42:l,v:z53.","Salmonella arizonae 42:l,v:z53."
Picoloro.,Parrotbill.
Producto que contiene ciclopirox en forma farmacéutica para administración tópica.,Ciclopirox en forma de dosis tópica.
"Producto que contiene clorhidrato de anagrelida 0,5 miligramos por cada cápsula para administración oral.",Cápsula de 500 microgramos de Anagrelide.
Carboxilesterasa.,Ali-esterasa.
Cm/día.,Centímetro/día.
Rubisco.,Ribulosa-bisfosfato carboxilasa.
Sistema de electroestimulación para terapia conductual.,Terapia conductual sistema de estimulación eléctrica.
Palmitato (11-C) carbono.,Palmitato de carbono (11-C).
Aplastamiento de un nervio.,"Trituración de los nervios, NOS."
Producto que contiene alfentanilo como único ingrediente.,Producto exclusivo de alfentanilo.
"Golpe por barco o parte de él después de caída o salto desde barco averiado, ocupante de pequeña embarcación sin motor lesionado.","Atropellado en barco o parte de él después de caer o saltar de barco dañado, ocupante de pequeño barco sin motor herido."
Prueba de estabilidad de la burbuja en líquido amniótico.,Prueba de estabilidad de burbujas en líquido amniótico.
Resección transuretral del cuello vesical.,DES - División del esfínter externo.
"Clorhidrato de doxepina, 150 mg, cápsula.",Producto que contiene solamente clorhidrato de doxepina 150 mg/1 por cápsula oral.
Neoplasia metastásica maligna de los ganglios linfáticos de la cara.,Cáncer metastásico en los ganglios linfáticos de la cara.
Anastomosis cavopulmonares superiores bidireccionales bilaterales.,Anastomosis bidireccionales bilaterales superiores cavopulmonares.
Clásico.,Clásico.
Comunicación oroantral.,OAF - Fístula oroantral.
Insulina lispro.,Insulina lispro (recombinante análogo de insulina humana) 100unidades/ml inyectable Cartucho de 3 ml.
"Triamtereno+furosemida, 50 mg/40 mg, comprimido.",Producto que contiene 50 mg de triamtereno y 40 mg/1 de furosemida por comprimido oral.
Vena safena mayor.,Gran estructura de la vena safena.
Bacilos grampositivos en cadenas.,Bacilos Gram-positivos en cadenas.
Producto con benzocaína y salicilamida como únicos ingredientes.,Producto que contiene únicamente benzocaína y salicilamida.
Ingesta de ácido eicosapentaenoico.,Ingestión de EPA (ácido eicosapentaenoico).
Factor liberador de gonadotrofinas.,Hormona luteinizante que libera la hormona.
Arteria cubital colateral superior.,Arteria ulnar colateral superior.
Monoacetilmorfina.,6-acetilmorfina.
Acción preventiva.,Preventivo.
Otras micosis superficiales especificadas.,Otros micos superficiales especificados.
Proceso transverso de la séptima vértebra torácica.,Proceso transversal de séptima vértebra torácica.
Plaga gastroentérica.,Plaga gastroenterical.
Vacunación con vacuna combinada contra Haemophilus influenzae tipo B y Neisseria meningitidis serotipo C.,Vacunación contra Haemophilus influenzae tipo B y meningitis C.
Unidad arbitraria de isotipo IgA para antígeno fosfolipídico por mililitro.,Unidad arbitraria de inmunoglobulina Isotipo A para antígeno fosfolípido por mililitro.
Hb G - Singapur.,Hb G-Chino.
Enfermedad de Graves debida a bocio tóxico difuso.,Un bocio exoftálmico.
Unidad de cuidados intensivos cardiológicos.,Cardíaco UIT.
Género Hypoderma.,Especie de hipoderma.
"Ascorbato de sodio, 1 g/ml, solución inyectable, ampolla de 1 ml.",Ascorbato de sodio 1g/1mL inyectable.
Mesioincisal.,Toda la superficie de los dientes incisal mesial.
Producto que contiene darunavir en forma farmacéutica para administración oral.,Producto que contiene darunavir en forma de dosis oral.
Metionina 250 mg por cada comprimido para administración oral.,Producto que contiene exactamente 250 miligramos de metionina/1 cada comprimido oral de liberación convencional.
Epitróclea.,Cóndilo medio de húmero.
Sangrado uterino anormal debido a pólipo endometrial.,pólipo endometrial con sangrado uterino anormal.
Salmonella aarhus.,"Salmonella 18:z4,z23:z64."
Condrodistrofia de Kniest.,Displasia del cartílago de queso suizo.
Páncreas pequeño congénito.,Hipoplasia congénita del páncreas.
Producto que contiene estradiol y noretisterona en forma farmacéutica para administración oral como únicos ingredientes.,Estradiol y noretisterona solo producto en forma de dosis oral.
Hemorragia prenatal accidental.,Separación prematura de la placenta.
"Rofecoxib, 25 mg/5 ml, suspensión oral.",Rofecoxib 25mg/5mL suspensión oral.
GDPhexosa pirofosforilasa.,PIBhexosa pirofosforilasa.
"Cefotetán disódico, 10 g, solución inyectable, vial.",Cefotetan disodium 10g polvo para solución inyectable vial.
"Neoplasia de peritoneo o retroperitoneo de comportamiento incierto, SAI.",Neoplasia de comportamiento incierto de retroperitoneo o peritoneo NOS.
Galleta dulce simple.,Un rusk sencillo.
Secreción placentaria de gonadotrofina coriónica.,"Secreción placentaria de gonadotrofina coriónica, función."
Neoplasia maligna del maxilar inferior.,Neoplasia maligna primaria de la mandíbula.
Dieta restringida en carbohidratos.,Dieta restringida de carbohidratos.
Venografía de pelvis con guía fluoroscópica.,Venograma pélvico.
Lacticaseibacillus casei.,Lactobacillus casei subsp. casei.
