reference,candidate
sin tocar la cara,No tocar la cara
análisis basado en gráficos,Operación de análisis basada en gráficos
variaciones,Variaciones
insuficiencia respiratoria,Insuficiencia respiratoria aguda
ceguera nocturna,ceguera nocturna
Sin anomalías,No hay anormalidades
modulación viral de la respuesta inmune del huésped,Modulación por el virus de la respuesta inmune del huésped
hipoestesia cutánea,hipoesthesia de la piel
buen estado general,Buen estado general
"El día 12 de enfermedad, tras la consulta inicial, la TAC torácica mostró infiltrados y sombras difusas en ambos pulmones.","Al día 12 de la enfermedad, después de la presentación inicial, la radiografía de tórax mostró infiltrado progresivo y sombra reticular difusa en ambos pulmones."
traducción citoplasmática,Traducción citoplasmática
deficiencia de selenio,Selenium deficiency
lugar de la lesión,Sitio de la lesión
forma de huso,Forma de husillo
ausencia de necrosis,Ausencia de necrosis
perturbaciones,perturbaciones
"Una TAC torácica mostró opacidades de vidrio esmerilado parcheadas, multifocales y bilaterales, predominantemente con distribución periférica, lo que hizo sospechar de neumonía atípica y posible infección vírica.","La TC de tórax reveló opacidades multifocales bilaterales de vidrio esmerilado con predominio de distribución periférica, preocupantes por neumonía atípica y posible infección viral."
"Se repitió la RT-PCR de frotis nasofaríngeo, con resultado aún positivo para SARS-CoV-2.",La RT‐PCR en NPS se repitió y todavía fue positiva para SARS‐CoV‐2.
hemorragia en la protuberancia,puente; hemorragia
nutrición,nutrición
cánceres de tiroides,Cánceres de tiroides
alteraciones renales,Alteraciones del riñón
proliferación conductillos biliares,Proliferación del conducto biliar
agresión sexual al personal de enfermería,Agresión sexual en enfermería
silmitasertib,Silmitasertib
CoV SARS civeta 007/2004,Civeta SARS CoV 007/2004
Lóbulos de las orejas grandes,Lóbulos de oreja grandes
"Mientras estaba en decúbito prono, el paciente no mostró taquipnea y requirió menos oxígeno, lo que nos permitió retrasar el inicio de la ventilación mecánica.","Mientras estaba en posición inclinada, el paciente ya no era taquipneico y requería niveles más bajos de soporte de oxígeno, lo que nos permitió retrasar el inicio de la ventilación mecánica."
exceso de sudoración,El exceso de sudor
carácter central,Carácter central
naturaleza dinámica,La naturaleza dinámica
Dispraxia bucofacial,Dispraxia orofacial
dejar a solas durante periodo prolongado,Dejar solo por un largo período de tiempo
artritis reumatoide,Artritis reumatoide
inmunodeficiencia combinada de linfocitos T y B,Inmunodeficiencia combinada de células T y células B
"Una TAC torácica reveló opacidades de vidrio esmerilado bilaterales con consolidaciones peribroncovasculares, coherentes con hemorragia alveolar difusa (HAD).",Una tomografía computarizada del tórax reveló opacidades de vidrio esmerilado bilaterales con consolidaciones peribroncovasculares consistentes con DAH.
alteración de la fisiología del sistema cardiovascular,Fisiología anormal del sistema cardiovascular
"El paciente empezó a mejorar clínicamente; 4 días después estaba bastante estable, sin disnea, la saturación de oxígeno en aire ambiental llegó a 95% y la radiografía torácica mostró resolución parcial de las lesiones.","El paciente comenzó a mejorar clínicamente, 4 días después, estaba bastante estable, sin disnea, la saturación de oxígeno en el aire ambiente alcanzó el 95%, y la radiografía de tórax se resolvió parcialmente."
discapacitado permanente,permanentemente discapacitados
transmisión de la infección,Transmisión de la infección
β-galactosidasa de tipo natural (no mutada),Tipo salvaje beta-galactosidasa
cuerpo calloso engrosado,Engrosar el corpus callosum
una fib,a fib
parche en la oreja,Oído del parche
fusión bcr-abl,fusion bcr-abl
manifestaciones neurológicas,Manifestaciones neurológicas
cicatriz hombro derecho,Cicatriz en el hombro derecho
exploración de mama encontrada,Exámenes de mama
"El paciente había viajado a Italia el día -9 para asistir a un partido de rugby en Roma; luego, había viajado con su pareja y dos amigos por la Lombardía, el Véneto y la Toscana, desplazándose en un coche de alquiler y haciendo estancia en casas privadas de alquiler, antes de regresar a Escocia desde Milán el día -2.","El paciente había viajado a Italia el día -9 para asistir a un partido de rugby en Roma.Viajó con su pareja y dos amigos en un vehículo privado de alquiler a través de Lombardía, Véneto y Toscana, alojándose en un alojamiento privado de alquiler, antes de volar de vuelta a Escocia desde Milán el día -2."
síntomas neurológicos,Síntomas neurológicos
indinavir,indinavir
patrón dominante,El patrón dominante
El paciente fue reingresado en la UCI pediátrica y se aplicó de nuevo oxigenoterapia con cánula nasal de alto flujo.,"El paciente fue readmitido a la UCPI, se inició de nuevo la HFNC."
patología tumoral,enfermedad tumoral
"La paciente fue dada de alta al cuarto día de ingreso, teniendo en cuenta su situación clínicamente estable, que se mantuvo sin necesidad de corticoesteroides por vía oral.","El paciente fue dado de alta al 4º día de ingreso debido a la estabilidad clínica, la cual se mantuvo sin 26 corticosteroides orales."
Asimetría del tórax,Asimetría del tórax
enfermedad gástrica,Patología gástrica
lumen de vesícula,Lumen de la vesícula
como enfermedad,Como enfermedad
citrato bismuto de ranitidina,Ranitidine bismuth citrate
rendimiento escolar insatisfactorio,underachievement school
adenoma renal,Adenoma de riñón
alteraciones de comportamiento,Alteraciones del comportamiento
transmitido por garrapatas,de garrapatas
úlcera alrededor de la boca,Úlcera alrededor de la boca
modelo de COVID,Modelo de COVID
cáncer testicular,Cáncer de testículo
"La FIO2 inicial era del 60%, mientras que el caudal de aire era de 50 L/min.","El FiO2 inicial fue de 60%, mientras que el caudal de gas fue de 50 L/min."
"Doce días después de la retirada de la IMEC, el paciente presentó súbitamente una neumonía gramnegativa (Pseudomonas aeruginosa y Klebsiella pneumoniae) y murió de choque séptico en pocas horas, sin ninguna alteración de la actividad del VI.","Doce días después del destete de la ECMO, el paciente desarrolló repentinamente neumonía gramnegativa (Pseudomonas aeruginosa y Klebsiella pneumoniae) y murió de shock séptico en pocas horas, sin ningún otro deterioro de la función del VE."
estenosis valvular pulmonar,Estenosis valvular pulmonar
gliomas lobulares,Gliomas de lóbulo
