reference,candidate
Al examen: agudeza visual en ojo izquierdo con agujero estenopeico = 6/36.,O/E - agudeza visual agujero de alfiler ojo izquierdo=6/36.
Preparación con Echinacea.,Preparación de equinácea.
Polo superior del riñón.,Polo superior entero del riñón.
Hidróxido de aluminio.,Tarifa de alquiler.
"Salmonella 11:z:e, n,x.","Salmonella 11;z;e,n,x."
Salmonella dabou.,"Salmonella 8,20;z4,z23;l,w."
Estructura del meato nasal.,"Canal nasal, NOS."
Tampón ótico.,Tampón de oído de liberación convencional.
Set de criocirugía.,Conjunto de criocirugía.
Sutura palatina transversa del cráneo.,Sutura palatina transversa del cráneo.
"Defecto del cojín endocárdico, completo.",Canal atrioventricular persistente.
"Especialista en seguros/impuestos, SAI.",Especialista en seguros/impuestos NOS.
Producto que contiene solamente levotiroxina sódica 300 microgramos por cada comprimido para administración oral.,Producto que contiene precisamente levotiroxina sódica 300 microgramos/1 cada comprimido oral de liberación convencional.
Disco intervertebral de la quinta vértebra cervical.,Disco C5/6.
Fracturas cerradas múltiples de cráneo y cara con otras hemorragias intracraneales no especificadas - RETIRADO -.,Múltiples fracturas cerradas de cráneo y cara con otras y no especificadas hemorragias intracraneales.
Intoxicación por especies de Gossypium.,Envenenamiento por especies de Gossypium.
Otras infecciones gonocócicas.,Otras infecciones gonocócicas.
Hormona liberadora de ACTH.,Factor de liberación de corticotropina.
Vía intrauterina.,Intrauterinamente.
Isquemia crítica de miembros inferiores.,Isquemia crítica de la extremidad inferior.
Especie de Bacillus.,Especies de Bacillus.
Tlacuache dorado.,Opossum lanoso centroamericano.
Inyección de un agente anestésico en un nervio periférico para analgesia.,Bloqueo del nervio periférico.
Producto que contiene inhibidor de fosfodiesterasa 5.,Producto que contiene inhibidor de la fosfodiesterasa 5.
Ántrax peniano.,El carbunco del pene.
Aracnodactilia congénita con contracturas.,CCA - Arachnodactyly contractural congénita.
Producto con hidrocortisona y urea.,Producto que contiene hidrocortisona y urea.
"Salmonella III arizonae 42:l,v:z53.","Salmonella arizonae 42:l,v:z53."
Picoloro.,Parrotbill.
Producto que contiene ciclopirox en forma farmacéutica para administración tópica.,Ciclopirox en forma de dosificación tópica.
"Producto que contiene clorhidrato de anagrelida 0,5 miligramos por cada cápsula para administración oral.",Anagrelide 500micrograms cápsula.
Carboxilesterasa.,Ali-esterasa.
Cm/día.,Centímetro/día.
Rubisco.,Ribulosa-bisfosfato carboxilasa.
Sistema de electroestimulación para terapia conductual.,Sistema de estimulación eléctrica de terapia conductual.
Palmitato (11-C) carbono.,Palmitato de carbono (11-C).
Aplastamiento de un nervio.,"Aplastamiento del nervio, NOS."
Producto que contiene alfentanilo como único ingrediente.,Alfentanil solo producto.
