reference,candidate
sin tocar la cara,No tocar la cara
análisis basado en gráficos,operación de análisis basado en gráficos
variaciones,las variaciones
insuficiencia respiratoria,insuficiencia respiratoria
ceguera nocturna,ceguera nocturna
Sin anomalías,No hay anormalidades
modulación viral de la respuesta inmune del huésped,modulación por el virus de la respuesta inmune del huésped
hipoestesia cutánea,hipoestesia de la piel
buen estado general,buen estado general
"El día 12 de enfermedad, tras la consulta inicial, la TAC torácica mostró infiltrados y sombras difusas en ambos pulmones.","En el día 12 de la enfermedad, después de la presentación inicial, la radiografía de tórax mostró una sombra de rejilla infiltrada y difusa progresiva en ambos pulmones."
traducción citoplasmática,traducción citoplasmática
deficiencia de selenio,Deficiencia de selenio
lugar de la lesión,lugar de la lesión
forma de huso,Forma del husillo
ausencia de necrosis,No hay necrosis
perturbaciones,perturbaciones
"Una TAC torácica mostró opacidades de vidrio esmerilado parcheadas, multifocales y bilaterales, predominantemente con distribución periférica, lo que hizo sospechar de neumonía atípica y posible infección vírica.",Una tomografía computarizada del pecho reveló opacidades de vidrio molido con manchas bilaterales multifocales predominantemente con distribución periférica que preocupa por la neumonía atípica y posiblemente la infección viral.
"Se repitió la RT-PCR de frotis nasofaríngeo, con resultado aún positivo para SARS-CoV-2.",La RT-PCR en NPS se repitió y aún fue positiva para SARS-CoV-2.
hemorragia en la protuberancia,Pons; hemorragia
nutrición,nutrición
cánceres de tiroides,cáncer de tiroides
alteraciones renales,alteraciones renales
proliferación conductillos biliares,Proliferación de los conductos biliares
agresión sexual al personal de enfermería,agresión sexual enfermería
silmitasertib,El tratamiento con silmitasertib
CoV SARS civeta 007/2004,"El virus del sarro, el SARS-CoV 007/2004"
Lóbulos de las orejas grandes,Órfidos grandes
"Mientras estaba en decúbito prono, el paciente no mostró taquipnea y requirió menos oxígeno, lo que nos permitió retrasar el inicio de la ventilación mecánica.","Mientras estaba en posición de prole, el paciente ya no era taquipnoico, y requería niveles más bajos de soporte de oxígeno, lo que nos permitió retrasar el inicio de la ventilación mecánica."
exceso de sudoración,sudoración excesiva
carácter central,personaje central
naturaleza dinámica,naturaleza dinámica
Dispraxia bucofacial,Dispraxia orofacial
dejar a solas durante periodo prolongado,Dejarlo solo durante un largo período de tiempo
artritis reumatoide,Enfermedad de las articulaciones
inmunodeficiencia combinada de linfocitos T y B,inmunodeficiencia combinada de células T y células B
"Una TAC torácica reveló opacidades de vidrio esmerilado bilaterales con consolidaciones peribroncovasculares, coherentes con hemorragia alveolar difusa (HAD).",Una tomografía computarizada del pecho reveló opacidades de vidrio molido bilateral con consolidaciones peribronco-vasculares consistentes con DAH.
alteración de la fisiología del sistema cardiovascular,Fisiología anormal del sistema cardiovascular
"El paciente empezó a mejorar clínicamente; 4 días después estaba bastante estable, sin disnea, la saturación de oxígeno en aire ambiental llegó a 95% y la radiografía torácica mostró resolución parcial de las lesiones.","El paciente comenzó a mejorar clínicamente, 4 días después, estaba bastante estable, sin disnea, la saturación de oxígeno en el aire de la habitación alcanzó el 95%, y la radiografía de tórax se resolvió parcialmente."
discapacitado permanente,permanentemente incapacitado
transmisión de la infección,Transmisión de la infección
β-galactosidasa de tipo natural (no mutada),Beta-galactosidasa de tipo salvaje
cuerpo calloso engrosado,espesación del cuerpo calloso
una fib,una fib
parche en la oreja,parche en la oreja
fusión bcr-abl,Fusión de las partículas
manifestaciones neurológicas,manifestaciones neurológicas
cicatriz hombro derecho,cicatriz del hombro derecho
exploración de mama encontrada,examen de mama encontrado
"El paciente había viajado a Italia el día -9 para asistir a un partido de rugby en Roma; luego, había viajado con su pareja y dos amigos por la Lombardía, el Véneto y la Toscana, desplazándose en un coche de alquiler y haciendo estancia en casas privadas de alquiler, antes de regresar a Escocia desde Milán el día -2.","El paciente había viajado a Italia el día -9 para ver un partido de rugby en Roma. Viajó con su pareja y dos amigos en un vehículo de alquiler privado a través de Lombardía, Veneto y Toscana, alojándose en alojamientos de alquiler privado, antes de volar de vuelta a Escocia desde Milán el día -2."
síntomas neurológicos,síntomas neurológicos
indinavir,Indinavir y sus derivados
patrón dominante,patrón dominante
El paciente fue reingresado en la UCI pediátrica y se aplicó de nuevo oxigenoterapia con cánula nasal de alto flujo.,"El paciente fue readmitido a la UCI, se comenzó de nuevo el CNAH."
patología tumoral,enfermedad tumoral
"La paciente fue dada de alta al cuarto día de ingreso, teniendo en cuenta su situación clínicamente estable, que se mantuvo sin necesidad de corticoesteroides por vía oral.","El paciente fue dado de alta el 4o día de ingreso debido a la estabilidad clínica, que se mantuvo sin corticosteroides orales."
Asimetría del tórax,Asimetría del tórax
enfermedad gástrica,patología gástrica
lumen de vesícula,lumen de las vesículas
como enfermedad,como enfermedad
