reference,actual
oído externo,oído externo
enfermedad constitucional,enfermedad innata
cuerpo de Mallory,El cuerpo de Mallory
rinoplástico,de renoplástico
perineural,de la zona de la zona
frecuencia esperada,frecuencia esperada
rubidio,rubidio
yatroquímica,Iatroquímicos
macronúcleo,Macronucleo
agua libre,agua libre
natural,la naturaleza
trombosis hemorroidal,trombosis hemorroide
vía intravítrea,vía intravitreal (de administración)
canina,canina
globular,el globo
antitifoidea,antitifoides
luxación del cristalino,Ectopia lentis
papulosis bowenoide,Papulosis de los boenoides
peptona,peptona
bulbouretral,de la parte superior
terminal,terminal
descargar,Descargar
reticulada,reticulado
deshidratasa,Deshidratasa
reconstituir,para reconstituir
promotor,promotor
leve,de incapacidad leve
antitoxinógeno,anti-toxinogénico
carácter dominante,rasgo dominante
vínculo,relación
normovolémica,normavolemia
inteligencia,inteligencia
frialdad,la distancia
linfoma cerebral primario,linfoma cerebral primario
neurogenética,neurogenético
leñosa,de línea
tenia,Tenia
teratólogo,Teratólogo
caseína,de la casena
posmenopáusica,la posmenopausia
fluoropirimidínica,Fluoropirimidina
foramen oval,El foramen de Botallo
falange proximal,Falange proxima
perirradicular,de la misma forma
dicloroetano,Dicloroetano
isopropílico,isopropilo
enrojecerse,para volverse rojo
síndrome de Nezelof,Síndrome de Nezelof
roña,el suelo
catarata traumática,catarata traumática
gestosis,gestosis
ontogénico,en el sentido de la
surco cingular,el sulco cingulado
salpingografía,Salpingografía
intestino,intestino
traumatológico,Ortopedia
hipouricemiante,induciendo hipoiricemia
diarrea crónica,diarrea crónica
anisocariosis,Anisocariosis
valva,el cupo
pederastia,la pederastia
glándula parótida,glándula parótida
vacuna contra la varicela,vacuna contra la varicela
gaseoso,carbonados
alcoholizar,para someterse a una alcohólisis
diplocócico,de la parte superior
prostaglandina F%l2α%l,Prostaglandina F%l2α%l
uretrorragia,la uretrorragia
covalencia,número de covalente
comunidad,comunidad
queratina,la queratina
amenorreico,Amenoides
dura,duro
apnea obstructiva,Apnea obstructiva
antineurálgica,antineuralgico
ecografía Doppler transcraneal,Ultrasonografía transcraneal de Doppler
pediculosis,la pédiculosis
bradiarritmia,la bradiaritmia
anquilostoma,ancilostoma
prolapso anal,prolapso anal
precentral,precentral
práctica,práctica
