reference,candidate
Al examen: agudeza visual en ojo izquierdo con agujero estenopeico = 6/36.,O/E - agudeza visual por agujero de alfiler del ojo izquierdo = 6/36.
Preparación con Echinacea.,Preparación de equinácea.
Polo superior del riñón.,Todo el polo superior del riñón.
Hidróxido de aluminio.,- ¿Qué es eso?
"Salmonella 11:z:e, n,x.","Se ha detectado la presencia de salmonela 11.z;e,n,x."
Salmonella dabou.,Las especies de salmonela son las siguientes:
Estructura del meato nasal.,"Meato nasal, NOS. ¿Qué es eso?"
Tampón ótico.,Un tampón de oído de liberación convencional.
Set de criocirugía.,Un juego de criocirugía.
Sutura palatina transversa del cráneo.,Sutura transversal palatina del cráneo.
"Defecto del cojín endocárdico, completo.",El canal atrioventricular es persistente.
"Especialista en seguros/impuestos, SAI.",Especialista en seguros y impuestos NOS.
Producto que contiene solamente levotiroxina sódica 300 microgramos por cada comprimido para administración oral.,Producto que contiene precisamente 300 microgramos de levotiroxina sodio por cada comprimido oral de liberación convencional.
Disco intervertebral de la quinta vértebra cervical.,Disco C5 y 6.
Fracturas cerradas múltiples de cráneo y cara con otras hemorragias intracraneales no especificadas - RETIRADO -.,Múltiples fracturas cerradas del cráneo y la cara con otra hemorragia intracraneal no especificada.
Intoxicación por especies de Gossypium.,Envenenamiento por especies de Gossypium.
Otras infecciones gonocócicas.,Otras infecciones gonocócicas.
Hormona liberadora de ACTH.,Factor de liberación de corticotropina.
Vía intrauterina.,Es para el útero.
Isquemia crítica de miembros inferiores.,Isquemia crítica en las extremidades inferiores.
Especie de Bacillus.,Especie de bacilo.
Tlacuache dorado.,El opossum lanudo de América Central.
Inyección de un agente anestésico en un nervio periférico para analgesia.,Bloqueo de los nervios periféricos.
Producto que contiene inhibidor de fosfodiesterasa 5.,Producto que contiene un inhibidor de la fosfodiesterasa 5.
Ántrax peniano.,El carbúnculo del pene.
Aracnodactilia congénita con contracturas.,CCA - Arácnodectilia contractural congénita.
Producto con hidrocortisona y urea.,Producto que contiene hidrocortisona y urea.
"Salmonella III arizonae 42:l,v:z53.",Se ha detectado la presencia de salmonela en el agua de la zona de la zona de la zona de la zona de la zona de la zona de la zona de la zona de la zona de la zona de la zona de la zona de la zona de la zona de la zona de la zona de la zona de la zona de la zona de la zona.
Picoloro.,Es el perro.
Producto que contiene ciclopirox en forma farmacéutica para administración tópica.,Ciclopirox en forma de dosis tópica.
"Producto que contiene clorhidrato de anagrelida 0,5 miligramos por cada cápsula para administración oral.",Anagrelide 500 microgramos en cápsula
Carboxilesterasa.,Ali-esterasa. ¿Qué es eso?
Cm/día.,Centimetros por día
Rubisco.,La ribulosa-bisfosfato carboxilasa también se utiliza para la producción de proteínas.
Sistema de electroestimulación para terapia conductual.,Sistema de estimulación eléctrica para terapia conductual.
Palmitato (11-C) carbono.,El carbono (11-C) palmitato.
Aplastamiento de un nervio.,"Eso es una locura, NOS."
Producto que contiene alfentanilo como único ingrediente.,El producto es el alfentanilo.
"Golpe por barco o parte de él después de caída o salto desde barco averiado, ocupante de pequeña embarcación sin motor lesionado.","Golpeado por un barco o parte de él después de caer o saltar de un barco dañado, ocupante de un pequeño barco sin motor herido."
Prueba de estabilidad de la burbuja en líquido amniótico.,Prueba de estabilidad de burbujas en líquido amniótico.
Resección transuretral del cuello vesical.,DES - División del esfínter externo.
"Clorhidrato de doxepina, 150 mg, cápsula.",Producto que contiene sólo clorhidrato de doxepina 150 mg/ 1 por cada cápsula oral.
Neoplasia metastásica maligna de los ganglios linfáticos de la cara.,El cáncer se ha metastatizado a los ganglios linfáticos de la cara.
Anastomosis cavopulmonares superiores bidireccionales bilaterales.,Anastomosis cavopulmonar superior bidireccional y bilateral.
Clásico.,Es clásico.
Comunicación oroantral.,OAF - Fistula oroantral.
Insulina lispro.,Insulina lispro (analógico de insulina humana recombinante) 100 unidades/ ml cartucho inyectable de 3 ml.
"Triamtereno+furosemida, 50 mg/40 mg, comprimido.",Producto que contiene 50 mg de triamtereno y 40 mg/ 1 de furosemida por comprimido oral.
Vena safena mayor.,Una gran estructura de las venas safenales.
Bacilos grampositivos en cadenas.,Bacilo Gram positivo en las cadenas.
Producto con benzocaína y salicilamida como únicos ingredientes.,Producto que contiene únicamente benzocaína y salicilamida.
Ingesta de ácido eicosapentaenoico.,La ingesta de EPA (ácido eicosapentaenoico) es muy baja.
Factor liberador de gonadotrofinas.,Hormona luteinizante que libera la hormona.
Arteria cubital colateral superior.,Arteria ulnar colateral superior. ¿Qué es eso?
Monoacetilmorfina.,6-acetilmorfina. ¿Qué es eso?
Acción preventiva.,Es preventivo.
Otras micosis superficiales especificadas.,Otras micosis superficiales especificadas
Proceso transverso de la séptima vértebra torácica.,Proceso transversal de la séptima vértebra torácica.
Plaga gastroentérica.,La plaga gastroenteral.
Vacunación con vacuna combinada contra Haemophilus influenzae tipo B y Neisseria meningitidis serotipo C.,Vacunación contra el Haemophilus influenzae tipo B y la meningitis C.
Unidad arbitraria de isotipo IgA para antígeno fosfolipídico por mililitro.,Unidad arbitraria de isotipo de inmunoglobulina A para el antígeno fosfolípido por mililitro.
Hb G - Singapur.,Hb G-Chinese. ¿Qué es eso?
Enfermedad de Graves debida a bocio tóxico difuso.,Es un bocio exoftalmico.
Unidad de cuidados intensivos cardiológicos.,Unidad de Transmisión Intensiva Cardíaca.
Género Hypoderma.,Especie de hipoderma.
"Ascorbato de sodio, 1 g/ml, solución inyectable, ampolla de 1 ml.",Ascorbato de sodio 1g/ 1mL inyectable.
Mesioincisal.,Superficies enteras de los dientes incisales mesianos.
Producto que contiene darunavir en forma farmacéutica para administración oral.,Producto que contiene darunavir en forma de dosis para uso oral.
Metionina 250 mg por cada comprimido para administración oral.,Producto que contiene exactamente 250 miligramos/1 de metionina en cada comprimido oral de liberación convencional.
Epitróclea.,Cóndiles medial del húmero.
Sangrado uterino anormal debido a pólipo endometrial.,Pólipo endometrial con sangrado uterino anormal.
Salmonella aarhus.,En el caso de las salmonelas:
Condrodistrofia de Kniest.,Displasia de cartílago de queso suizo.
Páncreas pequeño congénito.,Hipoplasia congénita del páncreas.
Producto que contiene estradiol y noretisterona en forma farmacéutica para administración oral como únicos ingredientes.,Estradiol y noretisterona sólo en forma de dosis oral.
Hemorragia prenatal accidental.,Separación prematura de la placenta.
"Rofecoxib, 25 mg/5 ml, suspensión oral.",Rofecoxib 25 mg/ 5 ml suspensión oral
GDPhexosa pirofosforilasa.,GDPhexose pirofosforilasa.
"Cefotetán disódico, 10 g, solución inyectable, vial.",Cefotetano disódico 10g en polvo para solución inyectable en un vial.
"Neoplasia de peritoneo o retroperitoneo de comportamiento incierto, SAI.",Neoplasia de comportamiento incierto del retroperitoneo o del peritoneo NOS.
Galleta dulce simple.,Es un simple ladrón.
Secreción placentaria de gonadotrofina coriónica.,"Secretión placentaria de gonadotropina coriónica, función"
Neoplasia maligna del maxilar inferior.,Neoplasia maligna primaria de la mandíbula.
Dieta restringida en carbohidratos.,Dieta restringida en carbohidratos.
Venografía de pelvis con guía fluoroscópica.,Venografía pélvica.
Lacticaseibacillus casei.,Lactobacillus casei subespecie casei
Abrasión y/o quemadura por fricción de mano sin infección.,Se trata de una quemadura por abrasión y/o fricción de la mano sin infección.
"Miconazol, vaselina blanca y óxido de cinc.",Miconazol y el producto de petrólato blanco y óxido de zinc.
"Envenenamiento accidental por, y exposición a analgésicos no opiáceos, en granja.","Envenenamiento accidental por analgésicos no opioides y exposición a ellos, ocurrido en la explotación."
Drenaje del oído medio por miringotomía.,- Es una timpanotomía con intubación.
Clorhidrato de lidocaína 10 mg/ml de solución inyectable.,Producto que contiene precisamente clorhidrato de lidocaína 10 mg/ 1 ml solución inyectable de liberación convencional.
Neumonitis por toxoplasmosis adquirida.,Pneumonia con toxoplasmosis. ¿Qué es eso?
Orificio cardíaco del estómago.,Estructura del óstio cardíaco del estómago.
Lepra resistente a la dapsona.,Lepra resistente a la diaminodifenilsulfona. ¿Qué es eso?
Arteriografía fluoroscópica de arteria poplítea con inserción de stent.,Angiografía fluoroscópica de la arteria poplítea con inserción de un stent.
M) epitelioma intraepidérmico de Jadassohn.,El epitelioma intraepidermal de Jadassohn.
Media elástica tubular quirúrgica acanalada de algodón y viscosa BP.,Cotton ribbed y viscosa cirugía tubular stockinette BP 1988 tipo B peso pesado 10 cm.
Linfático cervical.,Limfáticas cervicales.
División del cartílago de la columna vertebral.,División del cartílago de la columna vertebral.
Producto que contiene sustancia con mecanismo de acción de inhibidor de 3-hidroxi-3-metilglutaril coenzima A reductasa.,Producto que contiene inhibidores de la HMG-CoA reductasa.
Audiometría de respuesta evocada.,Audiometría de respuesta evocada.
Cáncer de lengua.,Un tumor maligno en la lengua.
Queraunofobia.,Miedo al rayo.
Reemplazo de un stent colocado en las vías biliares.,Cambio de catéter de drenaje biliar percutáneo.
Disminución de los niveles de lipoproteínas.,Disminución de las lipoproteínas.
Producto con fósforo-32 como único ingrediente.,El producto es únicamente de fósforo-32.
"Producto que contiene aceite de trementina, alcanfor y jabón metálico alcalino.",Cánfora + jabón suave + aceite de terpentina.
Trametes cubensis.,Las cubamicas de Lenzitas.
Reducción de una luxación coxofemoral traumática no expuesta con anestesia.,Reducción de la dislocación traumática cerrada de la cadera con anestesia.
Vasculopatía.,"Enfermedad vascular, NOS."
Quiste folicular de la mandíbula.,Quiste folicular de la mandíbula.
Deficiencia de inhibidor de alfa - 1 - proteinasa.,Deficiencia de un inhibidor de la alfa- 1 proteína.
"Clotrimazol, forma farmacéutica de uso oftálmico.",Clotrimazol en forma de dosis oftalmológica
Cineplastia o prótesis cineplástica de la pierna.,Cineplastia o prótesis cineplástica de las extremidades inferiores.
Provisión de atención respetando el valor y la dignidad del paciente.,Proveer cuidados que respeten el valor y la dignidad del paciente.
Hallazgo relacionado con la disposición del labio.,Observación de la disposición del labio.
Antígeno de glicoproteína E de superficie recombinante de alfa-herpesvirus humano3.,Antígeno de la glicoproteína de superficie recombinante E del virus del herpes alfa humano 3.
