hpo_id,Original Concept,Traducción generada,Traducción HPO Spain,Mejor,Igual,Peor,Comentarios Raúl,Comentarios H12O
HP:0001197,Abnormality of prenatal development or birth,anomalía del desarrollo prenatal o del nacimiento,Anomalía del desarrollo prenatal o el parto,,,X,Nacimiento -> parto,
HP:0001194,Abnormalities of placenta or umbilical cord,anomalías de la placenta o del cordón umbilical,Anomalías de placenta y cordón umbilical,X,,,,
HP:0001560,Abnormality of the amniotic fluid,alteración del líquido amniótico,Anomalía del líquido amniótico,,,X,"Abnormality -> anomalía, no alteración",
HP:0001622,Premature birth,Nacimiento prematuro,Parto prematuro,,,X,,
HP:0001787,Abnormal delivery,parto anormal,Parto anormal,,X,,,
HP:0030917,Low APGAR score,baja puntuación en el gen APGAR,Score de Apgar bajo,,-,X,gen ? es una prueba genetica creo,
HP:0031169,Postterm pregnancy,Embarazos postérmino,Embarazo postérmino,,X,,,
HP:0032479,Preimplantation lethality,Letalidad del preimplante,Letalidad previa a la implantación,,,X,"No es 'del' sin en pre-implantación, no preimplante",
HP:0033334,Abnormal embryonic development,desarrollo embrionario anormal,Desarrollo embrionario anormal,,X,,,
HP:0034057,Fetal anomaly,Anomalía fetal,Anomalía fetal,,X,,,
HP:0010881,Abnormality of the umbilical cord,anomalía del cordón umbilical,Anomalía del cordón umbilical,,X,,,
HP:0011409,Abnormal placental membrane morphology,anomalía de la morfología de la membrana placentaria,Anomalía de membrana placentaria,X,,,,
HP:0032192,Hydatidiform mole,Mola hidatiforme,Mola hidatidiforme,,X,,,
HP:0100767,Abnormal placenta morphology,morfología anormal de la placenta,Anomalía de la placenta,X,,,,
HP:0001561,Polyhydramnios,Polihidramnios,Polihidramnios,,X,,,
HP:0001562,Oligohydramnios,Oligohidramnios,Oligohidramnios,,X,,,
HP:0001563,Fetal polyuria,Poliuria fetal,Poliuria fetal,,X,,,
HP:0012420,Meconium stained amniotic fluid,Líquido amniótico teñido de meconio,Meconio en líquido amniótico,X,,,,
HP:0025700,Anhydramnios,Anhidramnios,Anhidramnios,,X,,,
HP:0034899,Abnormal amniotic fluid protein concentration,concentración anormal de proteínas en el líquido amniótico,Concentración anormal de proteínas en el líquido amniótico,,X,,,
HP:0005100,Premature birth following premature rupture of fetal membranes,Nacimiento prematuro después de ruptura prematura de las membranas fetales,Parto prematuro por rotura prematura de membranas fetales,,X,X,Ruptura -> rotura,
HP:0005267,Premature delivery because of cervical insufficiency or membrane fragility,Parto prematuro por insuficiencia cervical o fragilidad de la membrana,Parto prematuro debido a insuficiencia cervical o fragilidad de membranas,,X,,,
HP:0025664,Moderate to late preterm birth,Parto prematuro de moderado a tardío,Parto prematuro moderado a tardío,,X,,,
HP:0025665,Extremely preterm birth,Parto prematuro extremo,Nacimiento extremadamente prematuro,,,X,"extremadamente prematura, parto está mejor que nacimiento",
HP:0025666,Very preterm birth,Parto muy prematuro,Parto muy prematuro,,X,,,
HP:0001623,Breech presentation,presentación de la vena,Presentación podálica,,,X,podálica,
HP:0001788,Premature rupture of membranes,Ruptura prematura de la bolsa de las aguas,Ruptura prematura de membranas,,,X,bolsa de aguas -> membrana,
HP:0011410,Caesarian section,cesárea,Cesárea,,X,,,
HP:0011411,Forceps delivery,parto con fórceps,Parto con fórceps,,X,,,
HP:0011412,Ventouse delivery,parto por ventosidad,Parto con ventosas,,,X,"Jejeje -> no ventosidad, por ventosas",
HP:0011413,Shoulder dystocia,Distocia de hombro,Distocia de hombros,,X,,,
HP:0012498,Nuchal cord,cordón nucal,Cordón nucal,,X,,,
HP:0012541,Cephalohematoma,Cefalohematoma,Cefalohematoma neonatal,,X,,,
HP:0030365,Vaginal birth after Caesarian,Nacimiento vaginal después de la cesárea,Nacimiento vaginal después de una cesárea,,X,,,
HP:0030366,Delivery by Odon device,parto por Odon dispositivo,Nacimiento por dispositivo de Odon,,,X,adjetivo al revés,
HP:0030369,Induced vaginal delivery,parto vaginal inducido,Parto vaginal inducido,,X,,,
HP:0030449,Therapeutic abortion,aborto terapéutico,Aborto terapéutico,,X,,,
HP:0030918,Low 1-minute APGAR score,baja puntuación APGAR a 1 minuto,Score de Apgar bajo al minuto,X,,,,
HP:0030919,Low 5-minute APGAR score,baja puntuación APGAR a 5 minutos,Score de Apgar bajo a los 5 minutos,X,,,,
HP:0033467,Low 10-minute APGAR score,Puntaje APGAR bajo 10 minutos,Puntuación baja de APGAR a los 10 minutos,,,X,Puntaje,
HP:0033335,Abnormal preimplantation embryonic development,desarrollo embrionario preimplantacional anormal,Desarrollo embrionario preimplantacional anormal,,X,,,
HP:0034058,Abnormal fetal morphology,morfología fetal anormal,Morfología fetal anormal,,X,,,
HP:0034059,Abnormal fetal physiology,alteración de la fisiología fetal,Fisiología fetal anormal,,,X,"Abnormality -> anomalía, no alteración",
HP:0001196,Short umbilical cord,Cordón umbilical corto,Cordón umbilical corto,,X,,,
HP:0011403,Abnormal umbilical cord blood vessel morphology,morfología anormal de los vasos sanguíneos del cordón umbilical,Vasos sanguíneos de cordón umbilical anormales,X,,,,
HP:0011417,Long umbilical cord,cordón umbilical largo,Cordón umbilical largo,,X,,,
HP:0011418,Abnormal insertion of umbilical cord,alteración de la inserción del cordón umbilical,Inserción anormal de cordón umbilical,,,X,"Abnormality -> anomalía, no alteración",
HP:0025657,Abnormal umbilical blood flow measurement,medición anormal del flujo sanguíneo umbilical,Resultado anormal del flujo sanguíneo umbilical,,-,,,
HP:0030654,Umbilical cord cyst,Quiste del cordón umbilical,Quiste del cordón umbilical,,X,,,
HP:0030655,Umbilical cord knot,nudo del cordón umbilical,Nudo de cordón umbilical,,X,,,
HP:0030656,Umbilical vein varix,variz de la vena umbilical,Várice vena umbilical,X,,,https://dptm.es/dptm/?term=1870485,
HP:0030657,Umbilical cord hematoma,Hematoma del cordón umbilical,Hematoma del cordón umbilical,,X,,,
HP:0032434,Delayed umbilical cord separation,Retraso en la separación del cordón umbilical,Caída tardía del cordón umbilical,,,X,<-> Dificil sin datos entrenamiento,
HP:0032435,Neonatal omphalitis,onfalitis neonatal,Onfalitis neonatal,,X,,,
HP:0410210,Abnormal cord blood measurement,medición anormal del cordón umbilical,Medición anormal en la sangre del cordón,,,X,Falta 'blood',
