reference,actual
Estos animales adquirieron un sistema tegumentario único con una barrera superficial de epitelio escamoso estratificado queratinizado.,"Estos animales adquirieron un sistema integumentario único con una barrera de superficie de epitelio escamoso, keratinizado y estratificado."
Algunos de ellos han explorado el impacto neural de diferentes formas de psicoterapia en sujetos con trastorno depresivo mayor.,Algunos de estos estudios han explorado el impacto neuronal de varias formas de psicoterapia en individuos con trastorno depresivo mayor.
"Se realizó un seguimiento hasta el 1/1/2019, la muerte o el trasplante.","El seguimiento se llevó a cabo hasta el 1/1/2019, muerte o trasplante."
Semejante medida debe reposar en una adecuada determinación del riesgo.,Dicha medida debe basarse en una evaluación de riesgos adecuada.
"Si la DMT2 es consecuencia de una adaptación in utero, obviamente la prevención primaria consiste en proteger el desarrollo fetal.","Si la DMT2 está relacionada con la adaptación in utero, la prevención primaria obvia es proteger el desarrollo fetal."
"Conclusión: la lactancia materna es beneficiosa para la madre, ya que es un factor protector contra la osteoporosis, siempre y cuando lleve a cabo los primeros seis meses, así como para el recién nacido, ya que proporciona un crecimiento lineal óptimo.","La lactancia materna es beneficiosa para la madre, ya que es un factor protector contra la osteoporosis, siempre que se mantenga durante los primeros 6 meses y para el crecimiento lineal óptimo del recién nacido."
"Se realizó una búsqueda sistemática de literatura en las bases de datos: Scopus, Web of Science, Medline vía PubMed, Embase, Biblioteca Virtual en Salud y Ovid; además, en Google Académico y en repositorios de universidades y en instituciones de salud en Colombia, con los términos: ""Vacuna Tetravalente Recombinante contra el Virus del Papiloma Humano Tipos 6, 11, 16, 18"", ""Colombia"", ""Papiloma"" y sus correspondientes términos en inglés, para identificar principalmente revisiones sistemáticas, estudios cuantitativos y cualitativos, y revisiones narrativas que se enfocaran en aspectos sociales como: educación, acceso, relación con el personal de salud, papel de los medios de comunicación, que pudieran haber actuado como barreras o facilitadores para la aceptación de vacunación para VPH en Colombia en el periodo 2006-2018.","Se realizó una revisión sistemática de la literatura en las siguientes bases de datos: Scopus, Web of Science, Medline a través de PubMed, Embase, Biblioteca de Salud en línea (Biblioteca Virtual en Salud) y Ovid, y también en Google Scholar, repositorios académicos y en instituciones de salud colombianas, utilizando los términos ""vacuna tetravalente recombinante contra el virus del papiloma humano de los tipos 6, 11, 16, 18"", ""Colombia"", ""Papilloma"" para identificar principalmente revisiones sistemáticas, estudios cuantitativos y cualitativos, revisiones narrativas, centrándose en aspectos sociales como la educación, el acceso, la relación con el personal sanitario y el papel de los medios de comunicación que pueden haber actuado como barreras o facilitadores para la aceptación de la vacunación contra el VPH en Colombia entre 2006 y 2018."
Las crisis epilépticas pueden asociarse a alteraciones del ritmo cardíaco periictales e incluso a muerte súbita (SUDEP).,Las convulsiones epilépticas pueden estar asociadas con trastornos del ritmo cardíaco periictal e incluso muerte súbita (SUDEP).
Estudio retrospectivo analitico de historias clinicas e imagenes de pacientes operados de malformaciones cavernosas supratentoriales en la FLENI desde enero de 1996 hasta diciembre de 2013.,Estudio analítico retrospectivo de los expedientes médicos y las imágenes de los pacientes que se sometieron a resección de cavernosas supratentoriales en FLENI desde enero de 1996 hasta diciembre de 2013.
"La inclusión de los científicos y profesionales del deporte, de los profesores de educación física en el equipo multidisciplinar que debería ser el responsable de trazar las líneas maestras para prevenir y frenar la epidemia de la obesidad de forma efectiva es algo imprescindible desde nuestro punto de vista.","La inclusión de científicos del deporte, profesores de educación física y otros profesionales en el equipo multidisciplinario que debería ser responsable de trazar la hoja de ruta para prevenir efectivamente el aumento de la epidemia de obesidad es una ""obligatoriedad"" desde nuestro punto de vista."
"Se necesita establecer rápidamente unidades de conservación adicionales, antes de que de la deforestación en rápido incremento y los precios de la tierra impidan esta oportunidad.","Es necesario establecer rápidamente unidades de conservación adicionales antes de que el rápido aumento de la deforestación y los precios de la tierra impidan esta oportunidad; de lo contrario, algunos tipos de vegetación pueden prácticamente desaparecer."
"La situación 1 (incorporación de un nuevo tratamiento farmacológico mediante reducción o eliminación de los recursos para programas existentes) fue rechazada por 49,2% de la muestra de la encuesta, que prefirió que se mantuviera el statu quo para los programas existentes.","El escenario 1 (incorporación de un nuevo tratamiento farmacológico para enfermedades crónicas, reduciendo/eliminando los recursos para los programas existentes) fue rechazado por el 49,2% de la muestra de la encuesta, que prefirió mantener el statu quo para los programas existentes."
"En el cine y las series de television existen escasas referencias a las crisis o epilepsia refleja, a pesar de que en la vida real constituyen un subgrupo relevante del total de sindromes epilepticos.","En las películas y series de televisión hay pocas referencias a las convulsiones o la epilepsia refleja, aunque en la vida real son un subgrupo importante de los síndromes epilépticos totales."
"En los últimos años, en Murcia, se pone en marcha una vía clínica de adecuación a la Guía Nacional de Nutrición Enteral Domiciliaria (NED) para optimizar este recurso y reducir la variabilidad de prescripción.","En los últimos años, en Murcia (sureste de España), se ha establecido una vía clínica de acuerdo con la guía nacional de nutrición enteral en el hogar (HEN) para optimizar este recurso y reducir la brecha de prescripción."
Examinar las tendencias históricas de la mortalidad prematura por enfermedades cardiovasculares y diabetes mellitus (ECV-DM) en el Caribe y determinar si hay alguna asociación entre estas tendencias y el gasto en atención de salud.,Examinar las tendencias históricas de muerte prematura por enfermedad cardiovascular y diabetes mellitus (CVD-DM) en el Caribe e identificar cualquier asociación entre estas tendencias y el gasto en atención médica.
"Los análisis de los subgrupos también demostraron efectos importantes de siete estudios de educación y traslación de conocimientos, RR: 1,40 (IC del 95%: 1,20-1,63) y de cuatro estudios que utilizaron incentivos, RR: 1,28 (IC del 95%: 1,12-1,45).","Los análisis de subgrupos también demostraron efectos significativos de siete estudios de educación y traslación de conocimientos, RR: 1,40 (IC del 95%: 1,20-1,63) y de cuatro estudios que utilizaron incentivos, RR: 1,28 (IC del 95%: 1,12-1,45)."
