reference,actual
"El método químico de Frattini representa la cantidad máxima de hidróxido de calcio con ia que una puzolana se puede combinar, esta reacción depende de diferentes factores como ia naturaleza y proporción de las fases activas del material puzolánico y su superficie específica, así como también de ia relación cal-puzolana y ia temperatura de reacción.","Esta reacción depende de diferentes factores, como la naturaleza y la proporción de las fases activas del material pozzolánico y su superficie específica, así como la proporción cal-pozzolán y la temperatura de reacción."
"En Embase, la búsqueda con las listas bibliográficas de otras publicaciones permitió encontrar otros 12 estudios, pero esos escritos no se referían al tema, o no cumplían los criterios de inclusión o no eran nuevos respecto a PubMed.","En Embase, la búsqueda con la lista bibliográfica de otras publicaciones nos permitió encontrar otros 12 estudios, pero estos escritos no se referían al tema, o no cumplían con los criterios de inclusión o eran nuevos en relación con PubMed."
A partir de este modelo fue posible identificar los distintos grupos de riesgo generados.,"A partir de este modelo, fue posible identificar los diferentes grupos de riesgo generados."
Se trata de una locación histórica con un emplazamiento privilegiado en una de las zonas turísticas más importantes de la ciudad de Berlín.,Se trata de un lugar histórico con una posición privilegiada en una de las zonas turísticas más importantes de la ciudad de Berlín.
Esta ampliación de búsqueda fue debida a la escasa literatura encontrada que realizase una relación directa entre la MGF y la consecución de los Objetivos de Desarrollo del Milenio.,La expansión de nuestra búsqueda se ejecutó debido al bajo número de lecturas que vinculaban explícitamente la MGF y el logro de los Objetivos de Desarrollo del Milenio.
"Se citó en siete días para valoración, percatándose de un adecuado proceso de cicatrización Figura 16.","Se le pidió al paciente que regresara después de siete días, en ese momento, se observó un proceso de curación adecuado (Figura 16)."
"Así, para Herz, la totalidad de estas relaciones es la espacialización del campo Herz, 2008.","Así, para Herz, toda la relación es la espacialización del campamento Herz, 2008."
Elbashir et al. 2008 mencionan que resulta poco apropiado usar medidas contables como la rentabilidad de la empresa o el retorno de la inversión en la medición del desempeño del negocio con base en herramientas como los sistemas de procesamiento transaccional o los sistemas de soporte a las decisiones.,"Elbashir et al., 2008 han mencionado que no es muy apropiado utilizar mediciones contables como la rentabilidad de la empresa o el retorno de la inversión cuando se mide el rendimiento empresarial basado en herramientas como los sistemas de procesamiento de transacciones o los sistemas de apoyo a la toma de decisiones."
Diámetro de los árboles a la altura de 1.30 m DAP m = Todos los árboles se ubicaron por clases de diámetro,"Diámetro de los árboles a una altura de 1,30 m DBH m = todos los árboles se clasificaron por clase de diámetro"
"En el Cuadro 1 se describen las condiciones de precipitación y temperatura que prevalecieron en el sitio durante el periodo de evaluación, de agosto de 2014 a febrero de 2015.","Las condiciones de precipitación y temperatura que prevalecieron en el lugar durante el período de evaluación, de agosto de 2014 a febrero de 2015, se describen en el cuadro 1."
" Ecuación 3: nombre de las universidades y topónimos correspondientes a ciudades brasileñas, limitando aquellos que pudieran generar confusión con el de otros países."," Ecuación 3: nombre de las universidades y nombre correspondiente de las ciudades brasileñas, excluyendo aquellas que podrían crear confusión con ciudades de otros países."
"Adicionalmente, se encontró un estudio hecho en el RESA Simeprodeso de Monterrey, Nuevo León, en el que se empleó el modelo Usepa E-PLUS, el cual es diferente a los anteriores, usándose también una metodología distinta para evaluar la recuperación de biogás LFG Consult, 2007.","Un estudio del vertedero sanitario SIMEPRODESO en Monterrey, Nuevo León, utilizó el modelo ""USEPA E-PLUS"" que es diferente de los anteriores y también utilizó una metodología diferente para evaluar la recuperación de gases de vertedero LFG Consult, 2007."
"Para esto se recopiló la bitácora de esta obra, en la cual se explica cada una de sus etapas y algunos de sus imprevistos.","Por esta razón, se ha elaborado el libro de registro del lugar de trabajo, que explica cada etapa y algunas situaciones imprevistas."
