reference,actual
Acumulación de sangre en el espacio pleural (hemotórax).,Recogida de sangre en el espacio pleural (hemotórax).
"Los productos de la inyección de ranibizumab también se usan para tratar la neovascularización coroidal miope (mCNV [en inglés]; una complicación en personas miopes donde los nuevos vasos sanguíneos pueden crecer en la parte posterior del ojo), y para tratar el edema macular después de la oclusión de la vena retiniana (una enfermedad ocular causada por el bloqueo del flujo sanguíneo del ojo que conduce a visión borrosa y pérdida de la visión).",Los productos inyectables de Ranibizumab también se utilizan para tratar la neovascularización coroidal miope (mCNV; una complicación en personas miopes donde pueden crecer nuevos vasos sanguíneos en la parte posterior del ojo) y para tratar el edema macular después de la oclusión de la vena retinal (una enfermedad ocular causada por el bloqueo del flujo sanguíneo del ojo que conduce a la visión borrosa y la pérdida de visión).
Tales síntomas incluyen.,Los síntomas incluyen.
Sangrado o manchado de la vagina entre periodos.,Sangrado o manchas de la vagina entre los períodos.
"Si esto sucede, llame al médico de inmediato.","Si esto sucede, llame a su médico inmediatamente."
Visión borrosa.,Visión borrosa.
La rifaximina trata la encefalopatía hepática deteniendo el crecimiento de bacterias que producen toxinas y que pueden empeorar la enfermedad del hígado.,La rifaximina trata la encefalopatía hepática deteniendo el crecimiento de bacterias que producen toxinas y que pueden empeorar la enfermedad hepática.
"Personas que tienen hábitos de un estilo de vida malsano tales como el tabaquismo, consumo excesivo de alcohol, consumo de drogas, una dieta rica en grasa y falta de ejercicio.","Las personas que tienen hábitos de vida poco saludables, como fumar, beber demasiado, usar drogas recreativas, comer una dieta rica en grasas o no hacer ejercicio."
"Este tumor provoca la secreción de demasiada epinefrina y norepinefrina, hormonas que controlan la frecuencia cardíaca, el metabolismo y la presión arterial.","Esto provoca la liberación de demasiada epinefrina y norepinefrina, hormonas que controlan el ritmo cardíaco, el metabolismo y la presión arterial."
Le harán la prueba para el Zika durante el embarazo.,Se le realizará una prueba de Zika durante el embarazo.
Hidrocefalia normotensiva.,Hidrocefalia de presión normal (HNP).
Los acontecimientos de la primera infancia y los genes pueden ser los responsables.,Los genes y los eventos de la primera infancia pueden ser responsables.
"Su médico realizará un ecocardiograma (prueba que usa ondas de sonido para medir la capacidad de su corazón para bombear sangre) antes de empezar a tomar fenfluramina, cada 6 meses durante el tratamiento y una vez de 3 a 6 meses después de su dosis final de fenfluramina.","Su médico realizará un ecocardiograma (test que utiliza ondas sonoras para medir la capacidad del corazón para bombear sangre) antes de comenzar a tomar fenfluramina, cada 6 meses durante el tratamiento y una vez de 3 a 6 meses después de la dosis final de fenfluramina."
