reference,actual
"Es una variante atípica de la parálisis supranuclear progresiva (PSP), una enfermedad neurodegenerativa poco frecuente de inicio tardío, caracterizada por una combinación variable de rigidez asimétrica progresiva de las extremidades, apraxia, pérdida de la sensibilidad cortical, miembro ajeno, distonía y bradicinesia que no responde a levodopa. La inestabilidad postural y la rigidez axial se desarrollan a medida que la enfermedad progresa. Las características neuropatológicas incluyen la patología Tau y la pérdida neuronal en áreas cerebrales específicas, especialmente en la corteza parietal media y parietal inferior.","Una variante atípica de parálisis supranuclear progresiva (PSP), una rara enfermedad neurodegenerativa de inicio tardío, caracterizada por una mezcla variable de rigidez asimétrica progresiva de las extremidades, apraxia, pérdida sensorial cortical, extremidad alienígena, distonía y bradicinesia que no responde a la levodopa. La inestabilidad postural y rigidez axial se desarrollan a medida que la enfermedad progresa. Las características neuropatológicas incluyen patología tau y pérdida neuronal en áreas cerebrales específicas, especialmente en las cortezas parietales medias frontales e inferiores."
"Es un grupo de enfermedades priónicas humanas caracterizadas por una neurodegeneración progresiva e invariablemente letal a consecuencia de la transmisión accidental de priones. El grupo comprende la enfermedad de Creutzfeldt-Jakob (ECJ) iatrogénica, resultante de la transmisión de priones de ECJ en el curso de procedimientos o tratamientos médicos, y la variante de la ECJ (transmisión a través del consumo de productos de derivados afectadas por la enfermedad priónica o mediante la transfusión de sangre de un individuo afectado).","Un grupo de enfermedades priónicas humanas caracterizadas por neurodegeneración progresiva, invariablemente fatal resultante de la transmisión accidental de priones. El grupo comprende la enfermedad iatrogénica Creutzfeldt-Jakob (CJD), que resulta de la transmisión de priones CJD en el curso de procedimientos o tratamientos médicos, y la variante CJD (transmisión a través del consumo de productos de vacas enfermas de priones o mediante transfusión de sangre de un individuo afectado)."
"Es una leucodistrofia poco frecuente caracterizada por un espectro de manifestaciones neurológicas progresivas, que comprenden un inicio temprano rápidamente progresivo de nistagmo, tetraplejía espástica y afectación visual y auditiva, causando el fallecimiento en la infancia temprana. También es posible un inicio más tardío con una ataxia espástica compleja lentamente progresiva con síntomas piramidales y cerebelosos y pérdida de los hitos del desarrollo. La neuroimagen muestra una hipomielinización difusa de la sustancia blanca subcortical y profunda, atrofia cerebelosa y disminución global del volumen de la médula espinal.","Una rara leucodistrofia caracterizada por un espectro de manifestaciones neurológicas progresivas que comprenden nistagmo de inicio temprano rápidamente progresivo, tetraplejía espástica y deterioro visual y auditivo, resultando en la muerte en la primera infancia, así como el inicio posterior de ataxia espástica compleja lentamente progresiva con síntomas piramidales y cerebelosos y pérdida de hitos en el desarrollo. La imagen cerebral muestra hipomielización difusa de la materia blanca subcortical y profunda, atrofia cerebelosa y pérdida difusa del volumen de la médula espinal."
Está enfermedad se describe en  Síndrome de Alport,Esta enfermedad se describe bajo el síndrome de Alport
"Es un tumor de los tejidos hematopoyético y linfoide que se caracteriza por proliferación y diferenciación anómalas de una población clonal de células madre mieloides que presentan anomalías inespecíficas en 11q23. Las manifestaciones clínicas son el resultado de la acumulación de células mieloides malignas en la médula ósea, sangre periférica y en otros órganos, e incluyen leucocitosis, anemia, trombocitopenia, fatiga, anorexia y pérdida de peso.","Tumor poco frecuente derivado de tejidos hematopoyéticos y linfoides caracterizados por una proliferación y diferenciación anormales de una población clonal de células madre mieloides con anomalías inespecíficas de 11q23. Las manifestaciones clínicas son resultado de la acumulación de células mieloides malignas dentro de la médula ósea, sangre periférica y otros órganos, e incluyen leucocitosis, anemia, trombocitopenia, fatiga, anorexia y pérdida de peso."
"Es una enfermedad genética y poco frecuente de ataxia espástica autosómica recesiva caracterizada por ataxia cerebelosa, espasticidad, atrofia cerebelosa (y en algunos casos cerebral), distonía y leucoencefalopatía.","Enfermedad de ataxia espástica recesiva autosómica rara, genética, caracterizada por ataxia cerebelosa, espasticidad, atrofia cerebelosa (y en algunos casos cerebral), distonía y leucoencefalopatía."
Es una vasculitis necrotizante sistémica crónica de adultos y niños que afecta a los vasos pequeños y medianos. Se caracteriza por la formación de microaneurismas que conducen a enfermedad generalizada grave con afectación multiorgánica.,La poliarteritis sistémica nodosa (PAN; ver este término) es una necrosis sistémica crónicavasculitis de adultos y niños que afecta a vasos pequeños y medianos y se caracteriza por la formación de microaneurismas que conducen a una enfermedad generalizada grave y afectación multiorgánica.
"Es un proceso no familiar poco frecuente del tallo piloso caracterizado por un cabello fino, rizado, ensortijado e hipopigmentado, de un diámetro medio de 0,5 mm, localizado en una área circunscrita del cuero cabelludo presente en el nacimiento o de aparición durante los dos primeros años de vida. Ocasionalmente, puede presentarse en áreas inicialmente alopécicas en el período neonatal. Puede asociarse a alteraciones oculares (membrana pupilar persistente, defectos retinianos), pubertad precoz y nevos epidérmicos.","El nevus del pelo de lana (WHN) es una anomalía rara del cabello no familiar caracterizada por pelo fino kinky, herméticamente enrollado, e hipopigmentado con un diámetro promedio de 0,5 cm, observado, desde el nacimiento o durante los dos primeros años de vida, en una distribución circunscrita localizada en el cuero cabelludo. Ocasionalmente, WHN crece en áreas observadas para ser alopécicas en el período neonatal. WHN puede ser asociado con características como defectos oculares (membrana pupilar persistente, defectos de retina), pubertad precoz, y nevi epidérmica."
"Es un trastorno genético neurometabólico poco frecuente multisistético y progresivo debido a una disfunción mitocondrial y que está caracterizado por encefalomiopatía, acidosis láctica y episodios que simulan ictus.","Un raro trastorno genético neurometabólico que es progresivo y multisistémico debido a la disfunción mitocondrial y que se caracteriza por encefalomiopatía, acidosis láctica y episodios similares a un accidente cerebrovascular."
"Es una aciduria orgánica clásica poco frecuente caracterizada por el acúmulo tisular y el aumento de la excreción urinaria de ácido 3-hidroxiisobutírico. El fenotipo clínico varía desde leves episodios recurrentes de vómitos con un desarrollo cognitivo normal hasta acidosis masiva, crisis epilépticas y fallo de medro con grave discapacidad intelectual y muerte prematura. También se ha descrito rasgos craneofaciales dismórficos (como microcefalia, cara triangular, frente inclinada y estrecha, filtrum largo y prominente y micrognatia), así como anomalías cerebrales variables.","Una rara aciduria orgánica clásica caracterizada por acumulación tisular y elevación de la excreción urinaria de ácido 3-hidroxiisobutírico. El fenotipo clínico varía desde episodios leves recurrentes de vómitos con desarrollo cognitivo normal, hasta acidosis masiva, convulsiones e incapacidad para prosperar con una profunda discapacidad intelectual y muerte temprana. También se han descrito características craneofaciales dismórficas (como microcefalia, cara triangular, frente corta, inclinada, filatro largo, prominente y micrognatia) y anomalías cerebrales variables."
"Es un síndrome hereditario poco frecuente de predisposición al cáncer definido en individuos que cumplen los criterios de Ámsterdam para el cáncer colorrectal hereditario no polipósico (CCHNP) pero sin alteraciones, ni somáticas ni germinales, en los genes de reparación de errores de emparejamiento (MMR; por sus siglas en inglés) del ADN.","Síndrome de predisposición al cáncer heredado poco frecuente, caracterizado por el cumplimiento de los criterios de Amsterdam para el cáncer colorrectal no poliposis hereditario (HNPCC) pero sin alteraciones, tanto somáticas como germinales, en los genes de reparación del desajuste del ADN (MMR)."
"El linfoma oculocerebral primario es un linfoma no-Hodgkin (típicamente linfoma difuso de células grandes B) extranodal, primario, órgano-específico, poco frecuente, que afecta simultáneamente a los compartimentos intraoculares (retina, cámara vítrea, nervio óptico, úvea y otros) y al sistema nervioso central (comúnmente cerebelo, médula espinal o piamadre). Los síntomas de presentación varían dependiendo de la localización del tumor y pueden incluir opacidades vítreas (moscas volantes o cuerpos flotantes) o visión borrosa, hipertensión intracraneal (dolor de cabeza, vómitos, papiledema) y/o deficiencias neurológicas focales.","El linfoma oculocerebral primario es un linfoma extranodal no Hodgkin poco frecuente, primario, específico de un órgano (normalmente difuso linfoma de células B grandes), que afecta simultáneamente a los compartimentos intraoculares (retina, vítreo, nervio óptico, uvea y otros) y al sistema nervioso central (comúnmente el cerebelo, médula espinal o pia mater). Los síntomas que presentan varían dependiendo de la localización del tumor y pueden incluir flotadores vítreos o visión borrosa, presión intracraneal elevada (dolor de cabeza, vómitos, papiledema) y/o déficit neurológico focal."
