reference,actual
Odontodisplasia regional,Odontodisplasia regional
Retinopatía asociada a cancer,Retinopatía asociada al cáncer
Tumor epitelial maligno de las glándulas salivales,Tumor epitelial maligno de glándulas salivales
Síndrome de microduplicación proximal 16p11.2,Síndrome de microduplicación proximal 16p11.2
Demencia pugilística,Demencia pugilistica
Hiper-beta-alaninemia,Hiper-beta-alanina
Mesotelioma peritoneal quístico,Mesotelioma quístico peritoneal
Disostosis con afectación predominantemente craneofacial,Disostosis con afectación craneofacial predominante
NO ES ENFERMEDAD RARA EN EUROPA: Síndrome de Buschke-Ollendorff,Non Rare in Europe: Síndrome de Buschke-Ollendorff
Trastorno raro del movimiento paroxístico,Trastornos del movimiento paroxístico raros
Agenesia de la válvula mitral,Agenesis valvular mitral
OBSOLETO: Parkinsonismo juvenil sin respuesta a levodopa,OBSOLETA: Parkinsonismo juvenil sin respuesta de Levodopa
Tumor neuroendocrino del oído medio,Tumor neuroendocrino del oído medio
Displasia acromesomélica tipo Maroteaux,"Displasia acromesomélica, tipo Maroteaux"
Hipertensión por una causa rara,Rara causa de hipertensión
Ataxia cerebelosa degenerativa y progresiva autosómica recesiva,Ataxia cerebelosa autosómica recesiva degenerativa y progresiva
Tumor benigno ovárico raro,Tumor ovárico benigno raro
Pancreatitis crónica hereditaria,Pancreatitis crónica hereditaria
Poliposis adenomatosa familiar atenuada asociada al gen NTHL1,Poliposis adenomatosa familiar atenuada relacionada con NTHL1
OBSOLETO: Síndrome de osteopenia-miopía-hipoacusia-discapacidad intelectual-dismorfia facial,OBSOLETO: Síndrome de dismorfismo facial-osteopenia-miopia-pérdida auditiva-discapacidad intelectual
Síndrome de Joubert con defecto óculo-renal,Síndrome de Joubert con defecto oculorrenal
Síndrome de sobrecrecimiento-defecto de modelado metafisario-displasia espondilar,Síndrome de displasia submodelo-espondil metáfisis
Síndrome de aniridia-ausencia de rótula,Síndrome de rótula aniridia-ausente
Disfasia congénita familiar,Disfasia del desarrollo familiar
Deficiencia congénita de quininógeno de alto peso molecular,Deficiencia cininógena congénita de alto peso molecular
Polimicrogiria unilateral hemisférica,Polimicrogiria hemisférica unilateral
Hemiplejía alternante nocturna benigna de la infancia,Hemiplejía nocturna benigna alterna de la infancia
OBSOLETO: Malformación anorrectal intermedia aislada,OBSOLETO: Malformación anorectal aislada intermedia
Enfermedad CLN10,Enfermedad CLN10
Atresia uretral,Atresia de la uretra
Enfermedad genética del tejido subcutáneo,Trastornos genéticos del tejido subcutáneo
Neuropatía óptica hereditaria sindrómica,Neuropatía óptica hereditaria sindrómica
Mucolipidosis,Mucolipidosis
OBSOLETO: Hidronefrosis congénita,OBSOLETO: Hidronefrosis congénita
Síndrome de cáncer de ovario hereditario de localización específica,Síndrome de cáncer de ovario específico para el sitio hereditario
Mesotelioma peritoneal maligno,Mesotelioma peritoneal maligno
Enfermedad de la beta oxidación peroxisomal,Alteración de la beta-oxisomal
Malabsorción hereditaria de folato,Malabsorción hereditaria de folato
Síndrome de microdeleción 1p21.3,"1p21,3 síndrome de microdeleción"
Tifus murino,Tifus murino
Síndrome de Treft-Sanborn-Carey,Síndrome de Treft-Sanborn-Carey
Síndrome cardiocraneal tipo Pfeiffer,"Síndrome cardiovascular, tipo Pfeiffer"
Síndrome hipertelorismo-hipospadias-polisindactilia,Hipertelorismo-hipospadias-síndrome de polisindactilia
Distrofia muscular de cinturas autosómica recesiva tipo 2Y,Distrofia muscular TOR1AIP1 relacionada con las extremidades
Túnel ventrículo izquierdo-aorta,Túnel aortoventricular
Síndrome de trastorno del neurodesarrollo regresivo-distonia-crisis asociado al gen IRF2BPL,Síndrome de neurodesarrollo regresivo-distonía-convulsiones relacionado con la IRF2BPL
Paraparesia espástica autosómica recesiva tipo 69,Paraplejia autosómica recesiva espástica tipo 69
Hiperparatiroidismo genético,Hiperparatiroidismo genético
Inmunodeficiencia combinada por deficiencia de FCHO1,Inmunodeficiencia combinada debida a la deficiencia de FCHO1
Continuación ácigos de la vena cava inferior,Azigos continuación de la vena cava inferior
Neurocitoma extraventricular,Neurocitoma extraventricular
Desmosis coli primaria,Desmosis primaria coli
Polimiositis,Polimiositis
Síndrome de Tietz,Síndrome de Tietz
Onfalocele,Omphalocele
Síndrome de hipoplasia tibial-polidactilia postaxial,Síndrome de tibiae-postaxial polidactilia hipoplásico
Tumor de Klatskin,Tumor de Klatskin
Síndrome de discapacidad intelectual-crisis-trastornos de la marcha-dismorfia facial,Síndrome de dismorfismo de marcha anormal-facial de discapacidad intelectual
Síndrome de blefaroptosis-miopía-ectopia lentis,Síndrome de Blefaroptosis-miopia-ectopia lentis
Síndrome de lesiones en anillo del cuero cabelludo-fragilidad ósea,Síndrome de fragilidad ósea de las lesiones de la rosquilla calvaria
Síndrome de oftalmoplejía-discapacidad intelectual-lengua escrotal,Síndrome de oftalmoplejía-discapacidad intelectual-lingua scrotalis
