reference,actual
Acumulación de sangre en el espacio pleural (hemotórax).,Recogida de sangre en el espacio pleural (hemotórax).
"Los productos de la inyección de ranibizumab también se usan para tratar la neovascularización coroidal miope (mCNV [en inglés]; una complicación en personas miopes donde los nuevos vasos sanguíneos pueden crecer en la parte posterior del ojo), y para tratar el edema macular después de la oclusión de la vena retiniana (una enfermedad ocular causada por el bloqueo del flujo sanguíneo del ojo que conduce a visión borrosa y pérdida de la visión).",Los productos inyectables de ranibizumab también se usan para tratar la neovascularización coroidea miópica (mCNV; una complicación en personas miopes donde pueden crecer nuevos vasos sanguíneos en la parte posterior del ojo) y para tratar el edema macular después de la oclusión de la vena retiniana (una enfermedad ocular causada por el bloqueo del flujo sanguíneo del ojo que conduce a la visión borrosa y la pérdida de la visión).
Tales síntomas incluyen.,Los síntomas incluyen:
Sangrado o manchado de la vagina entre periodos.,Sangrado o manchado de la vagina entre los períodos.
"Si esto sucede, llame al médico de inmediato.","Si esto sucede, llame a su médico de inmediato."
Visión borrosa.,• Visión borrosa.
La rifaximina trata la encefalopatía hepática deteniendo el crecimiento de bacterias que producen toxinas y que pueden empeorar la enfermedad del hígado.,Rifaximin trata la encefalopatía hepática al detener el crecimiento de bacterias que producen toxinas y que pueden empeorar la enfermedad hepática.
"Personas que tienen hábitos de un estilo de vida malsano tales como el tabaquismo, consumo excesivo de alcohol, consumo de drogas, una dieta rica en grasa y falta de ejercicio.","Las personas que tienen hábitos de estilo de vida poco saludables, como fumar, el uso excesivo de alcohol, el uso de drogas recreativas, una dieta alta en grasas o la falta de ejercicio."
"Este tumor provoca la secreción de demasiada epinefrina y norepinefrina, hormonas que controlan la frecuencia cardíaca, el metabolismo y la presión arterial.","Resulta en la liberación de demasiada epinefrina y norepinefrina, hormonas que controlan la frecuencia cardíaca, el metabolismo y la presión arterial."
Le harán la prueba para el Zika durante el embarazo.,Se le hará una prueba para detectar el virus del Zika durante el embarazo.
Hidrocefalia normotensiva.,Hidrocefalia a presión normal (HPN).
Los acontecimientos de la primera infancia y los genes pueden ser los responsables.,Los genes y los acontecimientos de la primera infancia pueden ser los responsables.
"Su médico realizará un ecocardiograma (prueba que usa ondas de sonido para medir la capacidad de su corazón para bombear sangre) antes de empezar a tomar fenfluramina, cada 6 meses durante el tratamiento y una vez de 3 a 6 meses después de su dosis final de fenfluramina.","Su médico le realizará un ecocardiograma (una prueba que usa ondas sonoras para medir la capacidad de su corazón para bombear sangre) antes de comenzar a tomar fenfluramina, cada 6 meses durante el tratamiento, y una vez de 3 a 6 meses después de su última dosis de fenfluramina."
"La mayoría de los abortos espontáneos ocurren muy temprano en el embarazo, a menudo antes de que la mujer sepa que está embarazada.","La mayoría de los abortos espontáneos ocurren muy temprano en el embarazo, a menudo antes de que una mujer sepa que está embarazada."
"Debe saber que el triazolam puede causarle somnolencia durante el día, disminuir su estado de alerta mental y aumentar el riesgo de que se caiga.","Usted debe saber que el triazolam puede causarle somnolencia durante el día, puede disminuir su estado de alerta mental, y puede aumentar el riesgo de que se caiga."
Extracción de sangre o eliminación de coágulos de sangre si están elevando la presión intracraneal y causando la hernia.,Eliminar sangre o coágulos de sangre si están aumentando la presión dentro del cráneo y causando una hernia.
Existen otros tipos de DAV (llamados dispositivos percutaneos de asistencia ventricular) que se pueden colocar con técnicas menos invasivas para ayudar al ventrículo izquierdo o derecho.,Existen otros tipos de VAD (llamados dispositivos de asistencia ventricular percutánea) que se pueden colocar con técnicas menos invasivas para ayudar al ventrículo izquierdo o derecho.
La histamina y otros químicos causan los síntomas de su alergia.,Las histaminas y otras sustancias químicas causan los síntomas de alergia.
Esto causa molestia en la vejiga.,Esto causa un malestar en la vejiga.
SISTEMA URINARIO.,El sistema urinario.
El fisioterapeuta también puede enseñarle cómo usar las muletas de manera correcta.,El fisioterapeuta también puede enseñarle cómo usar correctamente las muletas.
"Cuando la circulación de la sangre o la respiración de una persona se detienen, cada segundo cuenta.","Cuando el flujo sanguíneo o la respiración de alguien se detienen, los segundos cuentan."
La planta tiene 3 hojas de color verde brillantes y un tallo rojo.,La planta tiene 3 hojas verdes brillantes y un tallo rojo.
