reference,actual
"Es una variante atípica de la parálisis supranuclear progresiva (PSP), una enfermedad neurodegenerativa poco frecuente de inicio tardío, caracterizada por una combinación variable de rigidez asimétrica progresiva de las extremidades, apraxia, pérdida de la sensibilidad cortical, miembro ajeno, distonía y bradicinesia que no responde a levodopa. La inestabilidad postural y la rigidez axial se desarrollan a medida que la enfermedad progresa. Las características neuropatológicas incluyen la patología Tau y la pérdida neuronal en áreas cerebrales específicas, especialmente en la corteza parietal media y parietal inferior.","Una variante atípica de la parálisis supranuclear progresiva (PSP), una enfermedad neurodegenerativa rara de aparición tardía, caracterizada por una mezcla variable de rigidez asimétrica progresiva de las extremidades, apraxia, pérdida sensorial cortical, extremidad extraña, distonía y bradicinesia que no responde a la levodopa.Las características neuropatológicas incluyen patología tau y pérdida neuronal en áreas específicas del cerebro, especialmente en las cortezas mediofrontal e inferior parietal."
"Es un grupo de enfermedades priónicas humanas caracterizadas por una neurodegeneración progresiva e invariablemente letal a consecuencia de la transmisión accidental de priones. El grupo comprende la enfermedad de Creutzfeldt-Jakob (ECJ) iatrogénica, resultante de la transmisión de priones de ECJ en el curso de procedimientos o tratamientos médicos, y la variante de la ECJ (transmisión a través del consumo de productos de derivados afectadas por la enfermedad priónica o mediante la transfusión de sangre de un individuo afectado).","Grupo de enfermedades humanas por priones caracterizadas por una neurodegeneración progresiva e invariablemente fatal como resultado de la transmisión accidental de priones.El grupo comprende la enfermedad de Creutzfeldt-Jakob iatrogénica (ECJ), que resulta de la transmisión de priones de ECJ en el curso de procedimientos o tratamientos médicos, y la ECJ variante (transmisión a través del consumo de productos de vacas enfermas por priones o a través de la transfusión de sangre de un individuo afectado)."
"Es una leucodistrofia poco frecuente caracterizada por un espectro de manifestaciones neurológicas progresivas, que comprenden un inicio temprano rápidamente progresivo de nistagmo, tetraplejía espástica y afectación visual y auditiva, causando el fallecimiento en la infancia temprana. También es posible un inicio más tardío con una ataxia espástica compleja lentamente progresiva con síntomas piramidales y cerebelosos y pérdida de los hitos del desarrollo. La neuroimagen muestra una hipomielinización difusa de la sustancia blanca subcortical y profunda, atrofia cerebelosa y disminución global del volumen de la médula espinal.","Leucodistrofia poco frecuente caracterizada por un espectro de manifestaciones neurológicas progresivas que comprenden nistagmo de aparición temprana de rápida progresión, tetraplejía espástica y deterioro visual y auditivo, lo que resulta en muerte en la primera infancia, así como aparición posterior de ataxia espástica compleja de lenta progresión con síntomas piramidales y cerebelares y pérdida de hitos del desarrollo.La imagen cerebral muestra hipomielinización difusa de la sustancia blanca subcortical y profunda, atrofia cerebelosa y pérdida difusa de volumen de la médula espinal."
Está enfermedad se describe en  Síndrome de Alport,Esta enfermedad se describe bajo  síndrome de Alport
"Es un tumor de los tejidos hematopoyético y linfoide que se caracteriza por proliferación y diferenciación anómalas de una población clonal de células madre mieloides que presentan anomalías inespecíficas en 11q23. Las manifestaciones clínicas son el resultado de la acumulación de células mieloides malignas en la médula ósea, sangre periférica y en otros órganos, e incluyen leucocitosis, anemia, trombocitopenia, fatiga, anorexia y pérdida de peso.","Las manifestaciones clínicas son el resultado de la acumulación de células mielóides malignas en la médula ósea, la sangre periférica y otros órganos, e incluyen leucocitosis, anemia, trombocitopenia, fatiga, anorexia y pérdida de peso.Las manifestaciones clínicas son el resultado de la acumulación de células mielóides malignas en la médula ósea, la sangre periférica y otros órganos, e incluyen leucocitosis, anemia, trombocitopenia, fatiga, anorexia y pérdida de peso."
"Es una enfermedad genética y poco frecuente de ataxia espástica autosómica recesiva caracterizada por ataxia cerebelosa, espasticidad, atrofia cerebelosa (y en algunos casos cerebral), distonía y leucoencefalopatía.","Enfermedad rara, genética, autosómica recesiva de ataxia espástica caracterizada por ataxia cerebelosa, espasticidad, atrofia cerebelosa (y en algunos casos cerebral), distonía y leucoencefalopatía."
Es una vasculitis necrotizante sistémica crónica de adultos y niños que afecta a los vasos pequeños y medianos. Se caracteriza por la formación de microaneurismas que conducen a enfermedad generalizada grave con afectación multiorgánica.,La poliarteritis nodosa sistémica (PAN; véase este término) es una vasculitis necrótica sistémica crónica de adultos y niños que afecta a los vasos pequeños y medianos y se caracteriza por la formación de microaneurismas que conducen a una enfermedad generalizada grave y a la afectación de múltiples órganos.
"Es un proceso no familiar poco frecuente del tallo piloso caracterizado por un cabello fino, rizado, ensortijado e hipopigmentado, de un diámetro medio de 0,5 mm, localizado en una área circunscrita del cuero cabelludo presente en el nacimiento o de aparición durante los dos primeros años de vida. Ocasionalmente, puede presentarse en áreas inicialmente alopécicas en el período neonatal. Puede asociarse a alteraciones oculares (membrana pupilar persistente, defectos retinianos), pubertad precoz y nevos epidérmicos.","El nevo de cabello lanudo (NCL) es una anomalía poco frecuente del cabello no familiar caracterizada por vello fino, rizado, enrollado y hipopigmentado con un diámetro promedio de 0,5 cm, observado desde el nacimiento o durante los primeros dos años de vida, en una distribución circunscrita localizada en el cuero cabelludo. Ocasionalmente, el NCL crece en áreas observadas como alopecia en el período neonatal."
"Es un trastorno genético neurometabólico poco frecuente multisistético y progresivo debido a una disfunción mitocondrial y que está caracterizado por encefalomiopatía, acidosis láctica y episodios que simulan ictus.","Trastorno genético neurometabólico raro que es progresivo y multisistémico debido a la disfunción mitocondrial y que se caracteriza por encefalomiopatía, acidosis láctica y episodios similares a un derrame cerebral."
"Es una aciduria orgánica clásica poco frecuente caracterizada por el acúmulo tisular y el aumento de la excreción urinaria de ácido 3-hidroxiisobutírico. El fenotipo clínico varía desde leves episodios recurrentes de vómitos con un desarrollo cognitivo normal hasta acidosis masiva, crisis epilépticas y fallo de medro con grave discapacidad intelectual y muerte prematura. También se ha descrito rasgos craneofaciales dismórficos (como microcefalia, cara triangular, frente inclinada y estrecha, filtrum largo y prominente y micrognatia), así como anomalías cerebrales variables.","Aciduria orgánica clásica poco frecuente caracterizada por acumulación de tejido y elevación de la excreción urinaria de ácido 3-hidroxiisobutírico. El fenotipo clínico varía desde episodios leves y recurrentes de vómitos con desarrollo cognitivo normal, hasta acidosis masiva, convulsiones e incapacidad para prosperar con discapacidad intelectual profunda y muerte prematura. También se han descrito rasgos craneofaciales dismorfos (como microcefalia, cara triangular, frente corta y inclinada, filtrum largo y prominente y micrognatia) y anomalías cerebrales variables."
