reference,actual
"El método químico de Frattini representa la cantidad máxima de hidróxido de calcio con ia que una puzolana se puede combinar, esta reacción depende de diferentes factores como ia naturaleza y proporción de las fases activas del material puzolánico y su superficie específica, así como también de ia relación cal-puzolana y ia temperatura de reacción.","Esta reacción depende de diferentes factores, como la naturaleza y relación de las fases activas del material pozzolanico y su superficie específica, así como la relación cal-pozzolano y la temperatura de reacción."
"En Embase, la búsqueda con las listas bibliográficas de otras publicaciones permitió encontrar otros 12 estudios, pero esos escritos no se referían al tema, o no cumplían los criterios de inclusión o no eran nuevos respecto a PubMed.","En Embase, la búsqueda con la lista bibliográfica de otras publicaciones nos permitió encontrar otros 12 estudios, pero estos escritos no se referían al tema, o no cumplirían con los criterios de inclusión o eran nuevos en relación a PubMed."
A partir de este modelo fue posible identificar los distintos grupos de riesgo generados.,A partir de este modelo se pudo identificar los diferentes grupos de riesgo generados.
Se trata de una locación histórica con un emplazamiento privilegiado en una de las zonas turísticas más importantes de la ciudad de Berlín.,Es un entorno histórico con una posición privilegiada en una de las zonas turísticas más importantes de la ciudad de Berlín.
Esta ampliación de búsqueda fue debida a la escasa literatura encontrada que realizase una relación directa entre la MGF y la consecución de los Objetivos de Desarrollo del Milenio.,La ampliación de nuestra búsqueda se ejecutó debido al bajo número de lecturas que vinculaban explícitamente la MGF y el logro de los Objetivos de Desarrollo del Milenio.
"Se citó en siete días para valoración, percatándose de un adecuado proceso de cicatrización Figura 16.","Se le pidió al paciente que regresara después de siete días, en ese momento se observó un proceso de curación adecuado Figura 16."
"Así, para Herz, la totalidad de estas relaciones es la espacialización del campo Herz, 2008.","Así, para Herz, toda la relación es la espacialización del campo Herz, 2008."
Elbashir et al. 2008 mencionan que resulta poco apropiado usar medidas contables como la rentabilidad de la empresa o el retorno de la inversión en la medición del desempeño del negocio con base en herramientas como los sistemas de procesamiento transaccional o los sistemas de soporte a las decisiones.,"Elbashir et al., 2008 han mencionado que no es muy apropiado utilizar medidas contables como la rentabilidad de la empresa o el retorno de la inversión cuando se mide el desempeño del negocio basado en herramientas como sistemas de procesamiento transaccional o sistemas de apoyo a la toma de decisiones."
Diámetro de los árboles a la altura de 1.30 m DAP m = Todos los árboles se ubicaron por clases de diámetro,"Diámetro de los árboles a una altura de 1,30 m DBH m = todos los árboles fueron clasificados por clase de diámetro"
"En el Cuadro 1 se describen las condiciones de precipitación y temperatura que prevalecieron en el sitio durante el periodo de evaluación, de agosto de 2014 a febrero de 2015.","Las condiciones de precipitación y temperatura prevalecientes en el sitio durante el período de evaluación, de agosto de 2014 a febrero de 2015, se describen en la Tabla 1."
" Ecuación 3: nombre de las universidades y topónimos correspondientes a ciudades brasileñas, limitando aquellos que pudieran generar confusión con el de otros países."," Ecuación 3: nombre de las universidades y nombre correspondiente de las ciudades brasileñas, excluyendo aquellas que pudieran crear confusión con ciudades de otros países."
"Adicionalmente, se encontró un estudio hecho en el RESA Simeprodeso de Monterrey, Nuevo León, en el que se empleó el modelo Usepa E-PLUS, el cual es diferente a los anteriores, usándose también una metodología distinta para evaluar la recuperación de biogás LFG Consult, 2007.","Un estudio del vertedero sanitario SIMEPRODESO en Monterrey, Nuevo León, utilizó el modelo ""USEPA E-PLUS"" que es diferente a los anteriores y también utilizó una metodología diferente para evaluar la recuperación de gas de vertedero LFG Consult, 2007."
"Para esto se recopiló la bitácora de esta obra, en la cual se explica cada una de sus etapas y algunos de sus imprevistos.","Por esta razón, se elaboró el diario de obra, que explica cada etapa y algunas situaciones imprevistas."
"Los efectos hipotensores, la reversión a la circulación neonatal y la menor depuración que produce una sedación prolongada en neonatos siguen siendo obstáculos para el uso de TIVA en este grupo etario .","Los efectos hipotensores, la reversión a la circulación neonatal y el aclaramiento reducido que causa sedación prolongada en los neonatos siguen siendo obstáculos para el uso de TIVA en este grupo de edad."
"Al examen físico FC: 78 FR: 18, en buen estado general, afebril, hidratada, con máculas hiperpigmentadas en región facial y en labio inferior.",El examen físico mostró FC: 78 y RR: 18.
"En el caso 1 se demostró la presencia de eosinófilos en el colon, con un recuento mayor a 60 eosinófilos por campo de alto poder, confirmando la enfermedad.","En el Caso Uno, el recuento de eosinófilos por campo de alta potencia fue superior a sesenta, confirmando la enfermedad."
"En ensayos experimentales de este tipo, las componentes de esfuerzos no nulas están contenidas en el plano de la viga describiendo un estado plano de esfuerzos, el concreto presenta deformaciones pequeñas respondiendo a la teoría de las deformaciones infinitesimales y el estado de flexión genera la aparición de una sola fisura aproximadamente vertical.","En tales ensayos experimentales, los componentes de tensión no vacíos están contenidos en el plano de la viga que describe un estado plano de tensión; el hormigón muestra una pequeña tensión, respondiendo así a la teoría de las deformaciones infinitesimales y, la condición de resistencia a la flexión provoca la excitación de solo una grieta aproximadamente vertical."
"En conclusión y a partir de esta discusión estética propondremos un atisbo del alcance ético del diseño, la arquitectura y la planificación en el mundo contemporáneo.","En conclusión, y a partir de esta discusión estética, propondremos un vistazo al alcance ético del diseño, la arquitectura y la planificación en el mundo contemporáneo."
"Por eso, lejos de poder considerarse como arquetipos metafísicos, los cuatro tipos cuvierianos - Vertebrata, Molusca, Articulata y Radiata - deben entenderse como tipos fisiológicos u organizacionales Ghiselin, 1983, p.127; Papavero, Llorente-Bousquets, 1994, p.129; Guillo, 2003, p.38; ellos son los cuatro modos fundamentales de la economía animal Cuvier, 1817, p.57 y ss. Cualquier animal que realmente pueda existir, o haber existido, no podrá ser otra cosa que una variación sobre uno de esos cuatro temas fundamentales Cassirer, 1948, p.162 y la clasificación exhaustiva de todos los seres alguna vez existentes constituiría un repertorio de todas las variaciones posibles dentro de esos planos básicos Caponi, 2008c, p.39.","Por lo tanto, lejos de ser arquetipos metafísicos, los cuatro tipos de Cuvier - Vertebrata, Mollusca, Articulata y Radiata - deben entenderse como tipos fisiológicos u organizativos Ghiselin, 1983, p.127; Papavero, Llorente-Bousquets, 1994, p.129; Guillo, 2003, p.38; son los cuatro modos fundamentales de la economía animal Cuvier, 1817, pp.57 y ss. Cualquier animal que pueda existir realmente, o que haya existido, solo puede ser una variación sobre uno de esos cuatro temas fundamentales Cassirer, 1948, p.162 y la clasificación exhaustiva de todos los seres que hayan existido constituiría un repertorio de todas las variaciones posibles dentro de esos planos básicos Caponi, 2008c, p.39."
