reference,actual
"Es una variante atípica de la parálisis supranuclear progresiva (PSP), una enfermedad neurodegenerativa poco frecuente de inicio tardío, caracterizada por una combinación variable de rigidez asimétrica progresiva de las extremidades, apraxia, pérdida de la sensibilidad cortical, miembro ajeno, distonía y bradicinesia que no responde a levodopa. La inestabilidad postural y la rigidez axial se desarrollan a medida que la enfermedad progresa. Las características neuropatológicas incluyen la patología Tau y la pérdida neuronal en áreas cerebrales específicas, especialmente en la corteza parietal media y parietal inferior.","Una variante atípica de parálisis supranuclear progresiva (PSP), una enfermedad neurodegenerativa de aparición tardía rara, caracterizada por una mezcla variable de rigidez asimétrica progresiva de las extremidades, apraxia, pérdida sensorial cortical, extremidad extraña, distonía y bradicinesia que no responde a la levodopa. La inestabilidad postural y la rigidez axial se desarrollan a medida que la enfermedad progresa. Las características neuropatológicas incluyen la patología tau y la pérdida neuronal en áreas específicas del cerebro, especialmente en las cortices parietal medial y inferior."
"Es un grupo de enfermedades priónicas humanas caracterizadas por una neurodegeneración progresiva e invariablemente letal a consecuencia de la transmisión accidental de priones. El grupo comprende la enfermedad de Creutzfeldt-Jakob (ECJ) iatrogénica, resultante de la transmisión de priones de ECJ en el curso de procedimientos o tratamientos médicos, y la variante de la ECJ (transmisión a través del consumo de productos de derivados afectadas por la enfermedad priónica o mediante la transfusión de sangre de un individuo afectado).","Grupo de enfermedades priónicas humanas caracterizadas por una neurodegeneración progresiva, invariablemente fatal, resultante de la transmisión accidental de priones. El grupo comprende la enfermedad iatrogénica de Creutzfeldt-Jakob (ECJ), que resulta de la transmisión de priones de ECJ en el curso de procedimientos o tratamientos médicos, y la variante de ECJ (transmisión a través del consumo de productos de vacas enfermas de priones o a través de la transfusión de sangre de un individuo afectado)."
"Es una leucodistrofia poco frecuente caracterizada por un espectro de manifestaciones neurológicas progresivas, que comprenden un inicio temprano rápidamente progresivo de nistagmo, tetraplejía espástica y afectación visual y auditiva, causando el fallecimiento en la infancia temprana. También es posible un inicio más tardío con una ataxia espástica compleja lentamente progresiva con síntomas piramidales y cerebelosos y pérdida de los hitos del desarrollo. La neuroimagen muestra una hipomielinización difusa de la sustancia blanca subcortical y profunda, atrofia cerebelosa y disminución global del volumen de la médula espinal.","Una leucodistrofia rara caracterizada por un espectro de manifestaciones neurológicas progresivas que comprenden nistagmo de inicio temprano y progresivo, tetraplejía espástica y deterioro visual y auditivo, que resulta en la muerte en la primera infancia, así como la aparición posterior de ataxia espástica compleja y progresiva lenta con síntomas piramidales y cerebelares y pérdida de hitos del desarrollo."
Está enfermedad se describe en  Síndrome de Alport,Esta enfermedad se describe bajo el síndrome de Alport
"Es un tumor de los tejidos hematopoyético y linfoide que se caracteriza por proliferación y diferenciación anómalas de una población clonal de células madre mieloides que presentan anomalías inespecíficas en 11q23. Las manifestaciones clínicas son el resultado de la acumulación de células mieloides malignas en la médula ósea, sangre periférica y en otros órganos, e incluyen leucocitosis, anemia, trombocitopenia, fatiga, anorexia y pérdida de peso.","Un tumor raro que surge de tejidos hematopoyéticos y linfoides caracterizado por una proliferación y diferenciación anormales de una población clonal de células madre mieloides que llevan anomalías no específicas de 11q23. Las manifestaciones clínicas son el resultado de la acumulación de células mieloides malignas dentro de la médula ósea, la sangre periférica y otros órganos, e incluyen leucocitosis, anemia, trombocitopenia, fatiga, anorexia y pérdida de peso."
"Es una enfermedad genética y poco frecuente de ataxia espástica autosómica recesiva caracterizada por ataxia cerebelosa, espasticidad, atrofia cerebelosa (y en algunos casos cerebral), distonía y leucoencefalopatía.","Una enfermedad rara, genética, autosómica recesiva de ataxia espástica caracterizada por ataxia cerebelosa, espasticidad, atrofia cerebelosa (y en algunos casos cerebral), distonía y leucoencefalopatía."
Es una vasculitis necrotizante sistémica crónica de adultos y niños que afecta a los vasos pequeños y medianos. Se caracteriza por la formación de microaneurismas que conducen a enfermedad generalizada grave con afectación multiorgánica.,La poliarteritis nodosa sistémica (PAN; véase este término) es una vasculitis necrotizante sistémica crónica de adultos y niños que afecta a los vasos sanguíneos de tamaño pequeño y mediano y se caracteriza por la formación de microaneurismas que conducen a una enfermedad generalizada grave y a la afectación de varios órganos.
"Es un proceso no familiar poco frecuente del tallo piloso caracterizado por un cabello fino, rizado, ensortijado e hipopigmentado, de un diámetro medio de 0,5 mm, localizado en una área circunscrita del cuero cabelludo presente en el nacimiento o de aparición durante los dos primeros años de vida. Ocasionalmente, puede presentarse en áreas inicialmente alopécicas en el período neonatal. Puede asociarse a alteraciones oculares (membrana pupilar persistente, defectos retinianos), pubertad precoz y nevos epidérmicos.","El nevus de pelo lanudo (WHN) es una rara anomalía no familiar del cabello caracterizada por pelo fino retorcido, muy enrollado e hipopigmentado con un diámetro promedio de 0,5 cm, observado desde el nacimiento o durante los primeros dos años de vida, en una distribución circunscrita localizada en el cuero cabelludo. Ocasionalmente, el WHN crece en áreas observadas como alopécicas en el período neonatal. El WHN puede estar asociado con características como defectos oculares (membrana pupillar persistente, defectos de retina), pubertad precoz y nevi epidérmicos."
"Es un trastorno genético neurometabólico poco frecuente multisistético y progresivo debido a una disfunción mitocondrial y que está caracterizado por encefalomiopatía, acidosis láctica y episodios que simulan ictus.","Un raro trastorno genético neurometabólico que es progresivo y multisistémico debido a la disfunción mitocondrial y que se caracteriza por encefalomiopatía, acidosis láctica y episodios similares a un accidente cerebrovascular."
"Es una aciduria orgánica clásica poco frecuente caracterizada por el acúmulo tisular y el aumento de la excreción urinaria de ácido 3-hidroxiisobutírico. El fenotipo clínico varía desde leves episodios recurrentes de vómitos con un desarrollo cognitivo normal hasta acidosis masiva, crisis epilépticas y fallo de medro con grave discapacidad intelectual y muerte prematura. También se ha descrito rasgos craneofaciales dismórficos (como microcefalia, cara triangular, frente inclinada y estrecha, filtrum largo y prominente y micrognatia), así como anomalías cerebrales variables.","Una rara aciduria orgánica clásica caracterizada por la acumulación en el tejido y la elevación de la excreción urinaria de ácido 3-hidroxiisobutírico. El fenotipo clínico varía desde episodios leves recurrentes de vómitos con desarrollo cognitivo normal, hasta acidosis masiva, convulsiones y falta de crecimiento con discapacidad intelectual profunda y muerte prematura. También se han descrito características craneofaciales dismórficas (como microcefalia, cara triangular, frente corta y inclinada, filtro largo y prominente y micrognatia) y anomalías cerebrales variables."
