reference,actual
Odontodisplasia regional,Displasia odontológica regional
Retinopatía asociada a cancer,Retinopatía asociada con el cáncer
Tumor epitelial maligno de las glándulas salivales,Tumor epitelial maligno de las glándulas salivales
Síndrome de microduplicación proximal 16p11.2,Síndrome de microduplicación proximal 16p11.2
Demencia pugilística,Demencia pugilística
Hiper-beta-alaninemia,Hiper-beta-alaninemia: el riesgo de enfermedad es muy bajo.
Mesotelioma peritoneal quístico,En el caso de los pacientes con mesotelioma quístico peritoneal
Disostosis con afectación predominantemente craneofacial,Disostosis con afectación predominantemente craneofacial
NO ES ENFERMEDAD RARA EN EUROPA: Síndrome de Buschke-Ollendorff,No es raro en Europa: síndrome de Buschke-Ollendorff
Trastorno raro del movimiento paroxístico,Trastorno paroxístico del movimiento raro
Agenesia de la válvula mitral,Agenesis de la válvula mitral
OBSOLETO: Parkinsonismo juvenil sin respuesta a levodopa,Obsoleto: Parkinsonismo juvenil que no responde a la levodopa
Tumor neuroendocrino del oído medio,Tumor neuroendocrino del oído medio
Displasia acromesomélica tipo Maroteaux,Displasia acromesomélica del tipo Maroteaux
Hipertensión por una causa rara,Causa rara de la hipertensión
Ataxia cerebelosa degenerativa y progresiva autosómica recesiva,Ataxia cerebelosa autosómica recessiva degenerativa y progresiva
Tumor benigno ovárico raro,Tumor ovárico benigno poco frecuente
Pancreatitis crónica hereditaria,Pancreatitis crónica hereditaria
Poliposis adenomatosa familiar atenuada asociada al gen NTHL1,Poliposis adenomatosa familiar atenuada relacionada con la NTHL1
OBSOLETO: Síndrome de osteopenia-miopía-hipoacusia-discapacidad intelectual-dismorfia facial,Obsoleto: Osteopenia-miopía-pérdida de audición-incapacidad intelectual-síndrome de dismorfismo facial
Síndrome de Joubert con defecto óculo-renal,Síndrome de Joubert con defecto oculorenal
Síndrome de sobrecrecimiento-defecto de modelado metafisario-displasia espondilar,Síndrome de crecimiento excesivo-metafísico-submodelado-displasia espondillar
Síndrome de aniridia-ausencia de rótula,Síndrome de la rótula sin aniridia
Disfasia congénita familiar,Disfasia del desarrollo familiar
Deficiencia congénita de quininógeno de alto peso molecular,Deficiencia congénita de quinógeno de alto peso molecular
Polimicrogiria unilateral hemisférica,Polímicrogiria hemisférica unilateral
Hemiplejía alternante nocturna benigna de la infancia,Hemiplejia nocturna benigna y alterna de la infancia
OBSOLETO: Malformación anorrectal intermedia aislada,Obsoleta: Malformación anorectal aislada intermedia
Enfermedad CLN10,Enfermedad CLN10
Atresia uretral,Atresia de la uretra
Enfermedad genética del tejido subcutáneo,Trastorno genético del tejido subcutáneo
Neuropatía óptica hereditaria sindrómica,Neuropatía óptica hereditaria síndroma
Mucolipidosis,Mucolipidosis y sus efectos
OBSOLETO: Hidronefrosis congénita,Obsoleta: Hidronefrosis congénita
Síndrome de cáncer de ovario hereditario de localización específica,Síndrome de cáncer de ovario hereditario específico del sitio
Mesotelioma peritoneal maligno,"En el caso de los pacientes con cáncer de mama, el tratamiento se llevará a cabo con una dosis de 100 mg/kg."
Enfermedad de la beta oxidación peroxisomal,Trastorno de la oxidación beta peroxisomal
Malabsorción hereditaria de folato,Mala absorción hereditaria de ácido fólico
Síndrome de microdeleción 1p21.3,Síndrome de microdeleción
Tifus murino,Tifus murino
Síndrome de Treft-Sanborn-Carey,Síndrome de Treft-Sanborn-Carey
Síndrome cardiocraneal tipo Pfeiffer,Síndrome cardiocranial tipo Pfeiffer
Síndrome hipertelorismo-hipospadias-polisindactilia,Síndrome de hipertelorismo- hipospadias- polisindactilia
Distrofia muscular de cinturas autosómica recesiva tipo 2Y,Distrofia muscular de la cintura de las extremidades relacionada con TOR1AIP1
Túnel ventrículo izquierdo-aorta,El túnel aorto-ventricular
Síndrome de trastorno del neurodesarrollo regresivo-distonia-crisis asociado al gen IRF2BPL,Trastorno neurodesenvolutivo regresivo distonia-síndrome de convulsiones relacionado con IRF2BPL
Paraparesia espástica autosómica recesiva tipo 69,Paraplejía espástica autosómica recesiva tipo 69
Hiperparatiroidismo genético,Hiperparatiroidismo genético
Inmunodeficiencia combinada por deficiencia de FCHO1,Inmunodeficiencia combinada debida a la deficiencia de FCHO1
Continuación ácigos de la vena cava inferior,Continuación de Azygos de la vena cava inferior
Neurocitoma extraventricular,Neurocitoma extraventricular y sus derivados
Desmosis coli primaria,Desmosis coli primaria
Polimiositis,Enfermedad de las células
Síndrome de Tietz,Síndrome de Tietz
Onfalocele,Se ha detectado una
Síndrome de hipoplasia tibial-polidactilia postaxial,Síndrome de polidactilia postachiales y tibiales hipoplásticas
Tumor de Klatskin,Tumor de la piel
Síndrome de discapacidad intelectual-crisis-trastornos de la marcha-dismorfia facial,Síndrome de dismorfismo facial de la marcha anormal
Síndrome de blefaroptosis-miopía-ectopia lentis,Síndrome de la blefaroptosis-miopía-ectopia lentis
Síndrome de lesiones en anillo del cuero cabelludo-fragilidad ósea,Síndrome de la fragilidad ósea de las lesiones de rosquilla calvarial
Síndrome de oftalmoplejía-discapacidad intelectual-lengua escrotal,Oftalmoplejía-discapacidad intelectual-síndrome de lengua escrotal
Anomalía del desarrollo del segmento anterior sin manifestaciones extraoculares,Anomalía del desarrollo del segmento anterior sin manifestaciones extraoculares
Síndrome del cromosoma 18 en anillo,Síndrome del cromosoma de anillo 18
Síndrome de microdeleción 8q24.3,Síndrome de microdeleción 8q24.3
Síndrome compartimental neonatal,Síndrome del compartimento neonatal
Hipospadias posteriores,Hipospadia posterior no síndroma
