reference,actual
oído externo,oído externo
enfermedad constitucional,enfermedad congénita
cuerpo de Mallory,Cuerpo de Mallory
rinoplástico,rhinoplastic
perineural,perineural
frecuencia esperada,frecuencia esperada
rubidio,el rubidio
yatroquímica,yatroquímico
macronúcleo,el macronúcleo
agua libre,agua libre
natural,el hombre
trombosis hemorroidal,Trombosis de las hemorroides
vía intravítrea,vía intravítrea (de administración)
canina,de las especies caninas
globular,el globo
antitifoidea,antitifoidea
luxación del cristalino,"ectopia lentis, también conocida como ectopia lentis"
papulosis bowenoide,Papulosis de las boquillas
peptona,otras sustancias
bulbouretral,En el caso de los
terminal,terminal de transporte
descargar,para descargar
reticulada,de la especie
deshidratasa,deshidrataza
reconstituir,para reconstituir
promotor,promotor
leve,incapacidad leve
antitoxinógeno,y anti-toxinogénico
carácter dominante,rasgo dominante
vínculo,relación
normovolémica,normalidad
inteligencia,inteligencia
frialdad,distanciamiento
linfoma cerebral primario,linfoma cerebral primario
neurogenética,neurogénico
leñosa,de madera
tenia,el tenia
teratólogo,Teratólogo
caseína,de la caséina
posmenopáusica,después de la menopausia
fluoropirimidínica,otras sustancias
foramen oval,El foramen de Botallo
falange proximal,Falange proximal y falange de la espalda
perirradicular,Periradiculares
dicloroetano,Dihidróxido de hidróxido de carbono
isopropílico,de la categoría de las siguientes:
enrojecerse,para ponerse rojo
síndrome de Nezelof,Síndrome de Nezelofs
roña,el suelo
catarata traumática,cataratas traumáticas
gestosis,el gestosis
ontogénico,de origen genético
surco cingular,el sulco del cingulado
salpingografía,Salpingografía
intestino,el intestino
traumatológico,ortopédico
hipouricemiante,induciendo hipoacemia
diarrea crónica,diarrea crónica
anisocariosis,Anisocariosis y otras enfermedades
valva,cúspide
pederastia,la pederastia
glándula parótida,Glándula parótida
vacuna contra la varicela,vacuna contra la varicela
gaseoso,de carbono
alcoholizar,para someterse a una alcoholización
diplocócico,En el caso de los
prostaglandina F%l2α%l,"En el caso de las sustancias que no sean de origen animal, se indicará el nombre y la dirección de la empresa."
uretrorragia,Trastorno de la uretra
covalencia,número covalente
comunidad,comunidad
queratina,Queratina y sus derivados
amenorreico,amenorrea
dura,muy duro
apnea obstructiva,Apnea obstructiva
antineurálgica,anti-neuralgico
