reference,actual
"Otra causa de dolor torácico es una disección aórtica, lo cual ocurre cuando el principal vaso sanguíneo desde el corazón, la aorta, está afectada y débil.","Otra causa de dolor en el pecho es una disección de la aorta, que ocurre cuando el principal vaso sanguíneo del corazón, la aorta, está afectado y débil."
Se discutirán a continuación las presentaciones clínicas y de laboratorio más comunes de IEM.,Las presentaciones clínicas y de laboratorio más comunes de IEM se analizarán a continuación.
El diagnóstico de una deficiencia de subclase IgG clinicamente significativa requiere evidencia de la disfunción anticorporal en la forma de infecciones recurrentes y una respuesta inadecuada al reto de la vacuna.,"El diagnóstico de una deficiencia de subclase IgG clínicamente significativa requiere evidencia de disfunción del anticuerpo, en forma de infecciones recurrentes y una respuesta inadecuada al reto de la vacunación."
"Existen dos tipos de displasia epifisaria múltiple, las cuales pueden distinguirse por su patrón de herencia.","Existen dos tipos de displasia epifisa múltiple, que se pueden distinguir por su patrón de herencia."
AngioCalc no es responsable del contenido de los sitios que enlazan al Riesgo de rayos-X.,AngioCalc no es responsable del contenido de los sitios que enlazan con Risk de rayos X.
Tanto la enfermedad valvular cardíaca adquirida como congénita puede causar estenosis o reflujo.,Tanto la enfermedad congénita como la adquirida de la válvula cardíaca pueden causar estenosis o reflujo.
El sistema de limpieza de los conductos respiratorios the Vest® es un aparato médico de uso fácil para niños y adultos.,El Sistema de Despecho de las vías respiratorias Vest® es un dispositivo médico fácil de usar para niños y adultos.
La alfa talasemia es un desorden de la sangre que reduce la producción de hemoglobina.,La talasemia alfa es un trastorno sanguíneo que reduce la producción de hemoglobina.
La prevalencia de dolor articular discogénico cervical crónico tras esguince cervical.,Prevalencia de dolor en las articulaciones zigapofísicas cervicales crónicas después del latigazo.
Medpedia no es un substituto de la opinión profesional o de los servicios médicos profesionales de un profesional de la salud cualificado.,Medpedia no sustituye el asesoramiento profesional o los servicios médicos de expertos de un profesional de la salud cualificado.
¿Qué es lo que causa este dolor y cómo puedo remediarlo?,¿Qué causa este dolor y cómo puedo remediarlo?
"El problema es realizar la indicación operativa a tiempo, en cualquier caso antes de que el corazón esté demasiado cansado.","El problema es hacer la indicación operativa a tiempo, en cualquier caso antes de que el corazón esté demasiado cansado."
La única forma en la que un médico puede diagnosticar SVC es estudiando los síntomas y el historial médico para descartar cualquier otra causa posible para la náusea y el vómito.,La única forma en que un médico puede diagnosticar el CVS es examinando los síntomas y el historial médico para descartar cualquier otra posible causa de las náuseas y vómitos.
"Su médico diagnosticará endocarditis inefectiva (EI) basada en sus factores de riesgo, su historia médica, signos y síntomas y con los resultados de las pruebas.","Su médico diagnosticará endocarditis infecciosa (IE) en función de sus factores de riesgo, antecedentes médicos y signos y síntomas, y de los resultados de las pruebas."
"Una infección del tracto urinario (ITU) es una infección que involucra cualquiera de los órganos o estructuras del tracto urinario, incluyendo los riñones, uréteres, vejiga y uretra.","Una infección urinaria (TIU) es una infección que afecta a cualquiera de los órganos o estructuras del tracto urinario, incluidos los riñones, las ureteras, la vejiga y la uretra."
Algunas veces el ataque aórtico viene con un ataque de aneurisma de la aorta ascendente.,El ataque aórtico a veces viene con un ataque aneurismal de la aorta ascendente.
Sólo se han estudiado unas cuantas antihistaminas para el tratamiento de la náusea y el vómito del embarazo.,Solo se han estudiado algunos antihistamínicos para el tratamiento de las náuseas y vómitos del embarazo.
Ella también tenía una pequeña úlcera gástrica además de este proceso inflamatorio involucrando el cuerpo gástrico y el antro.,"Además de este proceso inflamatorio que involucra el cuerpo gástrico y el ántrum, también tenía una pequeña úlcera gástrica."
La colitis microscópica tiene dos formas principales: colitis de colágeno y colitis linfocítica.,La colitis microscópica tiene dos formas principales: colitis colágeno y colitis linfocítica.
La distribución tanto de la MI como de la displasia (de bajo grado (BG) y de alto grado (AG)) en el esófago columnar es irregular y en forma de mosaico lo que requiere biopsias aleatorizadas.,La distribución de la infección por la espina y la displasia (de bajo grado (LGD) y alto grado (HGD)) dentro del esófago revestido columnar es irregular y el mosaico requiere biopsias aleatorias.
El segundo examen de seguimiento en el día 21 de vida mostró progresión hacia hemorragia intraventricular de grado III bilateral.,El segundo examen de seguimiento en el día 21 de vida mostró progresión a hemorragia intraventricular bilateral de grado III.
Quieres saber si es mejor usar la herramienta CIWA-Ar que tu propio juicio clínico para evaluar si este paciente está de verdad en abstinencia alcohólica y prevenir los síntomas.,Usted quiere saber si el uso de la herramienta CIWA- Ar es mejor que el uso de su propio juicio clínico para evaluar si este paciente está realmente en abstinencia del alcohol y prevenir los síntomas.
El Cuidado Guiado de Enfermería coordina los esfuerzos de todos los profesionales sanitarios que tratan a pacientes de Cuidado Guiado a través de los centros de salud.,La Enfermería de Cuidados Guidados coordina los esfuerzos de todos los profesionales de la salud que tratan a los pacientes de Cuidados Guidados en todos los entornos de salud.
"No diagnostique ""leucemia linfocítica crónica"" o ""linfoma linfocítico pequeño"" en una persona joven hasta que haya seccionado a través del bloque en su búsqueda de la célula diagnóstica.","No diagnostique ""leucemia linfocítica crónica"" o ""linfoma linfocítico pequeño"" en una persona joven hasta que haya segregado el bloque en su búsqueda de la célula diagnóstica."
La condición se conoce como proctitis ulcerosa si el ano (recto) es la única parte que llega a inflamarse.,"Si el ano (recto) es la única parte que se inflama, la condición se conoce como proctitis ulcerosa."
Su médico puede querer tomar una muestra de sangre y comparar el tiempo de coagulación de esa muestra con el tiempo que da su aparato de medición.,Su médico puede tomar una muestra de su sangre y comparar el tiempo de coagulación de esa muestra con el tiempo que le da el medidor.
"La vasculitis puede afectar a los vasos sanguíneos de cualquier tipo, o localización, y por consiguiente pueden causar disfunción en cualquier sistema orgánico, incluyendo el sistema nervioso central y periférico.","La vasculitis puede afectar a los vasos sanguíneos de cualquier tipo, tamaño o ubicación, y por lo tanto puede causar disfunción en cualquier sistema de órganos, incluido el sistema nervioso central y periférico."
Ambos medicamentos podrían usarse para tratar la abstinencia alcohólica.,Cualquiera de las drogas podría usarse para tratar la abstinencia del alcohol.
"Aunque una proporción importante de estos pacientes no pueden ser tratados de forma operativa, una porción substancial requiere operación inmediata.","Aunque una proporción importante de estos pacientes puede ser tratada no operativamente, una parte sustancial requiere una operación inmediata."
Por esta razón PCT puede ser un marcador de pronóstico útil.,"Por esta razón, el PCT puede ser útil como marcador prognóstico."
"Aunque su dolor desaparecerá, es sabio recordar que su nueva cadera no es su antigua cadera.","Aunque su dolor desaparecerá, es prudente recordar que una cadera nueva no es su cadera antigua."
"En un grupo de pacientes con fibrilación atrial paroxística, la fibrilación auricular asintomática sostenida ocurre con más frecuencia que en la fibrilación auricular sintomática.","En un grupo de pacientes con fibrilación auricular paroxismal, la fibrilación auricular asimptomática prolongada ocurre con mucha más frecuencia que la fibrilación auricular sintomática."
Las guías de práctica clínica K/DOQI para la enfermedad y el metabolismo óseo en la enfermedad renal crónica.,K/DOQI directrices de práctica clínica para el metabolismo óseo y la enfermedad en enfermedad renal crónica.
La banda de goma azul y la ampolla mucosal creada por la constricción son visibles a través del accesorio del endoscopio trasluciente usado en el proceso de bandeado.,La banda de goma azul y la membrana mucosa creada por la banda son visibles a través del accesorio endoscópio translúcido utilizado en el proceso de bandaje.
"El gen GLRA1 provee de instrucciones para desarrollar una parte, la subunidad alfa 1 (I), de la proteína receptora de glicina.","El gen GLRA1 proporciona instrucciones para hacer una parte, la subunidad alfa (Î) 1, de la proteína receptor de la glicina."
"Ninguno de los tratamientos o productos nutricionales de este sitio tienen la intención o pretenden diagnosticar, tratar, curar o prevenir ninguna enfermedad.","Ningún tratamiento o producto nutricional mencionado en este sitio no está destinado o no se afirma que diagnostique, trate, cure o evite ninguna enfermedad."
"Si pierde una dosis de esta medicina, tómesela tan pronto como sea posible.","Si se le pierde una dosis de este medicamento, debe tomarlo lo antes posible."
Media docena de pseudo quistes pancreáticos en los 14 pacientes gestionados de forma conservativa (7cm) fueron casi similar a los 22 pacientes que requirieron intervención (8 cm).,El tamaño medio de los pseudocistos pancreáticos en los 14 pacientes tratados de manera conservadora (7 cm) fue casi similar al de los 22 pacientes que requirieron intervención (8 cm).
La endocarditis infectiva (EI) se trata con antibióticos y algunas veces con cirugía cardíaca.,La endocarditis infecciosa (IE) se trata con antibióticos y a veces con cirugía cardíaca.
"Los receptores de trasplante de órgano sólido tienen un riesgo incrementado de infección con NTM debido a una inmunidad mediada por células deprimidas, pero no obstante las infecciones por NTM son raras en esta población.","Los receptores de trasplantes de órganos sólidos tienen un mayor riesgo de infección por NTM debido a la inmunidad mediada por células deprimida, pero las infecciones por NTM son, sin embargo, raras en esta población."
"Para este objetivo, la ecografía de corazón permanece siendo el examen más conveniente y completo para una inocuidad total.","Para ello, la ecografía del corazón sigue siendo el examen más conveniente y completo para una inocencia total."
Las manifestaciones clínicas de este desorden incluyen dolor abdominal crónico y disfunción exocrina pancreática y disfunción endocrina.,Las manifestaciones clínicas de este trastorno incluyen dolor abdominal crónico y disfunción exocrina y endocrina pancreática.
La mayoría de las úlceras se pueden curar con medicamentos.,La mayoría de las úlceras se pueden curar con medicamentos.
"Mientras las personas tienden a centrarse en los implantes de pechos, la reducción de mamas es un procedimiento muy común tanto para hombre como para mujeres.","Si bien las personas tienden a centrarse en los implantes mamarios, la reducción mamaria es un procedimiento muy común tanto para hombres como para mujeres."
Las células sanguíneas blancas (leucocitos) son jugadores importantes en el sistema inmune y ayudan a las defensas contra la infección y la enfermedad.,Los glóbulos blancos (leucócitos) son actores importantes en el sistema inmunológico y ayudan a defenderse contra infecciones y enfermedades.
Te preguntas si el reflejo de náuseas es una buena prueba para predecir la necesidad de intubación.,Te preguntas si el reflejo de la boquilla es una buena prueba para predecir la necesidad de intubado.
"Se presentará un algoritmo de diagnóstico para usar estas pruebas en el diagnóstico de hepatitis aguda, infecciones pasadas e infecciones crónicas.","Se presentará un algoritmo de diagnóstico para usar estas pruebas para diagnosticar hepatitis aguda, infecciones pasadas y infecciones crónicas."
Las endoscopias de vigilancia con biopsia es una estrategia de seguimiento válida y segura para los pacientes con Barret que tiene DAG sin cáncer.,Las endoscopias de vigilancia con biopsia son una estrategia de seguimiento válida y segura para los pacientes de Barrett que tienen HGD sin cáncer.
