hpo_id,english,candidate,reference,simple,sacrebleu,`ter`,semsim
HP:0000001,All,todo,Todos,0,0.0,0.0,86.6
HP:0000005,Mode of inheritance,modo de herencia,Modo de herencia,0,100.0,100.0,100.0
HP:0000118,Phenotypic abnormality,Anomalía fenotípica,Anomalía fenotípica,1,100.0,100.0,100.0
HP:0012823,Clinical modifier,modificador clínico,Modificador clínico,0,100.0,100.0,100.0
HP:0032223,Blood group,grupo sanguíneo,Grupo sanguíneo,0,100.0,100.0,100.0
HP:0032443,Past medical history,antecedentes personales,Historial médico pasado,0,0.0,-50.0,61.0
HP:0040279,Frequency,frecuencia,Frecuencia,0,100.0,100.0,100.0
HP:0001426,Non-Mendelian inheritance,herencia no mendeliana,Herencia multifactorial,0,27.5,33.3,62.2
HP:0003745,Sporadic,esporádica,Esporádico,0,0.0,0.0,99.0
HP:0034335,Inheritance qualifier,Calificante de herencia,Modificador de herencia,0,55.0,66.7,79.9
HP:0034345,Mendelian inheritance,mendelismo,Herencia mendeliana,0,0.0,-100.0,63.0
HP:0000119,Abnormality of the genitourinary system,anomalía genitourinaria,Anomalía del sistema genitourinario,0,18.4,-50.0,91.6
HP:0000152,Abnormality of head or neck,anomalía de cabeza o cuello,Anomalía de la cabeza y el cuello,0,17.0,40.0,99.0
HP:0000478,Abnormality of the eye,anomalía ocular,Anomalía del ojo,0,30.3,0.0,97.6
HP:0000598,Abnormality of the ear,anomalía del oído,Anomalía de la oreja,0,19.7,0.0,98.2
HP:0000707,Abnormality of the nervous system,anomalía del sistema nervioso,Anomalía del sistema nervioso,0,100.0,100.0,100.0
HP:0000769,Abnormality of the breast,anomalía mamaria,Anomalía de la mama,0,18.4,-50.0,89.6
HP:0000818,Abnormality of the endocrine system,anomalía del sistema endocrino,Alteración del sistema endocrino,0,59.5,75.0,89.4
HP:0001197,Abnormality of prenatal development or birth,anomalía del desarrollo prenatal o del nacimiento,Anomalía del desarrollo prenatal o el parto,0,61.5,71.4,96.5
HP:0001507,Growth abnormality,Anomalía del crecimiento,Anomalía del crecimiento,1,100.0,100.0,100.0
HP:0001574,Abnormality of the integument,anomalía del tegumento,Anomalía del tegumento,0,100.0,100.0,100.0
HP:0001608,Abnormality of the voice,anomalía de la voz,Anomalía de la voz,0,100.0,100.0,100.0
HP:0001626,Abnormality of the cardiovascular system,anomalía cardiovascular,Anomalía del sistema cardiovascular,0,26.0,0.0,95.9
HP:0001871,Abnormality of blood and blood-forming tissues,anomalía hematológica y de los tejidos hematopoyéticos,Alteración de la sangre y de los tejidos que forman la sangre,0,20.1,-14.3,72.1
HP:0001939,Abnormality of metabolism/homeostasis,trastorno del metabolismo/ homeostasis,Anomalía del metabolismo / homeostasis,0,66.9,80.0,96.7
HP:0002086,Abnormality of the respiratory system,anomalía del sistema respiratorio,Alteración del sistema respiratorio,0,59.5,75.0,90.7
HP:0002664,Neoplasm,Neoplasia,Neoplasia,1,100.0,100.0,100.0
HP:0002715,Abnormality of the immune system,anomalía del sistema inmunitario,Alteración del sistema inmune,0,31.9,50.0,91.4
HP:0025031,Abnormality of the digestive system,trastorno del aparato digestivo,Anomalía del sistema digestivo,0,19.0,50.0,96.4
HP:0025142,Constitutional symptom,síntoma constitucional,Síntoma constitucional,0,100.0,100.0,100.0
HP:0025354,Abnormal cellular phenotype,fenotipo celular anormal,Fenotipo celular anormal,0,100.0,100.0,100.0
HP:0033127,Abnormality of the musculoskeletal system,anomalía del sistema musculoesquelético,Anomalía del sistema musculoesquelético,0,100.0,100.0,100.0
HP:0040064,Abnormality of limbs,anomalía de las extremidades,Anomalía de las extremidades,0,100.0,100.0,100.0
HP:0045027,Abnormality of the thoracic cavity,anomalía de la cavidad torácica,Anomalía de la cavidad torácica,0,100.0,100.0,100.0
HP:0003812,Phenotypic variability,variabilidad fenotípica,Variabilidad fenotípica,0,100.0,100.0,100.0
HP:0012824,Severity,gravedad,Gravedad,0,100.0,100.0,100.0
HP:0012830,Position,posición,Posición,0,100.0,100.0,100.0
HP:0025204,Triggered by,desencadenado por,Desencadenado por,0,100.0,100.0,100.0
HP:0025254,Ameliorated by,mejorado por,Mejorado por,0,100.0,100.0,100.0
HP:0025280,Pain characteristic,características del dolor,Característica del dolor,0,55.0,66.7,99.4
HP:0025285,Aggravated by,agravada por,Agravado por,0,50.0,50.0,98.5
HP:0031375,Refractory,refractaria,Refractario,0,0.0,0.0,98.9
HP:0031797,Clinical course,curso clínico,Curso clínico,0,100.0,100.0,100.0
HP:0045088,Clinical relevance,relevancia clínica,Relevancia clínica,0,100.0,100.0,100.0
HP:0410401,Worse in evening,Peor en la noche,Empeoramiento nocturno,0,0.0,0.0,82.8
HP:4000042,Fracture type,tipo de fractura,Tipo de fractura,0,100.0,100.0,100.0
HP:0032224,ABO blood group,grupo sanguíneo AB0,Grupo sanguíneo ABO,0,55.0,66.7,92.2
HP:0032373,Duffy blood group,grupo sanguíneo Duffy,Grupo sanguíneo Duffy,0,100.0,100.0,100.0
HP:0002686,Pregnancy history,antecedentes de embarazo,Anomalía materna prenatal,0,0.0,0.0,83.3
HP:0020121,Conception by assisted reproductive technology,Concepto por tecnología reproductiva asistida,Concepción por tecnologías de reproducción asistida,0,10.4,20.0,92.3
HP:0032316,Family history,antecedentes familiares,Historia familiar,0,0.0,0.0,90.6
HP:0032467,Past obstetric history,Antecedente obstétrico previo,Historia obstétrica pasada,0,0.0,0.0,78.8
HP:0033623,Birth history,antecedentes natales,Historial de nacimiento,0,0.0,-50.0,89.7
HP:4000110,Exposure history,antecedente de exposición,Historial de exposición,0,55.0,66.7,66.1
HP:4000112,Medication history,antecedentes de medicación,Historial de medicación,0,55.0,66.7,92.6
HP:4000122,History of exclusive breast feeding,Antecedente de lactancia materna exclusiva,Historia de lactancia materna exclusiva,0,66.9,80.0,95.5
HP:4000123,Nutrition history,antecedentes nutricionales,Historia nutricional,0,0.0,0.0,90.2
HP:4000129,Recent blood transfusion,transfusión sanguínea reciente,Transfusión de sangre reciente,0,24.8,33.3,99.5
HP:4000144,Recent past medical history,historia clínica reciente,Historia médica pasada reciente,0,24.8,33.3,90.2
HP:0040280,Obligate,obligar,Obligado,0,0.0,0.0,91.9
HP:0040281,Very frequent,muy frecuente,Muy frecuente,0,100.0,100.0,100.0
HP:0040282,Frequent,frecuente,Frecuente,0,100.0,100.0,100.0
HP:0040283,Occasional,ocasional,Ocasional,0,100.0,100.0,100.0
HP:0040284,Very rare,Muy infrecuente,Muy raro,0,50.0,50.0,80.1
HP:0040285,Excluded,excluido,Excluido,0,100.0,100.0,100.0
HP:0010982,Polygenic inheritance,herencia poligénica,Herencia poligénica,0,100.0,100.0,100.0
HP:0010983,Oligogenic inheritance,herencia oligogénica,Herencia oligogénica,0,100.0,100.0,100.0
HP:0010984,Digenic inheritance,herencia digénica,Herencia digénica,0,100.0,100.0,100.0
HP:0001442,Typified by somatic mosaicism,Tipificado por mosaicismo somático,Mosaicismo somático,0,31.9,50.0,98.4
HP:0001466,Contiguous gene syndrome,Síndrome de genes contiguos,Síndrome del gen contiguo,0,16.0,25.0,98.7
HP:0001470,Sex-limited expression,Expresión limitada al sexo,Autosómico dominante limitado al sexo,0,24.9,25.0,64.2
HP:0003743,Genetic anticipation,anticipación genética,Anticipación genética,0,100.0,100.0,100.0
HP:0003829,Typified by incomplete penetrance,Tipificado por penetrancia incompleta,Penetrancia incompleta,0,31.9,50.0,93.8
HP:0003831,Typified by age-related disease onset,Tipificado por edad asociada al inicio de la enfermedad,Penetrancia dependiente de la edad,0,10.6,22.2,63.5
HP:0025352,Typically de novo,Típicamente de novo,Mutación de novo en línea germinal autosómica dominante,0,10.4,-100.0,19.1
HP:0032382,Uniparental disomy,Disomía uniparental,Disomía uniparental,1,100.0,100.0,100.0
HP:0034338,Imprinted,impronta,Impronta,0,100.0,100.0,100.0
HP:0034343,Requires heterozygosity,Requiere heterocigosis,Requiere heterocigosidad,0,50.0,50.0,85.8
HP:0034857,Typified by highly variable age of onset,Tipificado por una edad de inicio muy variable,Caracterizado por una edad de aparición muy variable,0,41.1,75.0,92.9
HP:0034950,Typified by complete penetrance,Tipificado por penetrancia completa,Caracterizado por penetrancia completa,0,59.5,75.0,97.3
HP:0000006,Autosomal dominant inheritance,herencia autosómica dominante,Herencia autosómica dominante,0,100.0,100.0,100.0
HP:0000007,Autosomal recessive inheritance,herencia autosómica recesiva,Herencia autosómica recesiva,0,100.0,100.0,100.0
HP:0001417,X-linked inheritance,herencia ligada al cromosoma X,Herencia ligada a X,0,23.6,60.0,81.9
HP:0001427,Mitochondrial inheritance,herencia mitocondrial,Herencia mitocondrial,0,100.0,100.0,100.0
HP:0001450,Y-linked inheritance,herencia ligada a la Y,Herencia ligada a Y,0,42.7,80.0,99.6
HP:0032113,Semidominant inheritance,herencia semidominante,Modo semidominante de herencia,0,26.0,-50.0,96.4
HP:0034339,Pseudoautosomal inheritance,Heredera pseudo-autosomal,Herencia pseudoautosómica,0,0.0,0.0,71.5
HP:0000078,Abnormality of the genital system,anomalía genital,Anomalía del sistema genital,0,26.0,0.0,93.9
HP:0000079,Abnormality of the urinary system,anomalía del sistema urinario,Anomalía del sistema urinario,0,100.0,100.0,100.0
HP:0007379,Neoplasm of the genitourinary tract,Neoplasia del tracto genitourinario,Neoplasia del tracto genitourinario,1,100.0,100.0,100.0
HP:0012620,Cloacal abnormality,Anomalía de la cloacal,Anomalía cloacal,0,19.0,50.0,95.0
HP:0100589,Urogenital fistula,Fístula urogenital,Fístula urogenital,1,100.0,100.0,100.0
HP:0000234,Abnormality of the head,anomalía de cabeza,Anomalía de la cabeza,0,45.1,66.7,97.5
HP:0000464,Abnormality of the neck,anomalía cervical,Anomalía del cuello,0,30.3,0.0,76.2
HP:0012372,Abnormal eye morphology,morfología ocular anormal,Morfología anormal del ojo,0,24.8,0.0,95.6
HP:0012373,Abnormal eye physiology,alteración de la fisiología ocular,Función anormal del ojo,0,0.0,0.0,88.4
HP:0031703,Abnormal ear morphology,morfología anómala del oído,Morfología anormal del oído,0,35.4,75.0,95.9
HP:0031704,Abnormal ear physiology,alteración de la fisiología del oído,Función anormal del oído,0,16.2,33.3,92.8
HP:0012638,Abnormal nervous system physiology,alteración de la fisiología del sistema nervioso,Alteración en la función del sistema nervioso,0,27.8,71.4,96.8
HP:0012639,Abnormal nervous system morphology,morfología anormal del sistema nervioso,Alteración en la morfología del sistema nervioso,0,28.6,20.0,91.9
HP:0410008,Abnormality of the peripheral nervous system,anomalía del sistema nervioso periférico,Anomalía del sistema nervioso periférico,0,100.0,100.0,100.0
HP:0031093,Abnormal breast morphology,morfología mamaria anormal,Morfología anormal de las mamas,0,17.8,-33.3,98.5
HP:0031094,Abnormal breast physiology,alteración de la fisiología mamaria,Función anormal de la mama,0,21.4,20.0,84.9
